 	cette	forêt	a	excessivement	de	silures	iswa	</S>
a66	0.583405	0.25229	0.0759639	0.0273979	0.0162931	0.0192126	0.0166796	0.008757
a87	0.443862	0.251117	0.0838323	0.0359852	0.0443974	0.0493954	0.059784	0.0316263
a23	0.457172	0.319023	0.0641123	0.0298141	0.0293778	0.0325098	0.0450487	0.0229429
a79	0.293963	0.252245	0.0720464	0.072893	0.0625144	0.0419367	0.110666	0.0937352
a15	0.3467	0.234765	0.104144	0.0917145	0.0673535	0.048361	0.0695939	0.0373682
a56	0.211617	0.228187	0.234228	0.138108	0.0741798	0.0465094	0.0409355	0.0262351
a96	0.0675504	0.151536	0.227584	0.189219	0.126044	0.0996424	0.0951928	0.0432311
a88	0.0155442	0.0275209	0.0932015	0.139252	0.221188	0.264674	0.171144	0.0674758
a0	0.00426168	0.0043586	0.0190328	0.0722703	0.204211	0.389477	0.199908	0.10648
a90	0.00378649	0.0035904	0.0123843	0.0450461	0.115162	0.311067	0.278201	0.230763
a20	0.00265716	0.00257741	0.00711059	0.0216472	0.0595953	0.157778	0.320071	0.428564
a7	0.000673082	0.000730003	0.00302079	0.0140318	0.0462625	0.14144	0.314784	0.479058
a84	0.00687986	0.006809	0.0167175	0.0303686	0.0573437	0.0893182	0.217111	0.575452
a87	0.336439	0.126496	0.0763196	0.0472958	0.0278737	0.0293567	0.0937106	0.262509
a23	0.317111	0.238207	0.118958	0.116277	0.0537612	0.0607822	0.0572244	0.0376791
a87	0.124287	0.106937	0.0587028	0.0485143	0.0513104	0.0876649	0.194011	0.328572
</S>	0.0226522	0.0236001	0.023928	0.0386779	0.0510986	0.104215	0.285011	0.450817
