 	ne	me	prends	pas	pour	un	profane	en	construction	de	maison	</S>
a87	0.190943	0.135852	0.109662	0.126416	0.129917	0.0943245	0.124832	0.0456554	0.0203323	0.0108487	0.00676748	0.00444983
a23	0.261479	0.134752	0.077238	0.0883908	0.0957238	0.0728333	0.100208	0.0767146	0.0225972	0.0227248	0.0232509	0.0240874
a53	0.160881	0.139037	0.104476	0.115736	0.0941668	0.0619644	0.0829409	0.0528906	0.0379725	0.036344	0.0446991	0.0688915
a93	0.235547	0.162485	0.112389	0.117135	0.104248	0.0724996	0.0611489	0.0303514	0.0266004	0.025832	0.0262143	0.0255478
a57	0.344679	0.245054	0.136247	0.106346	0.0586515	0.0287314	0.0235752	0.00845592	0.00753099	0.00950571	0.012728	0.018495
a9	0.275238	0.214577	0.140577	0.112574	0.0673947	0.0511629	0.0515405	0.0190271	0.0145892	0.0162199	0.0165748	0.0205245
a53	0.14374	0.121597	0.100294	0.10377	0.0971162	0.0903393	0.0733898	0.0476057	0.0403597	0.0530126	0.0546778	0.0740974
a90	0.13943	0.127195	0.126368	0.131746	0.114201	0.0954338	0.0473841	0.0158052	0.0189449	0.0329887	0.0529493	0.0975533
a76	0.139284	0.137696	0.123093	0.13089	0.113371	0.111909	0.0606871	0.0162567	0.0197194	0.0319769	0.0468195	0.0682959
a73	0.107432	0.121717	0.118351	0.126213	0.106773	0.0983409	0.066173	0.0363729	0.0368583	0.0472386	0.0603878	0.0741429
a94	0.109063	0.127615	0.135571	0.142834	0.122704	0.116701	0.0771823	0.0258346	0.0228398	0.0300712	0.0396523	0.0499308
a98	0.0663853	0.0855465	0.106266	0.141721	0.137509	0.145889	0.0977377	0.0287706	0.0286188	0.0393028	0.0514222	0.0708321
a73	0.05415	0.0680527	0.0868133	0.118906	0.125446	0.138931	0.0975292	0.0444396	0.044261	0.0563579	0.0720604	0.0930542
a44	0.0276289	0.0372478	0.0619543	0.0959551	0.126261	0.160746	0.109673	0.0563568	0.0539235	0.070084	0.088394	0.111776
a98	0.0249589	0.0317063	0.053389	0.0829037	0.129044	0.200508	0.146587	0.0627563	0.0487273	0.0606266	0.0708735	0.0879189
a85	0.0234707	0.0270778	0.0426464	0.0667858	0.103259	0.158321	0.114779	0.0688256	0.0733506	0.0888827	0.106266	0.126335
