 	il	est	assis	sur	la	chaise	</S>
a85	0.311456	0.179505	0.122405	0.0755372	0.0903805	0.110474	0.110243
a87	0.344303	0.167728	0.0977992	0.0680445	0.0734702	0.122314	0.126341
a23	0.29674	0.224374	0.151479	0.0998878	0.0755433	0.0711582	0.080818
a20	0.272616	0.189003	0.138458	0.0885597	0.0775768	0.0981145	0.135672
a73	0.394336	0.265346	0.144426	0.0899419	0.046113	0.0322647	0.0275727
a26	0.335576	0.329667	0.207568	0.0871788	0.0204957	0.010105	0.00940882
a43	0.276313	0.313811	0.243863	0.109371	0.0277691	0.0146689	0.0142042
a24	0.217615	0.269684	0.26947	0.152645	0.046472	0.0227257	0.0213883
a25	0.202649	0.224403	0.235352	0.176885	0.0783968	0.0431849	0.0391293
a38	0.149524	0.163499	0.201954	0.165768	0.0991695	0.0995356	0.12055
a73	0.141123	0.161834	0.21705	0.193132	0.096982	0.0820986	0.10778
a94	0.123394	0.141817	0.191156	0.176313	0.112955	0.113335	0.141031
a76	0.0824529	0.0919169	0.142166	0.15445	0.144378	0.179899	0.204737
a20	0.0623022	0.0613037	0.0862513	0.132143	0.184463	0.248377	0.22516
a58	0.0285526	0.0253977	0.0366708	0.0891528	0.182137	0.316367	0.321722
a11	0.0098673	0.00938644	0.0138484	0.0351371	0.105118	0.325025	0.501619
a24	0.007711	0.00635158	0.00799692	0.0210737	0.0858506	0.341304	0.529712
a25	0.0032724	0.00311831	0.00556468	0.021086	0.091615	0.356162	0.519182
a10	0.00321938	0.00256756	0.00383361	0.0138326	0.0734288	0.348911	0.554208
a87	0.00338262	0.00255829	0.00294016	0.00767565	0.0378977	0.246282	0.699264
</S>	0.00195416	0.00152481	0.00228888	0.00956082	0.070563	0.344596	0.569512
