 	il	est	en	train	de	faire	l'	amour	avec	une	femme	dans	la	maison	</S>
a66	0.169269	0.144939	0.104194	0.0908038	0.0852498	0.0778153	0.0749176	0.0755172	0.0575378	0.0393998	0.0293891	0.018066	0.0124621	0.0106634	0.00977588
a87	0.174165	0.146545	0.111874	0.0934662	0.0841716	0.0734765	0.0615288	0.0461124	0.0371043	0.0306697	0.0295429	0.0267315	0.0269638	0.0295375	0.0281117
a23	0.2743	0.162426	0.105807	0.0799701	0.0745977	0.0663078	0.0630565	0.0626807	0.0330676	0.0179961	0.013652	0.0104662	0.0103321	0.0118985	0.0134416
a79	0.184401	0.121913	0.0826497	0.0680872	0.0654072	0.0654788	0.0711398	0.0735027	0.0493773	0.0392859	0.0415065	0.0349897	0.0335374	0.03406	0.0346635
a4	0.13754	0.0941997	0.0647509	0.0517493	0.0501878	0.0576538	0.0700538	0.0951002	0.0736983	0.0699137	0.0645106	0.0510517	0.0457222	0.0378561	0.0360123
a53	0.13307	0.145597	0.129897	0.119465	0.105527	0.0838898	0.0665684	0.0658899	0.0413793	0.0316031	0.0261119	0.0188413	0.0143188	0.0100501	0.00779178
a90	0.119816	0.138485	0.134797	0.119571	0.105387	0.0806212	0.0585472	0.0595476	0.0492993	0.0399077	0.030009	0.023624	0.0176626	0.0130704	0.00965501
a98	0.0698698	0.0866898	0.104057	0.118388	0.121224	0.0964127	0.0695183	0.0678023	0.061859	0.0531302	0.0396172	0.0347101	0.029596	0.0255695	0.0215566
a47	0.0563639	0.0775061	0.108021	0.134291	0.134127	0.106077	0.0748119	0.0693735	0.0601765	0.0472383	0.0331011	0.0297593	0.025842	0.0227454	0.0205652
a15	0.0433392	0.0564941	0.0840715	0.121805	0.139922	0.116546	0.0903121	0.0788296	0.0613067	0.0473263	0.0322491	0.0317125	0.0312597	0.031255	0.033571
a7	0.0499136	0.0630251	0.0933679	0.135422	0.146701	0.114429	0.083561	0.0720217	0.0558578	0.0400502	0.0267498	0.0264715	0.0283534	0.0297791	0.0342968
a90	0.0536928	0.0551492	0.0707735	0.0910589	0.10128	0.0894601	0.0749832	0.0695346	0.0653805	0.0529881	0.0413026	0.0449362	0.0548276	0.0587117	0.0759213
a93	0.0527263	0.0522584	0.0640423	0.0814571	0.092878	0.0888036	0.082983	0.085676	0.0857139	0.0701031	0.0521604	0.044077	0.0444502	0.0471162	0.0555546
a96	0.0275805	0.0239359	0.0257652	0.0329592	0.0420427	0.056774	0.0785151	0.0954679	0.120998	0.109781	0.0909059	0.0744917	0.0702471	0.0676527	0.0828823
a70	0.0207237	0.0171268	0.0175749	0.0208899	0.0253391	0.0344735	0.0539767	0.0755557	0.116601	0.123702	0.112507	0.0957309	0.090392	0.085888	0.109519
a0	0.0143695	0.0113513	0.0118758	0.0151109	0.0186014	0.0249367	0.039438	0.0594198	0.102436	0.133333	0.140085	0.122228	0.105717	0.0895225	0.111575
a75	0.0149302	0.0116268	0.0121453	0.0161907	0.0203481	0.0256135	0.0385157	0.0612418	0.0949542	0.13138	0.139725	0.120065	0.1076	0.0910677	0.114597
a56	0.0025722	0.00238052	0.0030767	0.00482656	0.00680219	0.0105317	0.0176579	0.0264734	0.0499524	0.0775821	0.0990973	0.136084	0.171866	0.173693	0.217404
a96	0.00437793	0.00366125	0.00432373	0.00605255	0.00751844	0.00984738	0.0147884	0.0216189	0.0429444	0.0734761	0.105947	0.157334	0.184219	0.166421	0.19747
a62	0.00264457	0.00211309	0.00257276	0.00418771	0.00582036	0.00813182	0.0127085	0.0188929	0.0319135	0.0566949	0.0830866	0.13702	0.204332	0.18553	0.244351
a88	0.00335129	0.00265473	0.00313624	0.00491212	0.0067488	0.00913513	0.0129279	0.0176069	0.0262953	0.04249	0.0580336	0.106684	0.198646	0.219012	0.288366
a71	0.00213519	0.00150251	0.00161284	0.00257241	0.00396949	0.00650481	0.0122398	0.0211058	0.0240665	0.0404592	0.0476357	0.0853798	0.175812	0.226944	0.34806
a9	0.00371374	0.00271114	0.00292202	0.00442028	0.00611569	0.0089791	0.0154785	0.0242584	0.0287636	0.0447865	0.0493152	0.0902526	0.176065	0.216693	0.325525
a87	0.0273864	0.0200476	0.0216067	0.0292691	0.0345783	0.0397134	0.0489828	0.0595064	0.0644651	0.0802541	0.0769391	0.0933488	0.122875	0.118119	0.162909
a23	0.105751	0.0696746	0.0678333	0.0760105	0.0786347	0.0790694	0.0814499	0.0799407	0.0609447	0.0544394	0.0522186	0.0532557	0.0499288	0.0448098	0.0460389
a87	0.040296	0.0235044	0.0201885	0.0221648	0.0251713	0.0315343	0.04423	0.0539054	0.0517339	0.0662077	0.0940992	0.125601	0.14439	0.12454	0.132434
</S>	0.0190256	0.0115316	0.0115485	0.0165412	0.0224914	0.0307843	0.0428179	0.0568366	0.0549683	0.0694334	0.0808303	0.110822	0.146233	0.15149	0.174645
