 	le	vrombissement	du	bateau	nous	parvient	</S>
a66	0.255011	0.209774	0.328166	0.123807	0.0554817	0.0194269	0.00833363
a87	0.316774	0.167067	0.187858	0.111689	0.105615	0.0754517	0.0355461
a23	0.333873	0.241111	0.237892	0.0923346	0.0595742	0.0199581	0.0152561
a83	0.390336	0.373715	0.135541	0.0404312	0.0325091	0.0150549	0.0124136
a93	0.264642	0.365854	0.230093	0.0846853	0.033721	0.0130147	0.0079901
a4	0.281678	0.289914	0.225052	0.107476	0.0642423	0.0208498	0.0107873
a90	0.217748	0.230389	0.209891	0.134137	0.117122	0.0535994	0.037113
a92	0.126231	0.147775	0.216223	0.166159	0.189235	0.0968145	0.0575633
a85	0.0862376	0.0908265	0.167924	0.182368	0.198482	0.165554	0.108608
a47	0.0705141	0.0768737	0.106283	0.142542	0.183599	0.236592	0.183597
a0	0.0948929	0.124244	0.0851494	0.0735068	0.124668	0.260087	0.237452
a75	0.108906	0.149645	0.11086	0.0590854	0.0849794	0.223634	0.262891
a25	0.0639518	0.0840813	0.0956564	0.0958169	0.154996	0.253645	0.251852
a69	0.0354513	0.0466561	0.057405	0.123185	0.196071	0.268973	0.272259
a90	0.0172471	0.0328536	0.0230403	0.0576451	0.0997338	0.311441	0.458039
a92	0.0248714	0.0367574	0.0383169	0.120516	0.133952	0.248271	0.397316
a75	0.00418728	0.00432744	0.00644491	0.0438577	0.103776	0.306183	0.531224
a47	0.00224449	0.00184435	0.00230128	0.0207241	0.0632261	0.286883	0.622777
a31	0.00048586	0.000334683	0.000306212	0.00422768	0.0213026	0.223677	0.749666
a62	0.00111563	0.000692061	0.000622498	0.00397113	0.0190653	0.18718	0.787353
a21	0.00238454	0.0016794	0.00157145	0.00909458	0.027013	0.188657	0.7696
a6	0.00216748	0.00139944	0.00170639	0.00888204	0.0274805	0.179829	0.778535
a36	0.000524998	0.000419531	0.000516167	0.00540358	0.0220749	0.172984	0.798076
a26	0.00379418	0.00318103	0.00742104	0.0477491	0.073675	0.250979	0.613201
a57	0.14788	0.0947505	0.118078	0.107448	0.102322	0.150559	0.278961
a87	0.25517	0.169292	0.207107	0.148972	0.0988718	0.0553571	0.0652297
a23	0.166069	0.162452	0.212177	0.18056	0.119916	0.0715894	0.0872361
a87	0.0300575	0.014004	0.0269734	0.0576359	0.118432	0.267575	0.485322
</S>	0.00495348	0.00436223	0.00763955	0.0244497	0.0670162	0.316203	0.575376
