 	il	tomba	aveugle	à	la	suite	de	sa	blessure	</S>
a23	0.165724	0.109096	0.110394	0.0781514	0.0752449	0.0799901	0.065319	0.055765	0.103622	0.156693
a53	0.330838	0.095093	0.0874913	0.0510973	0.0385327	0.0569009	0.0695832	0.0756081	0.0917021	0.103153
a20	0.226988	0.0754071	0.0586478	0.0395624	0.0383061	0.0656586	0.0995823	0.11723	0.135417	0.143201
a73	0.44659	0.101036	0.0572746	0.0476777	0.0455481	0.0619147	0.06245	0.0568892	0.0557666	0.0648531
a44	0.406278	0.131541	0.0621365	0.0583418	0.0572376	0.068209	0.0531377	0.0489609	0.0533886	0.0607685
a38	0.240693	0.156717	0.0857505	0.0683849	0.0675779	0.0752821	0.0732037	0.0717675	0.0829835	0.0776395
a24	0.17306	0.157252	0.0971206	0.0763083	0.0779529	0.0825026	0.081343	0.0776714	0.0938871	0.0829015
a41	0.154658	0.166865	0.105708	0.0778791	0.081623	0.0869924	0.0777119	0.0688036	0.0911056	0.0886528
a94	0.163417	0.16352	0.123098	0.101251	0.0979216	0.0827641	0.0662175	0.0576062	0.0715786	0.0726264
a43	0.165355	0.201578	0.120611	0.0942859	0.0869645	0.0712681	0.0596875	0.0537394	0.068842	0.0776687
a11	0.158256	0.199778	0.116788	0.0908977	0.085447	0.0702666	0.0593026	0.0544661	0.0725211	0.0922763
a62	0.16988	0.212392	0.122314	0.0954236	0.0849849	0.0677102	0.0554061	0.0491163	0.0605047	0.0822675
a24	0.125001	0.176642	0.12132	0.0942176	0.0912205	0.0845699	0.0787831	0.0689502	0.0758858	0.08341
a9	0.147979	0.193247	0.145225	0.110127	0.092039	0.0725985	0.0596	0.050749	0.0558134	0.0726218
a38	0.139901	0.174949	0.160515	0.123193	0.102346	0.0773746	0.0630616	0.0538058	0.0479498	0.0569042
a75	0.105704	0.134693	0.111965	0.0869172	0.0857437	0.0833501	0.0874917	0.0899601	0.0985876	0.115587
a14	0.0314733	0.0497833	0.0530489	0.052868	0.077567	0.0981377	0.116702	0.127446	0.180903	0.212071
a73	0.0346015	0.0542296	0.0692134	0.0707938	0.0947064	0.10186	0.111924	0.113268	0.162991	0.186414
a44	0.0395806	0.051044	0.0698727	0.0658432	0.0880018	0.0958038	0.10981	0.114374	0.168903	0.196766
a26	0.0278362	0.0308826	0.0465382	0.0411963	0.063552	0.0901254	0.12528	0.139789	0.209486	0.225315
a76	0.0314321	0.0309859	0.04649	0.0481271	0.0698206	0.0864723	0.117881	0.133797	0.203155	0.23184
a69	0.0307456	0.0342183	0.0477074	0.0465144	0.0670757	0.0912119	0.116679	0.123692	0.202581	0.239575
a58	0.0268198	0.0291985	0.0477683	0.0493781	0.0700841	0.0829194	0.109337	0.120529	0.21089	0.253075
a53	0.0283283	0.0232511	0.0402072	0.0374103	0.059226	0.0851342	0.126533	0.139499	0.222747	0.237664
a76	0.0212793	0.01726	0.0244294	0.0220765	0.0355551	0.0629716	0.111832	0.15011	0.269361	0.285125
a69	0.0352548	0.0338074	0.0519923	0.0544245	0.0733555	0.0943551	0.108909	0.107615	0.192473	0.247814
a20	0.0304554	0.0303263	0.04934	0.0501682	0.0744343	0.0971225	0.118014	0.117592	0.194157	0.238391
a41	0.0385755	0.0344851	0.0572265	0.0572324	0.0691134	0.0843512	0.105193	0.11341	0.194069	0.246344
a85	0.0330235	0.0310068	0.0484513	0.0559578	0.0763471	0.0960146	0.108147	0.109401	0.180155	0.261497
a14	0.032249	0.0373533	0.0592913	0.0665784	0.0915904	0.110249	0.11725	0.110477	0.158839	0.216122
a73	0.0403264	0.0453437	0.0629293	0.0687799	0.0836997	0.0914941	0.104191	0.105749	0.16421	0.233277
a2	0.0314305	0.0327039	0.0545744	0.0525108	0.0649227	0.078045	0.101582	0.111826	0.185475	0.286929
a76	0.0110842	0.0122004	0.0281248	0.024117	0.0366437	0.0586792	0.105777	0.140617	0.242951	0.339806
a94	0.0320126	0.0303852	0.0446874	0.0376232	0.0475794	0.0681458	0.0999607	0.126516	0.20868	0.304409
a32	0.0185552	0.020423	0.0420289	0.0335502	0.0415144	0.0577661	0.0885532	0.10684	0.217748	0.373021
a76	0.0210974	0.0192059	0.0397871	0.0306238	0.0338277	0.0501979	0.0818947	0.102809	0.226215	0.394341
a69	0.0456438	0.0321204	0.0515783	0.0459312	0.0601915	0.0866021	0.102543	0.103283	0.179431	0.292675
a84	0.027353	0.0249995	0.0477576	0.0378451	0.0435861	0.0603156	0.0855985	0.100832	0.206578	0.365135
a87	0.00693884	0.00681739	0.0192878	0.0168406	0.022099	0.0330309	0.0623708	0.0873244	0.289085	0.456205
</S>	0.00478823	0.00331648	0.0083991	0.00900055	0.0105581	0.0187753	0.0426773	0.0715149	0.360103	0.470867
