 	ma	femme	s'	est	excitée	lorsque	je	lui	ai	caressé	les	seins	</S>
a66	0.256507	0.232693	0.165741	0.084529	0.0836474	0.0420438	0.0248806	0.0200463	0.0150169	0.0107087	0.0132643	0.0232345	0.0276877
a87	0.349028	0.223479	0.150178	0.0689253	0.052282	0.0243906	0.0207163	0.0171838	0.0166916	0.0138842	0.0138905	0.0198262	0.0295251
a23	0.430348	0.220851	0.113833	0.0570542	0.0304083	0.016719	0.0175395	0.0176996	0.0160642	0.0145925	0.0125334	0.0170944	0.0352627
a99	0.310337	0.15332	0.0870032	0.055232	0.0346154	0.0319116	0.044967	0.0534908	0.0493665	0.0561177	0.0420326	0.0266446	0.0549617
a40	0.199863	0.156643	0.13268	0.0859299	0.0372168	0.0240111	0.0275289	0.0367806	0.0518929	0.0792741	0.0701761	0.0384458	0.0595576
a36	0.257395	0.226483	0.19807	0.141719	0.069113	0.0343886	0.0169858	0.0130155	0.0102576	0.00919735	0.00945637	0.00632736	0.00759093
a11	0.148297	0.177866	0.199216	0.182845	0.107653	0.0517017	0.0278479	0.0207287	0.0149123	0.0155811	0.0220659	0.0147028	0.0165826
a75	0.0996133	0.132888	0.186482	0.215975	0.101259	0.0791533	0.0492887	0.0380171	0.0258681	0.0207219	0.0232288	0.0133997	0.0141047
a6	0.070068	0.0969472	0.152987	0.22279	0.155996	0.120693	0.059015	0.0372724	0.0204309	0.0138779	0.0174	0.0156972	0.0168256
a36	0.0525579	0.0757765	0.125002	0.189045	0.148547	0.129149	0.0792315	0.0566702	0.034975	0.0253447	0.0294852	0.0252538	0.028963
a47	0.0545317	0.0738501	0.0978617	0.149067	0.116367	0.125427	0.0871033	0.0687186	0.0467428	0.0387695	0.0451022	0.0385763	0.0578822
a6	0.0287751	0.0396261	0.0618668	0.120728	0.144103	0.143696	0.100034	0.0731673	0.0456066	0.0403877	0.0589982	0.0578623	0.0851479
a37	0.0216858	0.0299103	0.0544002	0.118216	0.131747	0.131516	0.11563	0.101584	0.0763924	0.0586976	0.057412	0.0454825	0.0573273
a75	0.034815	0.0422117	0.0546499	0.0982384	0.10068	0.132962	0.127728	0.12104	0.0906594	0.0585253	0.0505072	0.0393583	0.0486253
a92	0.00937217	0.0125305	0.0235521	0.0657267	0.105171	0.12392	0.128781	0.127512	0.106918	0.0862178	0.0783907	0.0602327	0.0716752
a5	0.0122861	0.0156106	0.027461	0.0690055	0.104014	0.118392	0.121355	0.122671	0.110104	0.0934746	0.0881078	0.0577551	0.059764
a75	0.0178919	0.0211911	0.0310071	0.0625023	0.086925	0.107666	0.123106	0.140071	0.130091	0.103863	0.079497	0.0470203	0.0491676
a85	0.00534517	0.0068341	0.0120292	0.0344368	0.0742663	0.0967625	0.120065	0.132383	0.128251	0.114942	0.116677	0.0779578	0.0800507
a37	0.0026332	0.00339563	0.00559662	0.0182103	0.0571817	0.0890728	0.129278	0.145609	0.138347	0.123175	0.112451	0.0784467	0.0966025
a88	0.00588444	0.00662276	0.0080655	0.0153311	0.0376219	0.0648188	0.120987	0.181472	0.169067	0.135402	0.0927857	0.0689628	0.0929787
a71	0.0050976	0.00541919	0.0067397	0.011647	0.0247411	0.0430833	0.0845801	0.142742	0.168317	0.149167	0.144789	0.115099	0.0985792
a9	0.0151761	0.0139581	0.009506	0.00860791	0.0134553	0.0237298	0.0394463	0.0663379	0.11229	0.112951	0.141716	0.193982	0.248844
a38	0.0247026	0.0205808	0.016989	0.0166133	0.0217042	0.0278707	0.0376863	0.0698065	0.113675	0.104846	0.139217	0.179955	0.226353
a5	0.0410036	0.0280709	0.0209596	0.0219367	0.0314465	0.0248471	0.0314168	0.0500921	0.0889459	0.104054	0.152515	0.168756	0.235956
a18	0.00538685	0.00442652	0.00476007	0.00661494	0.0134158	0.0145117	0.0276355	0.0514851	0.0846299	0.116074	0.163994	0.202365	0.3047
a75	0.00703563	0.0060747	0.00648794	0.00774572	0.0149881	0.0135317	0.0217945	0.0348275	0.062705	0.106981	0.188942	0.235521	0.293365
a5	0.00116316	0.00111923	0.0017724	0.00406372	0.0123236	0.014743	0.0290264	0.0513337	0.0831273	0.1094	0.161381	0.211627	0.318919
a96	0.000928707	0.000921899	0.00120484	0.00244338	0.00776902	0.0100321	0.0207371	0.0370687	0.0600806	0.0907336	0.187567	0.260851	0.319662
a75	0.000808426	0.000789062	0.00103773	0.00183178	0.00583267	0.00654389	0.0114946	0.0186792	0.0323723	0.0547463	0.149353	0.305268	0.411244
a79	0.000389621	0.000375982	0.00056974	0.00127232	0.00445623	0.0059915	0.0138753	0.0274036	0.0464017	0.0698716	0.152921	0.28585	0.390622
a15	0.000270841	0.000259134	0.000408808	0.00091639	0.00325669	0.00479995	0.0117679	0.0246241	0.0430244	0.0627815	0.121345	0.264902	0.461643
a7	0.000650524	0.000561564	0.000751724	0.00136513	0.00483762	0.00629336	0.014732	0.0261845	0.0422622	0.067286	0.115106	0.24453	0.475438
a75	0.00140431	0.0011107	0.00114832	0.00164641	0.0057656	0.00538563	0.00948647	0.0131965	0.022404	0.0423497	0.101426	0.273109	0.521568
a21	0.00146538	0.00111607	0.00132292	0.00217665	0.00541371	0.00581404	0.012756	0.0231791	0.0433325	0.0723511	0.114313	0.261087	0.455672
a5	0.000469463	0.000407505	0.00049613	0.000942031	0.00406779	0.00493969	0.0102351	0.0157781	0.0237236	0.0400895	0.10106	0.272655	0.525137
a18	0.000491084	0.000447729	0.000623423	0.00130866	0.00565936	0.00636641	0.0113981	0.0165536	0.0229712	0.0405519	0.105495	0.282533	0.505601
a25	0.00241083	0.00211274	0.00286703	0.00421427	0.0118608	0.0124956	0.0187806	0.0256222	0.0392935	0.0745673	0.122355	0.262281	0.42114
a87	0.0177484	0.0136694	0.0166331	0.0211918	0.0376121	0.0308452	0.0370557	0.0359757	0.0442976	0.0658713	0.087034	0.18842	0.403645
a23	0.0992266	0.057319	0.0398567	0.034643	0.04139	0.0357933	0.0426017	0.0479486	0.0520027	0.059314	0.0579299	0.132898	0.299076
a87	0.0732347	0.0427254	0.0322984	0.033991	0.0377403	0.0297292	0.0417069	0.0512997	0.0574778	0.0661886	0.0678022	0.157046	0.30876
</S>	0.012071	0.00715128	0.00649299	0.00967403	0.0170261	0.0129856	0.0232304	0.0345779	0.0402898	0.0589465	0.0793033	0.198301	0.49995
