 	l'	espèce	d'	igname	que	tu	as	acheté	s'	appelle	porooro	</S>
a66	0.337973	0.245338	0.11922	0.0698042	0.0421091	0.031043	0.0303361	0.0261311	0.0276464	0.0269626	0.0247816	0.0186553
a87	0.387796	0.241468	0.0996664	0.050648	0.0272213	0.0197344	0.022181	0.0177595	0.0212912	0.0273566	0.0367617	0.0481162
a97	0.227059	0.244828	0.111936	0.032092	0.0165902	0.0157626	0.0204338	0.0233804	0.0302119	0.0460915	0.0958234	0.135791
a79	0.231085	0.228409	0.0865481	0.0235906	0.0188505	0.0243175	0.0332098	0.0381178	0.0455562	0.0672442	0.0913281	0.111743
a5	0.437173	0.291857	0.100241	0.0297729	0.0202879	0.015987	0.0156073	0.0117457	0.0107295	0.0129662	0.0180944	0.0355386
a23	0.430728	0.258387	0.142724	0.0527116	0.0315536	0.0212386	0.0160894	0.0091697	0.0062043	0.0060116	0.00837618	0.0168059
a75	0.348858	0.226738	0.205805	0.0852254	0.046392	0.0304919	0.0203011	0.00990226	0.00502135	0.00423587	0.00524321	0.0117869
a85	0.213144	0.191948	0.25945	0.144483	0.0728118	0.0428724	0.0319811	0.0146188	0.00666681	0.00467214	0.00519316	0.0121577
a98	0.155904	0.141142	0.233329	0.186427	0.104964	0.0637842	0.0500049	0.0243974	0.0122242	0.00799875	0.00735594	0.0124678
a85	0.124189	0.101987	0.177289	0.203858	0.129213	0.0848889	0.0649882	0.0357058	0.0238369	0.016333	0.0148499	0.0228604
a21	0.0723588	0.0843654	0.163647	0.205253	0.138104	0.100436	0.0813533	0.0479507	0.0359638	0.0236687	0.0211928	0.0257061
a47	0.0598674	0.070659	0.13106	0.160568	0.127331	0.10566	0.0975826	0.0706131	0.0542472	0.0385205	0.0376386	0.0462517
a31	0.0265086	0.0583343	0.117931	0.175332	0.1176	0.10814	0.109844	0.0838791	0.0631526	0.0452897	0.0455033	0.0484845
a75	0.00775585	0.0217393	0.0610927	0.140862	0.143731	0.144574	0.14886	0.105735	0.0756631	0.0482883	0.0518372	0.0498604
a56	0.00317468	0.00948446	0.0294106	0.0797234	0.125356	0.151606	0.153005	0.127978	0.105617	0.0752027	0.072603	0.06684
a96	0.00419801	0.0130054	0.0354161	0.0801404	0.125348	0.140154	0.153653	0.127122	0.105967	0.0741583	0.0708001	0.0700375
a24	0.00420306	0.00901936	0.0202108	0.0477122	0.0930848	0.129045	0.162506	0.145689	0.124263	0.095124	0.0885348	0.0806075
a62	0.00554534	0.00896036	0.0184897	0.0386536	0.0681709	0.097542	0.140493	0.143923	0.134341	0.119005	0.118671	0.106204
a47	0.004564	0.00852561	0.0171988	0.0417557	0.0794582	0.111937	0.147058	0.139406	0.117106	0.104721	0.117068	0.111201
a62	0.00530003	0.0087819	0.0174016	0.0415308	0.0719352	0.0980664	0.131377	0.123973	0.11128	0.116559	0.141177	0.132619
a47	0.0029687	0.00626445	0.0127771	0.0318905	0.0566166	0.0765389	0.101414	0.118521	0.12005	0.138291	0.174009	0.160659
a88	0.00241661	0.00507228	0.0105524	0.0266363	0.0536647	0.079272	0.106239	0.121279	0.121812	0.143735	0.175853	0.153468
a38	0.00170069	0.00371149	0.00686555	0.0150744	0.0332709	0.0498376	0.0657791	0.094955	0.125436	0.18036	0.233148	0.189861
a94	0.00320371	0.00548271	0.00853809	0.0157143	0.0302682	0.0472783	0.0545106	0.076764	0.105431	0.171252	0.246575	0.234982
a93	0.000948192	0.00245137	0.00526174	0.0129307	0.0316266	0.0470792	0.0552652	0.0744695	0.102071	0.17882	0.212955	0.276123
a70	0.000699344	0.00198461	0.00407297	0.00875218	0.0222131	0.0331433	0.0378947	0.0557828	0.0804884	0.166636	0.248824	0.339508
a13	0.000638804	0.00164063	0.00349874	0.00796109	0.0205977	0.0335662	0.0386651	0.0590336	0.0832632	0.162334	0.232585	0.356216
a9	0.00114672	0.00250323	0.00443681	0.0104742	0.0236312	0.0350452	0.0322562	0.0416406	0.0608661	0.136348	0.249366	0.402285
a3	0.00469576	0.00699629	0.00975516	0.0188881	0.031725	0.045079	0.0366416	0.050486	0.0787896	0.145753	0.242552	0.328639
a82	0.028947	0.0398874	0.0298166	0.0272145	0.0326803	0.0404186	0.037021	0.0561086	0.0810216	0.123321	0.24654	0.257023
a10	0.0437312	0.055705	0.0428848	0.0319705	0.035829	0.0484546	0.0514478	0.0724312	0.0906752	0.118777	0.216901	0.191193
a82	0.0422971	0.0460285	0.0457268	0.0374772	0.0451944	0.0624822	0.0680934	0.0792719	0.0885896	0.108987	0.183312	0.19254
a3	0.0376935	0.0359464	0.0405433	0.0392668	0.0538274	0.0703175	0.0726298	0.0696781	0.0799138	0.106019	0.158474	0.23569
a82	0.0635841	0.100635	0.100656	0.072199	0.0659115	0.0693991	0.0635917	0.0524719	0.050249	0.0645922	0.10934	0.187371
a97	0.0356224	0.0640178	0.0775462	0.0644962	0.0697049	0.0750316	0.0700907	0.0562485	0.0542017	0.0723956	0.113368	0.247276
a10	0.0355927	0.0822577	0.0815935	0.0633848	0.0635841	0.0681236	0.0645781	0.0539709	0.0505078	0.0686602	0.108066	0.25968
a97	0.0552992	0.100425	0.0872938	0.0642344	0.0632827	0.0657214	0.0634834	0.0528148	0.048294	0.0641618	0.100772	0.234218
</S>	0.0927438	0.151733	0.126278	0.0848063	0.0670451	0.0587367	0.0517602	0.039553	0.0342842	0.0439043	0.0738363	0.175319
