 	cette	maison	manque	de	gardiens	</S>
a85	0.576692	0.210179	0.0922118	0.0559603	0.0386243	0.0263324
a66	0.425948	0.298136	0.135121	0.0533344	0.0473995	0.0400613
a97	0.368411	0.232634	0.1158	0.0577017	0.0720562	0.153398
a10	0.412286	0.328567	0.131414	0.0516061	0.0389518	0.037175
a9	0.517694	0.324264	0.0942497	0.0272927	0.0184325	0.0180677
a99	0.555694	0.321182	0.0778321	0.0175149	0.0129056	0.0148716
a83	0.562978	0.322832	0.0778832	0.0159277	0.00967837	0.0107003
a62	0.527304	0.291805	0.105641	0.0300383	0.0179418	0.02727
a21	0.328605	0.390936	0.201328	0.0446263	0.0181332	0.0163717
a47	0.200732	0.394803	0.29657	0.0639503	0.0230665	0.0208781
a21	0.185356	0.334091	0.340123	0.0929258	0.0262495	0.0212546
a47	0.137569	0.284214	0.383547	0.130103	0.0366693	0.0278979
a88	0.14028	0.203551	0.298967	0.189025	0.078702	0.0894756
a61	0.0335914	0.0601238	0.176088	0.300066	0.206512	0.223619
a75	0.0227601	0.0361148	0.102758	0.23672	0.244142	0.357505
a92	0.020663	0.0223685	0.0709546	0.202909	0.273345	0.40976
a98	0.0145692	0.0139598	0.0436096	0.168492	0.276433	0.482936
a85	0.00534635	0.00476121	0.0172313	0.0818957	0.209154	0.681611
a6	0.00611928	0.00550645	0.0201128	0.0893552	0.208235	0.670671
a36	0.0040998	0.00340101	0.00971689	0.0535442	0.151439	0.777799
a21	0.00700903	0.00427983	0.00925064	0.0344966	0.128758	0.816206
a47	0.00708153	0.00497164	0.0120836	0.0456651	0.136242	0.793956
a88	0.00316597	0.00263395	0.00831684	0.0401585	0.131569	0.814156
a71	0.00387909	0.00319243	0.0111085	0.0571182	0.181636	0.743065
a3	0.0213856	0.016552	0.0341196	0.125759	0.265596	0.536588
a9	0.22378	0.0962655	0.0643425	0.108196	0.198086	0.309329
a3	0.233481	0.112814	0.0589985	0.0629524	0.162997	0.368757
a97	0.140901	0.0704291	0.0419944	0.046559	0.160836	0.539281
</S>	0.105689	0.0670348	0.05219	0.0535666	0.163635	0.557884
