 	papa	a	maintenant	des	cheveux	blancs	</S>
a87	0.525688	0.208801	0.142339	0.060614	0.0325641	0.0156998	0.014294
a23	0.336891	0.111996	0.0897744	0.0858324	0.0858677	0.101005	0.188633
a87	0.399638	0.2033	0.138891	0.0816049	0.0500553	0.0446748	0.0818367
a99	0.393925	0.187259	0.137056	0.0967631	0.0666989	0.0521917	0.0661067
a75	0.408458	0.152212	0.11385	0.089296	0.0785047	0.0654689	0.0922104
a85	0.350572	0.210597	0.138312	0.0978379	0.0804242	0.0689452	0.0533111
a37	0.25901	0.241812	0.223027	0.151404	0.0639177	0.0354948	0.025335
a85	0.282677	0.280547	0.201744	0.115322	0.0557201	0.0363614	0.0276279
a37	0.277984	0.313585	0.202781	0.0920641	0.0467253	0.0338977	0.0329635
a75	0.184533	0.287213	0.267904	0.136437	0.0571885	0.0364114	0.0303133
a85	0.188207	0.264563	0.207438	0.14075	0.0865523	0.0606579	0.0518325
a47	0.166242	0.217342	0.173109	0.168966	0.125041	0.0818608	0.067439
a37	0.129159	0.166204	0.148437	0.148182	0.161307	0.12645	0.120261
a83	0.11959	0.158038	0.141501	0.129701	0.156145	0.139645	0.155381
a18	0.0382861	0.0653723	0.0726535	0.107575	0.217032	0.238661	0.26042
a24	0.011987	0.019741	0.0289665	0.0462561	0.135765	0.250107	0.507177
a83	0.00947584	0.0147815	0.0226284	0.0520625	0.155528	0.256519	0.489005
a9	0.00641569	0.0121668	0.0201978	0.0527432	0.161949	0.258419	0.488108
a99	0.00262658	0.00575855	0.0112548	0.0252642	0.0976584	0.244281	0.613157
a87	0.0150371	0.0139491	0.0175882	0.0345138	0.0904041	0.258806	0.569702
a23	0.0840345	0.0558146	0.0494224	0.0629981	0.109791	0.203851	0.434089
a87	0.0266661	0.0138394	0.0132736	0.032396	0.0892982	0.260778	0.563748
</S>	0.00593655	0.00617707	0.00866233	0.0245246	0.0816368	0.255836	0.617227
