 	on	entend	les	abeilles	bourdonner	autour	de	la	ruche	</S>
a18	0.253891	0.0965762	0.107222	0.148918	0.138315	0.0982785	0.0697107	0.0342013	0.0273212	0.0255666
a61	0.122	0.0684949	0.0965302	0.0758761	0.0982246	0.0803134	0.0834198	0.0925965	0.127709	0.154835
a21	0.359369	0.174118	0.116323	0.113489	0.0649295	0.0534617	0.0389407	0.0283417	0.0289048	0.0221217
a61	0.428984	0.245221	0.118441	0.0923303	0.0406227	0.0310634	0.0233572	0.0110008	0.00581803	0.00316175
a66	0.353584	0.280445	0.156263	0.114034	0.0429857	0.0258848	0.016915	0.0058152	0.00261172	0.00146186
a56	0.243772	0.26531	0.199754	0.165321	0.0602814	0.029882	0.0171675	0.00732861	0.00620047	0.00498247
a37	0.225004	0.254113	0.181299	0.181648	0.0794683	0.0368997	0.0212569	0.00894974	0.00621559	0.0051463
a75	0.176895	0.216669	0.185112	0.218801	0.0984019	0.0461241	0.0249276	0.0114505	0.0106763	0.0109421
a85	0.139783	0.177133	0.167101	0.213267	0.1195	0.0732184	0.0503429	0.0260418	0.0174751	0.0161375
a37	0.111431	0.15335	0.159149	0.211681	0.134484	0.0856873	0.0628573	0.0337788	0.0242756	0.0233054
a61	0.103688	0.142328	0.150433	0.223074	0.145976	0.097706	0.0617285	0.0267236	0.0248513	0.0234932
a21	0.0694385	0.108569	0.129152	0.184657	0.16705	0.142365	0.106196	0.0451139	0.026181	0.021276
a61	0.0568597	0.0803557	0.112429	0.164784	0.184921	0.167867	0.129918	0.0567612	0.026976	0.0191288
a66	0.0302023	0.0500777	0.0808524	0.141337	0.184023	0.184684	0.151967	0.0806418	0.0529267	0.0432886
a98	0.0242391	0.0417835	0.0694079	0.129124	0.165616	0.15542	0.123383	0.0836902	0.0983125	0.109024
a47	0.0111057	0.0194657	0.0330338	0.0622848	0.122442	0.158927	0.167072	0.147032	0.169745	0.108893
a0	0.0119206	0.0174668	0.0204379	0.0336356	0.0536723	0.0788756	0.0885416	0.123439	0.297896	0.274115
a11	0.0145201	0.0151884	0.0147414	0.0198514	0.0250815	0.0364993	0.0435153	0.0787013	0.319655	0.432246
a94	0.00607459	0.00399845	0.00398653	0.00647007	0.00805551	0.0131716	0.0192196	0.0552768	0.302232	0.581515
a98	0.00411631	0.00525504	0.0062173	0.00968433	0.0108875	0.015913	0.0244791	0.0768169	0.374989	0.471641
a92	0.00481857	0.00677395	0.00738249	0.00997908	0.0120769	0.0180774	0.0344929	0.122563	0.410824	0.373011
a0	0.00366557	0.00604164	0.00658684	0.0104751	0.0156442	0.0266975	0.0431964	0.115024	0.397527	0.375142
a11	0.00145339	0.00136289	0.00170325	0.00243858	0.00324387	0.00554994	0.0108488	0.050638	0.366182	0.55658
a75	0.00546847	0.00301961	0.00317099	0.00460824	0.00588651	0.0100404	0.0188347	0.0662617	0.305768	0.576941
a61	0.00308731	0.00420923	0.0046766	0.00728943	0.0109998	0.0186422	0.0350926	0.0997653	0.376183	0.440055
a21	0.0013415	0.00171054	0.00211564	0.00310735	0.00484912	0.0074975	0.0130761	0.0544612	0.348726	0.563115
a85	0.00235491	0.00269427	0.0029143	0.00374158	0.00595161	0.00867506	0.0136882	0.0519891	0.356737	0.551254
a37	0.00259381	0.00283986	0.00356603	0.00490069	0.00782275	0.0122465	0.0263998	0.104324	0.389428	0.445879
a98	0.00339771	0.00239853	0.0025075	0.00396242	0.00528704	0.00859347	0.0179021	0.0817706	0.38761	0.48657
a47	0.00317378	0.00278926	0.00353919	0.00532789	0.00854783	0.0136676	0.0300612	0.110881	0.395483	0.426529
a36	0.013526	0.00724868	0.00753142	0.00860569	0.0118976	0.0214051	0.04555	0.144733	0.354372	0.38513
a2	0.0874274	0.0288566	0.0344077	0.0309665	0.0334887	0.0624014	0.0878495	0.134715	0.187073	0.312814
a57	0.259672	0.124667	0.106764	0.0772995	0.0487846	0.062851	0.0592118	0.0588245	0.0768088	0.125117
a87	0.23375	0.119885	0.103666	0.0669318	0.0504127	0.0688585	0.0858078	0.102727	0.0743658	0.0935955
a23	0.166536	0.0837054	0.080372	0.0644459	0.0714398	0.0911224	0.104172	0.124441	0.0952725	0.118493
a87	0.070692	0.0347717	0.0390011	0.0323222	0.0497794	0.0668346	0.111126	0.174251	0.187948	0.233274
</S>	0.0237562	0.0158424	0.0220056	0.0171907	0.0242146	0.0307236	0.0480195	0.0997772	0.259724	0.458746
