 	l'	antilope	se	nourrit	de	feuilles	de	la	plante	aquatique	moo	</S>
a66	0.156288	0.126175	0.0965469	0.0869483	0.109264	0.11476	0.162818	0.11005	0.0249068	0.00388118	0.00377725	0.00458421
a87	0.271612	0.214342	0.1785	0.109998	0.0751967	0.0565996	0.0501664	0.0216558	0.00771812	0.00213898	0.00460114	0.00747171
a23	0.271982	0.204792	0.15602	0.108732	0.0710775	0.0636303	0.0381936	0.0287806	0.0179468	0.00722689	0.0135239	0.0180953
a38	0.270871	0.243675	0.151043	0.0972042	0.0536083	0.0440107	0.0164027	0.00713387	0.00675861	0.00907682	0.0269556	0.0732593
a93	0.251185	0.182603	0.0979401	0.0814138	0.0537277	0.0617795	0.0538796	0.0337596	0.0278389	0.0203065	0.0374389	0.0981274
a75	0.184335	0.206782	0.153984	0.142481	0.0876581	0.0840207	0.0717175	0.0336281	0.0161903	0.0068881	0.00631411	0.00600151
a85	0.142236	0.155748	0.129422	0.124555	0.0733438	0.0773292	0.111178	0.0657785	0.0445159	0.0275487	0.0257118	0.0226337
a6	0.0809387	0.0948466	0.0837626	0.0728553	0.0437148	0.0493502	0.111259	0.11119	0.10615	0.0892341	0.0811213	0.0755782
a36	0.113254	0.117129	0.0986952	0.0900249	0.0570226	0.0648579	0.118713	0.111773	0.0710399	0.0550998	0.0553901	0.0470014
a85	0.066666	0.0602813	0.0571152	0.0611972	0.0530151	0.0625648	0.0960518	0.0922956	0.0952421	0.115348	0.136178	0.104045
a47	0.0293779	0.0298261	0.040476	0.0469512	0.0470776	0.0559352	0.13458	0.1556	0.111307	0.112555	0.120067	0.116248
a36	0.0161072	0.0137505	0.0172773	0.0228742	0.0263559	0.0316652	0.0733214	0.0681832	0.116592	0.176297	0.215721	0.221855
a15	0.0143514	0.0110981	0.0104322	0.0136626	0.0156883	0.0187204	0.0314786	0.041078	0.0814743	0.166862	0.270314	0.32484
a94	0.00586442	0.00431332	0.00390769	0.00526877	0.00566274	0.00615813	0.0108532	0.017804	0.0496813	0.150636	0.290762	0.449088
a37	0.00385736	0.00248772	0.00238313	0.00332518	0.00318276	0.00332672	0.00387862	0.00597054	0.0350803	0.150204	0.27149	0.514814
a88	0.00211652	0.00145154	0.00141196	0.00192736	0.00163419	0.00148567	0.00160141	0.00232743	0.0140228	0.115479	0.284142	0.572399
a61	0.00123261	0.00077891	0.00068747	0.000978278	0.000754617	0.000725494	0.00116737	0.00201483	0.0104925	0.0825355	0.281864	0.616769
a79	0.00184593	0.0011577	0.00097136	0.00133415	0.00102176	0.000920768	0.00146452	0.00279113	0.0111848	0.0789912	0.280513	0.617804
a94	0.00189923	0.00110411	0.000989573	0.00137268	0.00113118	0.00102777	0.00238651	0.00543051	0.0188258	0.0914775	0.26941	0.604945
a84	0.00230219	0.00147203	0.00145336	0.00192127	0.00160432	0.00139125	0.00322941	0.00769658	0.0309952	0.105053	0.272027	0.570854
a82	0.0218877	0.0113663	0.00742023	0.0093323	0.0075491	0.00705414	0.0104883	0.0136218	0.0211743	0.0791624	0.232535	0.578409
a87	0.233454	0.123701	0.0889064	0.0767123	0.0634015	0.0504865	0.0307449	0.0163234	0.0154095	0.0402916	0.0864335	0.174135
a23	0.220351	0.158934	0.155798	0.127219	0.108284	0.0984827	0.0565237	0.0270707	0.00993452	0.00914451	0.0123784	0.0158794
a87	0.0672879	0.0432135	0.0391735	0.027391	0.0187508	0.0205623	0.0199228	0.0332201	0.0640622	0.157348	0.274316	0.234752
</S>	0.0168731	0.0110196	0.0104175	0.00880109	0.00679827	0.00788566	0.0082338	0.0143742	0.0406057	0.142583	0.299743	0.432665
