 	la	guerre	extermine	les	peuples	</S>
a23	0.285787	0.390915	0.186679	0.0890335	0.0315705	0.0160145
a87	0.274707	0.369482	0.262885	0.0638472	0.0186586	0.01042
a99	0.248623	0.293539	0.306154	0.0840381	0.0348109	0.0328345
a50	0.355078	0.318789	0.218676	0.0403039	0.0308588	0.0362954
a62	0.299121	0.274487	0.236702	0.0723496	0.0581504	0.05919
a61	0.543353	0.239457	0.180044	0.0203976	0.00858016	0.00816907
a21	0.418451	0.272489	0.266416	0.0261867	0.00872243	0.00773487
a5	0.295785	0.302008	0.354458	0.0297681	0.0103022	0.00767899
a37	0.205477	0.271959	0.424171	0.0581589	0.0239702	0.016264
a62	0.115867	0.195721	0.597138	0.0491121	0.0218951	0.020267
a31	0.135619	0.229811	0.504948	0.0845027	0.0256324	0.0194872
a62	0.119601	0.205788	0.452339	0.137491	0.0469548	0.0378263
a0	0.0873715	0.188122	0.332102	0.203922	0.0999904	0.0884925
a21	0.0712784	0.166819	0.238326	0.232853	0.140374	0.150349
a85	0.0842758	0.106058	0.1365	0.281358	0.224309	0.167499
a37	0.0548962	0.0497248	0.0730991	0.274708	0.269407	0.278165
a98	0.038477	0.04809	0.0597026	0.190456	0.288087	0.375187
a85	0.00493344	0.0040423	0.00676191	0.0899985	0.343122	0.551142
a5	0.00582987	0.00666096	0.0125732	0.121067	0.351738	0.502131
a61	0.00780434	0.0116156	0.0190157	0.135357	0.363909	0.462298
a88	0.00175216	0.00325199	0.00940767	0.0821693	0.321204	0.582214
a9	0.00101264	0.00252531	0.0101778	0.141908	0.33532	0.509056
a87	0.0015139	0.00389863	0.0121978	0.0736382	0.307006	0.601745
a23	0.0177297	0.0379714	0.0687117	0.140746	0.251243	0.483598
a87	0.00422624	0.00623852	0.0194575	0.090321	0.289349	0.590408
</S>	0.00383344	0.0113298	0.0283505	0.148081	0.282342	0.526064
