 	tu	finiras	par	coucher	avec	un	bandit	</S>
a87	0.217917	0.169409	0.254429	0.231777	0.0841389	0.0315078	0.00736195	0.00345901
a23	0.546795	0.20422	0.108089	0.0622244	0.0228936	0.0220634	0.0162221	0.0174916
a18	0.21858	0.20576	0.174201	0.187618	0.106268	0.0446622	0.020668	0.0422424
a99	0.216275	0.205795	0.206221	0.196058	0.0987816	0.0323468	0.0173742	0.027148
a93	0.274871	0.222929	0.217007	0.170609	0.0761713	0.0185005	0.00953828	0.0103746
a70	0.353136	0.226873	0.145938	0.096188	0.0941492	0.0285632	0.0230944	0.0320587
a11	0.307071	0.255766	0.163553	0.0990846	0.0989297	0.0296984	0.0215528	0.0243441
a24	0.224755	0.252929	0.158108	0.104503	0.102589	0.052185	0.0491743	0.0557579
a93	0.128855	0.220951	0.155834	0.131598	0.114293	0.0829726	0.0766378	0.0888586
a13	0.0904552	0.170826	0.1285	0.109587	0.153695	0.100149	0.107668	0.13912
a93	0.0994333	0.157946	0.13739	0.126491	0.155231	0.109588	0.107069	0.106853
a56	0.0983605	0.125744	0.122801	0.130552	0.178566	0.127575	0.0992035	0.117199
a98	0.0805698	0.143031	0.142306	0.146708	0.198675	0.109262	0.0859975	0.0934509
a92	0.0511126	0.142204	0.172945	0.172982	0.183957	0.109273	0.0794168	0.0881091
a37	0.0657896	0.126326	0.150861	0.146063	0.154876	0.0972061	0.106534	0.152344
a93	0.0590647	0.0970295	0.13582	0.159335	0.171609	0.127459	0.110235	0.139448
a70	0.0402042	0.0678777	0.0984108	0.125456	0.132864	0.14701	0.167847	0.22033
a62	0.0133546	0.0284914	0.0596867	0.117333	0.128839	0.181764	0.21518	0.255351
a70	0.0289274	0.0417529	0.0497497	0.0750479	0.0870483	0.151944	0.252208	0.313322
a13	0.0125424	0.0160043	0.0212616	0.0386877	0.0624095	0.148465	0.318897	0.381733
a38	0.00584649	0.00918815	0.0151807	0.0292605	0.049947	0.128397	0.331002	0.431178
a47	0.00286404	0.00389709	0.00551594	0.0104012	0.0213209	0.0826947	0.338635	0.534671
a62	0.00284337	0.00425763	0.00575061	0.0104903	0.0204631	0.078572	0.300738	0.576885
a88	0.00326732	0.00468083	0.00409011	0.00668193	0.0129469	0.0605547	0.262846	0.644932
a9	0.000916724	0.0011726	0.00148579	0.00220976	0.0044081	0.0257426	0.229835	0.73423
a99	0.00492239	0.00413135	0.00408385	0.00531044	0.00693273	0.0284429	0.281772	0.664404
a87	0.01906	0.0124447	0.0122468	0.0154441	0.0143973	0.0435328	0.302605	0.580269
a23	0.108415	0.0667718	0.0528366	0.0746264	0.0931746	0.153366	0.213619	0.23719
a87	0.0432609	0.0335814	0.028431	0.044279	0.0524582	0.115856	0.236974	0.445159
</S>	0.0126242	0.0122589	0.0140256	0.0289313	0.0399084	0.0805409	0.17481	0.636901
