 	je	ne	suis	pas	encore	chauffeur	mais	un	apprenti	</S>
a66	0.116665	0.105349	0.0909087	0.12478	0.164553	0.176411	0.139632	0.0611824	0.0137556	0.00676401
a87	0.376444	0.212086	0.130554	0.0848405	0.0569399	0.0548352	0.0350116	0.0244855	0.0132647	0.0115395
a23	0.34853	0.237004	0.155003	0.0868018	0.065356	0.0446014	0.0234483	0.0164872	0.0111366	0.0116316
a83	0.373647	0.267676	0.174664	0.0685896	0.044465	0.0264699	0.0113715	0.00796285	0.00822653	0.0169286
a62	0.34448	0.189788	0.130838	0.0737498	0.0639583	0.0643989	0.034032	0.0347378	0.033409	0.0306079
a0	0.352237	0.259839	0.187568	0.0785019	0.0533589	0.0366976	0.0144634	0.010373	0.00438395	0.00257684
a56	0.296639	0.242292	0.229136	0.0924409	0.053743	0.0312898	0.0171892	0.022028	0.0113671	0.00387439
a96	0.245134	0.192518	0.20522	0.12182	0.0878483	0.0600862	0.0328343	0.0330638	0.0161717	0.00530451
a11	0.184758	0.167095	0.197782	0.131106	0.0985822	0.0731569	0.0448525	0.054046	0.0379981	0.010623
a47	0.12987	0.134792	0.16507	0.134187	0.108341	0.0785887	0.0494696	0.071316	0.0967513	0.0316136
a96	0.0939153	0.110758	0.155497	0.14681	0.122552	0.108711	0.0811803	0.0779437	0.0752665	0.0273658
a93	0.0551773	0.0725981	0.115673	0.150261	0.137645	0.138018	0.111154	0.0999548	0.0847422	0.0347779
a13	0.0442684	0.0615486	0.0928974	0.14173	0.142104	0.157463	0.129165	0.102786	0.0874027	0.0406348
a93	0.0340674	0.0466618	0.0585763	0.119596	0.139639	0.184146	0.151353	0.0963103	0.105633	0.0640171
a90	0.0390127	0.0435186	0.0606751	0.116952	0.138907	0.175427	0.172057	0.121479	0.0743423	0.0576287
a69	0.0199323	0.0234563	0.0338568	0.0849395	0.123145	0.175841	0.198799	0.159807	0.100719	0.0795041
a4	0.0123318	0.0154253	0.0211367	0.0600153	0.09556	0.146723	0.195123	0.15718	0.138456	0.158049
a90	0.014662	0.0166342	0.0190661	0.0413205	0.0656963	0.117218	0.199379	0.165618	0.154899	0.205506
a69	0.00821822	0.00892734	0.0113132	0.0316422	0.0651198	0.136824	0.219645	0.159286	0.151595	0.207428
a94	0.00813373	0.00878638	0.0100422	0.022404	0.0399621	0.0825091	0.181678	0.157924	0.180305	0.308255
a62	0.00644742	0.00674651	0.00636316	0.0121148	0.0189618	0.0351971	0.0763032	0.0764074	0.180102	0.581356
a88	0.00384751	0.00378817	0.00380318	0.00671451	0.00925892	0.0152844	0.042383	0.0516918	0.199068	0.66416
a71	0.00374252	0.00390102	0.00405873	0.00791123	0.0109429	0.0205449	0.0605538	0.0646098	0.196545	0.62719
