 	j'	ai	acheté	des	tissus	de	raphia	pour	confectionner	une	robe	pour	la	danse	kyebé-kyebé	</S>
a66	0.120404	0.0993817	0.0775933	0.0577375	0.0466442	0.0498196	0.0735626	0.072463	0.0896425	0.10141	0.0919683	0.0529295	0.0274527	0.0165475	0.0109976	0.011446
a87	0.195767	0.13955	0.0787296	0.0368611	0.0230359	0.0223852	0.0269905	0.0373613	0.0261281	0.0424892	0.0530757	0.0422185	0.0506733	0.0690538	0.0781252	0.0775561
a23	0.236171	0.221286	0.163776	0.0842767	0.0370776	0.0305528	0.0276013	0.0217948	0.0241741	0.0141386	0.0146299	0.0167547	0.0227918	0.0305741	0.0273526	0.0270475
a99	0.303131	0.241281	0.0825017	0.0447363	0.0257203	0.044458	0.0502027	0.0469247	0.0582939	0.0224079	0.0137949	0.010618	0.0130464	0.0151434	0.0126152	0.0151248
a83	0.270701	0.169048	0.0695896	0.0499857	0.0393828	0.0437014	0.0490625	0.0418023	0.0621712	0.0289318	0.028334	0.0293044	0.0332516	0.0343966	0.0246303	0.0257063
a88	0.368526	0.16483	0.0913473	0.0777527	0.0380447	0.0350545	0.0353333	0.0330312	0.0686163	0.0174639	0.0140817	0.0120715	0.0138783	0.0145868	0.00956258	0.00581988
a0	0.160431	0.114603	0.0899557	0.111225	0.0911519	0.0639328	0.0551252	0.0534716	0.126076	0.0308069	0.0224153	0.0164628	0.0194412	0.0214359	0.0158892	0.00757749
a56	0.0766431	0.0590214	0.0569239	0.111924	0.132932	0.109339	0.0878043	0.0935923	0.131342	0.0426483	0.025705	0.0127591	0.0134983	0.0161287	0.0173963	0.0123427
a44	0.0339851	0.0273983	0.03504	0.101725	0.162743	0.142269	0.112411	0.11165	0.124422	0.0584984	0.0332785	0.0129078	0.0112457	0.0117619	0.012	0.00866377
a96	0.0177076	0.0156875	0.0257941	0.0773297	0.148249	0.14753	0.120033	0.120485	0.125364	0.0780334	0.0450333	0.0170797	0.0146139	0.0153414	0.0172155	0.0145022
a88	0.0160335	0.0144045	0.0233712	0.0593517	0.147037	0.14861	0.121281	0.130361	0.12684	0.0765322	0.0494929	0.0194767	0.0164359	0.0158198	0.0178158	0.0171376
a71	0.00841747	0.0074781	0.0114547	0.0293025	0.121646	0.159658	0.139353	0.149731	0.140322	0.0923199	0.0637359	0.021329	0.0146864	0.0127368	0.0135189	0.0143097
a53	0.00664182	0.00577481	0.00875152	0.0168582	0.0783349	0.146601	0.147483	0.150076	0.124558	0.107001	0.0902194	0.0334492	0.0232421	0.0198931	0.020358	0.020759
a15	0.00622703	0.00505187	0.00680221	0.0114463	0.0407748	0.0975979	0.126775	0.134003	0.125321	0.134087	0.103606	0.0531267	0.0392809	0.0334139	0.0373811	0.0451056
a47	0.00460718	0.00413182	0.0050876	0.00791355	0.0254578	0.067353	0.0937827	0.0920629	0.0813825	0.14193	0.0947577	0.0619969	0.0622837	0.0595497	0.0854208	0.112282
a0	0.00321773	0.00281116	0.00259214	0.00416217	0.0189832	0.0481615	0.0774199	0.0575759	0.0566782	0.187333	0.139863	0.0894155	0.0759299	0.0638948	0.0711115	0.10085
a75	0.00355591	0.00267954	0.00288231	0.00363478	0.0146195	0.0518384	0.0959501	0.0835711	0.0634276	0.195565	0.162959	0.0813524	0.0558066	0.0478965	0.055558	0.0787039
a12	0.00119648	0.000979459	0.000983972	0.00151239	0.00576756	0.0187117	0.0375309	0.036442	0.0335854	0.125173	0.0928484	0.0782255	0.0921754	0.0973105	0.1428	0.234757
a96	0.00158506	0.00113145	0.0013289	0.00186445	0.00696889	0.0286179	0.0519401	0.0516171	0.036301	0.14874	0.111523	0.079676	0.0780435	0.0769025	0.11989	0.20387
a62	0.00174778	0.00127208	0.00165066	0.00216055	0.00628734	0.028522	0.051514	0.0508515	0.0382291	0.164052	0.131246	0.091275	0.0775877	0.0771391	0.110668	0.165797
a83	0.00220237	0.00161559	0.00189228	0.00254218	0.00678997	0.0280533	0.0450495	0.0435967	0.0300513	0.107498	0.0974171	0.09334	0.104139	0.119411	0.151599	0.164803
a71	0.00169293	0.00130246	0.00164467	0.00208892	0.00444618	0.0172801	0.0294799	0.0270733	0.0199664	0.074741	0.0731642	0.0801697	0.102136	0.137912	0.18985	0.237052
a38	0.00190163	0.00164673	0.00189667	0.00214132	0.00291891	0.00751913	0.0120184	0.00994539	0.00863353	0.0631277	0.0865582	0.102276	0.109698	0.123748	0.143815	0.322156
a93	0.00377785	0.002779	0.00274229	0.00301956	0.00344205	0.00629059	0.010235	0.0102069	0.0109753	0.0501783	0.0558749	0.094515	0.118227	0.133139	0.140914	0.353684
a94	0.000274496	0.000194822	0.000205121	0.000239096	0.000485384	0.0016767	0.00343603	0.00325417	0.00245216	0.0187695	0.0221692	0.0426444	0.08486	0.159851	0.238803	0.420685
a90	0.000180796	0.000127128	0.000131961	0.000146856	0.000262106	0.000843282	0.00180478	0.00169105	0.00139377	0.0103378	0.0137183	0.0275378	0.0589818	0.117534	0.203208	0.562101
a98	6.65616e-05	4.65102e-05	4.38622e-05	5.65466e-05	0.000124743	0.000443984	0.000931415	0.00089224	0.000691621	0.00810136	0.00984167	0.02399	0.0575471	0.130582	0.220542	0.546098
a92	2.97703e-05	2.29038e-05	2.12709e-05	2.87363e-05	7.52565e-05	0.000300553	0.000516459	0.00046284	0.000299763	0.00430243	0.0048134	0.0108181	0.0310888	0.0756779	0.177176	0.694366
a7	4.96625e-05	3.35282e-05	2.9345e-05	4.13323e-05	9.86612e-05	0.000375057	0.000675397	0.00058145	0.000434223	0.00603256	0.0064804	0.0164037	0.0416732	0.0834321	0.16052	0.683139
a0	0.000187587	0.000123071	0.000111312	9.25439e-05	0.000115613	0.000224838	0.000313208	0.00027663	0.000173817	0.00239458	0.00401962	0.0134026	0.0330677	0.0647795	0.152211	0.728507
a94	0.00158882	0.000987404	0.000825652	0.000719891	0.000727034	0.00113923	0.00146087	0.00138288	0.00083414	0.00900669	0.0139006	0.0298662	0.0516827	0.0775315	0.162355	0.645992
a66	0.00495897	0.00306869	0.00322255	0.00331199	0.00311461	0.00477789	0.00597783	0.00596707	0.00334939	0.0179293	0.0240812	0.0369192	0.056479	0.0857938	0.17465	0.566398
a26	0.0314875	0.0160663	0.0155548	0.0165681	0.0158431	0.019452	0.0213169	0.0221676	0.0140431	0.0401901	0.0475788	0.0527533	0.072708	0.0859478	0.133093	0.395229
a57	0.105199	0.0668951	0.0518385	0.0349961	0.0255948	0.0262904	0.0299898	0.0351924	0.0237837	0.0391389	0.0419976	0.0520223	0.0687292	0.0830411	0.107417	0.207874
a87	0.122047	0.0941101	0.0676902	0.0336949	0.0215987	0.0238518	0.0241207	0.0266606	0.0158721	0.0216911	0.0244507	0.0476136	0.0662764	0.0890052	0.100352	0.220965
a23	0.0785148	0.0707511	0.0714622	0.0402883	0.0221675	0.0214478	0.019438	0.0201526	0.0132892	0.0208927	0.0277558	0.0668903	0.0912054	0.117836	0.116236	0.201672
a97	0.0195	0.0188693	0.017513	0.0104056	0.00638177	0.0047318	0.00457761	0.00614122	0.00333049	0.0097419	0.0125252	0.0320607	0.069135	0.154023	0.221814	0.409249
a3	0.0111374	0.00887543	0.00683615	0.00444606	0.00455925	0.00792386	0.00923527	0.0113381	0.00629988	0.012903	0.0105354	0.0192148	0.0363211	0.0907281	0.205652	0.553995
a87	0.0277136	0.0225827	0.0201454	0.0141987	0.0140587	0.0250353	0.0237132	0.0264252	0.0180297	0.0213835	0.0182618	0.0308176	0.0455621	0.0935772	0.172799	0.425696
</S>	0.038251	0.0370376	0.0383189	0.0328182	0.0320813	0.0492164	0.0447951	0.047615	0.0382144	0.0337047	0.0275116	0.0358613	0.0447882	0.077159	0.127243	0.295384
