 	la	piqûre	du	silure	isae	est	mordante	</S>
a66	0.280924	0.220802	0.200492	0.128029	0.0963661	0.0447241	0.0192574	0.00940464
a10	0.2668	0.132321	0.136639	0.119423	0.117708	0.120589	0.0688585	0.0376609
a87	0.216803	0.171913	0.204503	0.168128	0.141133	0.0526478	0.023811	0.021061
a99	0.188992	0.179338	0.200888	0.178634	0.161804	0.0526172	0.0218132	0.0159138
a87	0.183682	0.177968	0.200047	0.177857	0.155479	0.0571246	0.027073	0.0207695
a10	0.185505	0.183494	0.195862	0.165938	0.149217	0.0633641	0.0318506	0.0247694
a87	0.196658	0.186646	0.212642	0.160181	0.135083	0.0585417	0.0287305	0.0215185
a23	0.197743	0.186443	0.202783	0.153655	0.131198	0.0683603	0.0357911	0.0240266
a4	0.211725	0.205254	0.228291	0.168001	0.0899723	0.0456377	0.0260008	0.0251184
a13	0.249285	0.251513	0.177398	0.11474	0.0754276	0.0561178	0.0377697	0.0377494
a93	0.169479	0.180729	0.137491	0.124088	0.126202	0.115607	0.0759681	0.0704371
a90	0.150568	0.184122	0.144063	0.116741	0.143029	0.111245	0.0765497	0.0736818
a93	0.0985025	0.12373	0.112519	0.109631	0.15426	0.130816	0.124065	0.146475
a56	0.0829894	0.11099	0.135678	0.145583	0.201815	0.126448	0.0951161	0.10138
a47	0.0919258	0.118146	0.141375	0.141568	0.199122	0.129591	0.0899414	0.0883307
a24	0.0664342	0.0912107	0.131407	0.189992	0.250999	0.128621	0.0706937	0.0706424
a43	0.040705	0.0542294	0.0928721	0.166885	0.259863	0.17604	0.102923	0.106483
a21	0.0379346	0.0567489	0.0988236	0.167443	0.250693	0.170859	0.109593	0.107905
a12	0.0271067	0.0372272	0.0722398	0.148041	0.240146	0.20842	0.135811	0.131009
a18	0.0133512	0.0161809	0.0311488	0.0910389	0.191078	0.241118	0.208692	0.207392
a90	0.00926605	0.010813	0.0191955	0.0743378	0.194845	0.218664	0.224242	0.248636
a56	0.0113246	0.0145814	0.0227913	0.080236	0.161413	0.207104	0.23681	0.26574
a37	0.0109866	0.0129667	0.0178872	0.0556213	0.110118	0.175547	0.254329	0.362544
a21	0.00653931	0.0072669	0.00958347	0.0330886	0.0792356	0.141769	0.250631	0.471886
a92	0.00438638	0.00469056	0.0053657	0.016911	0.0441589	0.0962376	0.220897	0.607353
a37	0.00194003	0.00219346	0.00251431	0.00709915	0.016135	0.0486978	0.180263	0.741157
a93	0.000938811	0.0010062	0.00102326	0.00248209	0.00638267	0.0228657	0.123507	0.841794
a34	0.00110074	0.00119232	0.00155277	0.00438804	0.0110117	0.0340315	0.147146	0.799577
a79	0.000841049	0.000861067	0.00101819	0.00239067	0.0064026	0.0296982	0.157721	0.801067
a7	0.000293343	0.000334123	0.000435294	0.00119717	0.0030014	0.0173468	0.133902	0.84349
a84	0.00116806	0.0010968	0.00163506	0.00388288	0.00717524	0.0253835	0.134524	0.825135
a87	0.0468216	0.0277648	0.0410433	0.0652811	0.0893887	0.125917	0.217436	0.386347
a23	0.130376	0.0988877	0.132025	0.129345	0.151955	0.132171	0.124012	0.101229
a99	0.0605596	0.0302757	0.0294312	0.0287552	0.0418679	0.0984134	0.237842	0.472855
a97	0.0191766	0.0116765	0.0167268	0.0314819	0.0571289	0.0974117	0.200021	0.566377
</S>	0.00874209	0.00952931	0.0209875	0.0428635	0.0602133	0.0906437	0.181286	0.585735
