 	le	lutteur	a	fait	tombé	son	adversaire	</S>
a66	0.539883	0.189602	0.0773576	0.0535966	0.0451509	0.0362722	0.0284117	0.0297261
a87	0.610674	0.103153	0.0370027	0.0322412	0.0429415	0.0508181	0.0525983	0.0705706
a97	0.365581	0.164277	0.113786	0.0782757	0.0598102	0.0504026	0.0697995	0.0980684
a79	0.336927	0.168456	0.121505	0.0902065	0.0694246	0.0577179	0.0749683	0.0807944
a69	0.338194	0.137108	0.132122	0.0901138	0.0468413	0.0541121	0.0807982	0.12071
a44	0.526908	0.203935	0.121881	0.0685241	0.0260666	0.017111	0.0165417	0.0190323
a98	0.323198	0.293829	0.210983	0.0987713	0.0274921	0.0168009	0.0135826	0.0153436
a92	0.18434	0.235033	0.244238	0.159421	0.066834	0.0431314	0.0320491	0.0349538
a37	0.175444	0.221168	0.230659	0.163892	0.0825407	0.0510289	0.0355224	0.0397455
a92	0.073967	0.126444	0.21007	0.21984	0.126352	0.0859454	0.076609	0.0807727
a79	0.0645076	0.12147	0.189609	0.194106	0.131019	0.10107	0.0916302	0.106588
a44	0.0558559	0.111963	0.18993	0.204425	0.136937	0.102436	0.0916033	0.10685
a96	0.045479	0.0820851	0.15521	0.21687	0.154055	0.107102	0.114322	0.124877
a93	0.0201436	0.0401158	0.0757308	0.159738	0.211087	0.172185	0.156893	0.164106
a4	0.0108741	0.027374	0.05845	0.138619	0.236588	0.206925	0.167814	0.153356
a50	0.00683789	0.0192387	0.0445844	0.103049	0.205363	0.225299	0.206155	0.189472
a21	0.00164931	0.00507826	0.017105	0.0496308	0.150881	0.228819	0.253827	0.293009
a6	0.00199533	0.00438908	0.0092331	0.0252217	0.100755	0.212583	0.282799	0.363023
a36	0.00103722	0.00296531	0.00745269	0.0186355	0.0742952	0.177172	0.295115	0.423327
a27	0.000567472	0.00179673	0.00651543	0.0157482	0.0464202	0.125637	0.271222	0.532093
a82	0.000807661	0.00145272	0.00420816	0.0101853	0.0435869	0.143256	0.281388	0.515116
a97	0.0242311	0.020974	0.029191	0.0413453	0.1166	0.192661	0.263812	0.311185
a87	0.22506	0.0937968	0.0719046	0.0666899	0.100429	0.123084	0.148375	0.170661
a97	0.241696	0.11517	0.0685773	0.0511908	0.073329	0.101622	0.148426	0.199989
</S>	0.0549741	0.045678	0.036393	0.0309547	0.0615752	0.122485	0.243442	0.404498
