 	il	y	a	du	pus	dans	mes	oreilles	</S>
a87	0.114374	0.128718	0.153903	0.253852	0.225682	0.08837	0.0170045	0.00929593	0.00880084
a23	0.191081	0.214216	0.156559	0.183836	0.0835218	0.0593801	0.040077	0.0327256	0.0386037
a87	0.135137	0.13295	0.0976914	0.122657	0.1663	0.0868468	0.0576046	0.0685783	0.132235
a23	0.154259	0.158703	0.139522	0.147339	0.232316	0.082953	0.0310726	0.0234656	0.0303695
a87	0.154039	0.192625	0.153032	0.165807	0.188735	0.0505362	0.0281335	0.0235829	0.043509
a23	0.12968	0.150086	0.122744	0.148449	0.179449	0.0746213	0.0441855	0.0515736	0.0992132
a83	0.124336	0.155953	0.136506	0.148218	0.233681	0.0746237	0.0451682	0.0309052	0.0506088
a75	0.20541	0.183176	0.137967	0.109604	0.124923	0.0631652	0.0668327	0.0547771	0.0541459
a47	0.22138	0.150842	0.116138	0.108774	0.17491	0.0771352	0.0636022	0.0443527	0.0428664
a6	0.141891	0.130788	0.116398	0.100343	0.141564	0.0740002	0.0959356	0.101464	0.0976153
a36	0.110413	0.091908	0.0955047	0.103608	0.168831	0.0811549	0.0930487	0.11604	0.139492
a27	0.094927	0.0782304	0.0820181	0.100669	0.187097	0.105277	0.104235	0.119175	0.128372
a11	0.0794692	0.0661548	0.0656109	0.067308	0.083048	0.117688	0.141524	0.172382	0.206814
a90	0.0709192	0.0549596	0.0548929	0.0608761	0.0721026	0.0924438	0.113965	0.186764	0.293077
a92	0.0245508	0.021723	0.0244179	0.0319834	0.0445982	0.0694726	0.119644	0.263264	0.400346
a79	0.0407232	0.0351114	0.0329401	0.031404	0.0307917	0.0407718	0.085976	0.264631	0.437651
a37	0.0187999	0.0149784	0.0142648	0.0133385	0.0112614	0.0391176	0.116799	0.3008	0.470641
a21	0.0141381	0.00892	0.00729111	0.00631792	0.00427593	0.0115386	0.0636117	0.265156	0.61875
a5	0.0264957	0.0202912	0.0165766	0.0137765	0.00955012	0.016022	0.0783455	0.266069	0.552874
a61	0.00757751	0.00447812	0.00357217	0.00367919	0.00409361	0.00713603	0.041531	0.253895	0.674037
a88	0.00193544	0.00113389	0.000964102	0.00115927	0.00185308	0.00626471	0.0415207	0.250852	0.694317
a50	0.00188099	0.00101374	0.0007616	0.000778401	0.00102788	0.00496742	0.0384616	0.239671	0.711437
a62	0.00187893	0.00144317	0.00127718	0.00118817	0.00100773	0.00468615	0.0355424	0.240721	0.712255
a88	0.00225509	0.00183086	0.00146205	0.00109586	0.000567319	0.00365015	0.0362302	0.244546	0.708363
a61	0.00221693	0.00147747	0.000948362	0.000597804	0.000295858	0.00217342	0.0286298	0.224543	0.739117
a36	0.000872682	0.000546479	0.000483231	0.00046977	0.000429539	0.0032428	0.0326766	0.236558	0.724721
a27	0.00169891	0.000906395	0.000538081	0.000349619	0.000236068	0.00235452	0.0326812	0.23156	0.729676
a30	0.0111329	0.0064128	0.00288357	0.00125734	0.00035972	0.00400414	0.0394933	0.256829	0.677628
a87	0.0964363	0.0577585	0.0278716	0.0155707	0.00708163	0.0287862	0.0799722	0.241768	0.444754
a23	0.31451	0.196505	0.141123	0.105412	0.0313678	0.0370381	0.0372409	0.0586623	0.0781409
a87	0.161041	0.0893717	0.0719245	0.0585218	0.0188979	0.0331771	0.0904216	0.196845	0.2798
</S>	0.00863122	0.00632581	0.00461686	0.00397178	0.00252549	0.0114373	0.0817679	0.343229	0.537495
