 	la	pluie	commence	à	tomber	</S>
a66	0.284501	0.204361	0.158223	0.137249	0.12899	0.0866777
a87	0.265443	0.19579	0.153274	0.141931	0.144391	0.0991698
a23	0.399844	0.255612	0.13489	0.091145	0.0650381	0.0534701
a87	0.361636	0.251616	0.149871	0.101962	0.0736636	0.0612511
a57	0.365133	0.244471	0.136378	0.100634	0.0814948	0.07189
a40	0.350589	0.242013	0.138299	0.103776	0.0859632	0.0793584
a36	0.487862	0.255107	0.122148	0.0597109	0.0407959	0.0343761
a85	0.434401	0.245534	0.135702	0.0812745	0.0533585	0.0497299
a5	0.403404	0.271662	0.16052	0.0875175	0.04321	0.0336864
a21	0.247393	0.205234	0.17725	0.147952	0.115329	0.106841
a85	0.208842	0.192011	0.162645	0.158632	0.142832	0.135037
a47	0.160561	0.182094	0.190835	0.179753	0.145344	0.141413
a6	0.0857121	0.110143	0.15492	0.189727	0.197654	0.261844
a98	0.0886932	0.119165	0.162909	0.196773	0.194059	0.2384
a92	0.0483029	0.0831678	0.15034	0.220289	0.238671	0.259229
a37	0.0374065	0.0645913	0.130292	0.222803	0.27411	0.270797
a98	0.0507115	0.0717859	0.117216	0.193855	0.261857	0.304575
a47	0.0204549	0.0310653	0.0633353	0.137124	0.29417	0.45385
a98	0.0118217	0.0181292	0.040749	0.0945957	0.264606	0.570098
a47	0.00811248	0.013341	0.0306672	0.0762883	0.249161	0.62243
a37	0.00799539	0.0109291	0.0260104	0.0704974	0.246924	0.637644
a36	0.0284681	0.0357087	0.0624042	0.101948	0.207601	0.56387
a26	0.0499685	0.0545955	0.0769053	0.114096	0.193375	0.511059
a30	0.0919375	0.0929621	0.118397	0.159977	0.218804	0.317922
a10	0.189927	0.147839	0.140692	0.149609	0.171868	0.200065
a87	0.232131	0.157877	0.129447	0.133497	0.156959	0.19009
a23	0.20243	0.137655	0.123846	0.141151	0.171416	0.223502
a10	0.085488	0.0811199	0.111487	0.161194	0.205792	0.354919
a87	0.0448038	0.041874	0.0700295	0.147523	0.233039	0.46273
a23	0.0452702	0.0393551	0.0592838	0.124319	0.229153	0.502618
a99	0.0566548	0.0550409	0.0820708	0.157407	0.232446	0.416381
a38	0.0840479	0.0790875	0.109846	0.179052	0.210522	0.337445
</S>	0.0978885	0.0876762	0.117276	0.174193	0.198361	0.324605
