 	il	y	a	un	tas	de	balayures	près	du	village	</S>
a23	0.175504	0.116695	0.0825454	0.0896832	0.106062	0.130187	0.139326	0.121457	0.0207196	0.00943279	0.00838825
a87	0.138581	0.0939566	0.0840774	0.0970019	0.143754	0.120361	0.0907731	0.0861409	0.0497378	0.0443742	0.0512424
a23	0.106198	0.0847485	0.0827016	0.0976519	0.153706	0.166877	0.111771	0.0813433	0.0406474	0.0329984	0.041358
a87	0.143054	0.115009	0.106852	0.125348	0.1728	0.144114	0.0755784	0.0597385	0.0202311	0.0170606	0.0202152
a23	0.11657	0.105168	0.105486	0.122368	0.158997	0.137105	0.0806421	0.0703317	0.0325514	0.0310444	0.0397359
a24	0.177407	0.163442	0.136229	0.139356	0.117634	0.0915876	0.0514248	0.0515785	0.02201	0.0219407	0.0273915
a32	0.304686	0.272529	0.165695	0.106395	0.051306	0.0453191	0.0247863	0.0218551	0.00326237	0.00194214	0.00222424
a26	0.24754	0.237937	0.16086	0.111067	0.0728805	0.0688694	0.0450732	0.0386689	0.00817757	0.00457293	0.00435249
a75	0.170735	0.171295	0.159516	0.138635	0.112963	0.0972639	0.0663142	0.0481469	0.0150647	0.0100989	0.00996649
a14	0.120121	0.128727	0.136178	0.136901	0.133451	0.133572	0.102421	0.0676191	0.0209527	0.0104286	0.00962838
a35	0.131142	0.121248	0.131647	0.136228	0.12972	0.134774	0.10073	0.0718817	0.0228843	0.0107762	0.00896921
a66	0.11884	0.0990034	0.124021	0.146778	0.146936	0.142488	0.10341	0.0607317	0.0276142	0.0162345	0.013943
a38	0.0900088	0.0749581	0.103693	0.135338	0.17323	0.161242	0.120261	0.060394	0.0330492	0.0223029	0.0255234
a75	0.0698597	0.0616901	0.0906062	0.131761	0.179276	0.163279	0.132292	0.0588122	0.0451619	0.0318237	0.0354381
a35	0.0686433	0.065259	0.0969254	0.130721	0.166707	0.172957	0.135299	0.0735115	0.0471919	0.0235848	0.0192005
a85	0.0544028	0.0564094	0.0780901	0.109556	0.168698	0.183582	0.154654	0.0874136	0.0492536	0.0298365	0.0281044
a75	0.0365975	0.0382026	0.0559935	0.084711	0.146307	0.173279	0.170875	0.088628	0.0813671	0.0600108	0.0640282
a14	0.0624727	0.0620687	0.0692406	0.0822795	0.100257	0.13111	0.131469	0.0720318	0.08216	0.0913299	0.115581
a41	0.0296678	0.0310756	0.0404077	0.0563896	0.0948257	0.128763	0.161867	0.0995649	0.120173	0.110499	0.126766
a35	0.0210366	0.0229372	0.031874	0.0516433	0.0842142	0.110935	0.139321	0.0724101	0.131055	0.146021	0.188552
a24	0.0216127	0.0222527	0.0312052	0.0523025	0.084185	0.0934883	0.111735	0.054797	0.148484	0.169839	0.210099
a62	0.0139353	0.0143866	0.0196762	0.0321674	0.0633423	0.0742923	0.0894856	0.0483731	0.162255	0.215702	0.266384
a35	0.0134622	0.0133847	0.0168441	0.0243907	0.0495044	0.0580301	0.0680556	0.0430671	0.141017	0.246783	0.325461
a41	0.0132921	0.0112121	0.0144444	0.0221627	0.0434683	0.0440838	0.055018	0.0271193	0.156167	0.275648	0.337384
a25	0.00693369	0.00761517	0.0113242	0.0204025	0.0367174	0.037801	0.0450643	0.0210683	0.119754	0.270519	0.422801
a87	0.00752102	0.00718892	0.0104681	0.0183902	0.0338844	0.0278592	0.028444	0.0115863	0.105675	0.312866	0.436117
a23	0.0039439	0.0042421	0.00577845	0.0103278	0.0158022	0.0127535	0.012349	0.00845563	0.0662368	0.281899	0.578211
a87	0.00720856	0.00729609	0.00964537	0.0166805	0.0257668	0.0212652	0.01769	0.0107815	0.0974256	0.303815	0.482426
a79	0.00866388	0.0085907	0.0101731	0.0135638	0.0147532	0.0157756	0.0159236	0.0155164	0.0861651	0.304614	0.506261
a21	0.0193106	0.0181979	0.0216251	0.0312129	0.0440354	0.0446988	0.0339456	0.0238457	0.109317	0.262735	0.391076
a61	0.0178344	0.0142532	0.015602	0.0209159	0.024102	0.0289225	0.0338041	0.0429862	0.160696	0.243348	0.397535
a41	0.0053434	0.00512024	0.0068817	0.0114983	0.0204544	0.0226776	0.0260608	0.0228312	0.139506	0.275414	0.464212
a75	0.00116652	0.00111994	0.00175894	0.00361351	0.00720094	0.00644884	0.00761463	0.00464759	0.0720917	0.294161	0.600177
a14	0.00260295	0.00228086	0.00344966	0.00677369	0.0108367	0.00935164	0.0101762	0.00547653	0.0766416	0.277957	0.594453
a44	0.00194745	0.00193684	0.00327804	0.00680376	0.011637	0.010581	0.0114108	0.00560046	0.0851523	0.301065	0.560587
a84	0.00166957	0.00145405	0.00214399	0.00409835	0.00793673	0.00686387	0.0067369	0.00293752	0.0506902	0.280006	0.635462
a57	0.0021149	0.00199621	0.00236238	0.00349466	0.00603826	0.00546684	0.00529388	0.00358915	0.0305122	0.191337	0.747794
a13	0.00427121	0.00331776	0.0038429	0.00509701	0.00719477	0.00625392	0.00626035	0.00478737	0.0429739	0.220983	0.695018
a99	0.00574982	0.00427907	0.00464895	0.00649714	0.0106962	0.00980571	0.00717576	0.00418544	0.0359672	0.208269	0.702726
a87	0.00219459	0.00208425	0.00263993	0.00468914	0.00868239	0.00722257	0.00625933	0.00384802	0.0413683	0.218664	0.702348
</S>	0.0258577	0.0216839	0.0213235	0.0255982	0.0296585	0.0237952	0.0172857	0.00948846	0.0633147	0.226468	0.535526
