 	le	malade	a	pris	le	médicament	</S>
a87	0.391093	0.264003	0.128715	0.0883744	0.0574204	0.0350921	0.0353018
a79	0.443549	0.185665	0.0896726	0.0581436	0.0618942	0.0702676	0.0908086
a69	0.421815	0.200154	0.103259	0.0731125	0.0609389	0.0610592	0.0796621
a58	0.43527	0.27098	0.121415	0.0741863	0.0410289	0.0287696	0.02835
a84	0.35056	0.332742	0.164986	0.0662427	0.0364022	0.0249342	0.0241323
a53	0.212122	0.213163	0.172732	0.145462	0.104792	0.0735841	0.0781442
a15	0.110576	0.130124	0.110265	0.10644	0.128828	0.175289	0.238477
a79	0.166165	0.17358	0.123923	0.100139	0.110382	0.149483	0.176328
a44	0.175166	0.174873	0.151857	0.123792	0.113909	0.126639	0.133764
a98	0.138242	0.127984	0.147642	0.13864	0.12939	0.149036	0.169068
a92	0.0985516	0.0975267	0.124171	0.148963	0.166049	0.185048	0.17969
a96	0.057442	0.0512565	0.0842072	0.156082	0.197745	0.230464	0.222803
a61	0.0576231	0.0419645	0.0689509	0.165817	0.208179	0.222711	0.234754
a75	0.0425412	0.0296634	0.0482385	0.13343	0.215257	0.260516	0.270354
a85	0.0325281	0.0213131	0.0274013	0.0731586	0.169143	0.318949	0.357507
a44	0.0231388	0.0184874	0.0216876	0.0539141	0.138983	0.334108	0.409681
a11	0.0161675	0.00981555	0.0168959	0.0436229	0.105667	0.28782	0.52001
a47	0.00486596	0.00261631	0.00617398	0.0300961	0.0808262	0.232627	0.642795
a62	0.00280051	0.00162785	0.00418453	0.0289108	0.100196	0.276876	0.585405
a83	0.00348697	0.00177976	0.00323797	0.0192953	0.0784573	0.269195	0.624547
a9	0.00214971	0.00122612	0.00229268	0.0132939	0.0590704	0.256101	0.665866
a87	0.0139287	0.00791743	0.0121448	0.0462606	0.12096	0.283361	0.515428
a23	0.284226	0.13583	0.0824063	0.0853075	0.120837	0.134775	0.156618
a87	0.0618978	0.02176	0.0192263	0.0396316	0.139226	0.312265	0.405993
</S>	0.00456926	0.00235184	0.0050557	0.0228552	0.0950166	0.313039	0.557113
