 	cette	termitière	est	couverte	de	nappes	de	feuilles	</S>
a66	0.17469	0.122422	0.151902	0.243841	0.131142	0.0836121	0.0412668	0.0274044	0.0237204
a10	0.146154	0.114756	0.124471	0.139724	0.098469	0.103905	0.0979277	0.0818056	0.0927868
a87	0.436427	0.230873	0.125764	0.0324367	0.0198909	0.0259333	0.0345427	0.0409442	0.053187
a10	0.399539	0.264813	0.144572	0.0371891	0.0216463	0.0244168	0.0289939	0.0354753	0.043354
a53	0.38473	0.268277	0.125962	0.0345811	0.0242043	0.0312617	0.039136	0.0435163	0.0483318
a93	0.33491	0.285613	0.184745	0.0691322	0.0321256	0.0194377	0.0183468	0.0238775	0.0318117
a0	0.301655	0.349673	0.198727	0.0723924	0.0317815	0.0185451	0.0101376	0.00716453	0.00992325
a75	0.242591	0.37143	0.193396	0.0753111	0.0492211	0.0260742	0.0144985	0.0109609	0.016517
a37	0.212588	0.355213	0.225241	0.10532	0.0543615	0.0199274	0.00982341	0.00759068	0.0099363
a98	0.20315	0.338822	0.195266	0.0871846	0.0664795	0.034654	0.0232796	0.0217525	0.0294117
a73	0.191082	0.258037	0.217256	0.159827	0.0925341	0.0359485	0.0186593	0.0119903	0.0146659
a35	0.161319	0.202531	0.209516	0.144883	0.100156	0.0520422	0.0418431	0.0396222	0.0480874
a54	0.125988	0.139387	0.199723	0.167988	0.130428	0.0727242	0.0530992	0.0480636	0.0625976
a73	0.05967	0.0685529	0.117675	0.15058	0.167048	0.129858	0.0960976	0.0913747	0.119144
a7	0.041559	0.0432627	0.10601	0.159168	0.175491	0.124084	0.100457	0.104989	0.144979
a0	0.0400421	0.0324056	0.0713062	0.0952463	0.122129	0.0912315	0.104674	0.17354	0.269425
a94	0.0183417	0.0152995	0.0337885	0.0593464	0.107212	0.101333	0.136686	0.205807	0.322186
a96	0.0148694	0.0124744	0.0237142	0.0402728	0.0982781	0.128542	0.160529	0.208899	0.312421
a24	0.00759918	0.00663972	0.0119599	0.0190725	0.0551234	0.094523	0.1677	0.25348	0.383902
a47	0.00180028	0.00136758	0.0023358	0.00401538	0.0122727	0.0328597	0.112924	0.315352	0.517073
a70	0.0038432	0.00279969	0.00416776	0.00583635	0.0210311	0.0628647	0.183666	0.288837	0.426955
a98	0.000946111	0.000769936	0.0010955	0.00190575	0.00825275	0.0340517	0.114532	0.292494	0.545952
a85	0.00121442	0.00100153	0.00194112	0.00368686	0.0132853	0.0371399	0.135688	0.296894	0.509149
a5	0.000630771	0.000528226	0.000856707	0.0019661	0.00890786	0.0281737	0.0994524	0.290185	0.569299
a47	0.0010462	0.000788846	0.0016448	0.00350409	0.00913956	0.0295833	0.105342	0.301086	0.547865
a62	0.00122272	0.000743104	0.00140179	0.002225	0.00635484	0.0192545	0.0735917	0.29158	0.603626
a83	0.000989868	0.000747762	0.00163057	0.00335	0.00788068	0.0238777	0.0780104	0.289541	0.593972
a9	0.000404423	0.000297106	0.000641956	0.00144956	0.00421071	0.0106832	0.0440661	0.258658	0.679589
a99	0.0159415	0.00775207	0.0123473	0.0144881	0.023041	0.0307445	0.0712061	0.27535	0.54913
a10	0.0284473	0.0155045	0.0208768	0.0247248	0.03117	0.0434273	0.0857511	0.250904	0.499194
a87	0.104098	0.047119	0.0483942	0.0341182	0.0325119	0.0509354	0.102365	0.22224	0.358218
a38	0.100915	0.0442775	0.0438848	0.0285157	0.0276344	0.045961	0.0987492	0.234469	0.375593
a97	0.12012	0.0501062	0.040761	0.0176893	0.0235438	0.0409125	0.080291	0.208537	0.418039
</S>	0.0612331	0.0321291	0.0354475	0.030824	0.0370363	0.0481212	0.0808991	0.204624	0.469686
