 	on	fabrique	l'	eyalala	avec	les	fibres	de	lianes	</S>
a66	0.307194	0.237684	0.128765	0.114129	0.0655231	0.0712699	0.0341435	0.0188703	0.0122098	0.0102115
a87	0.436878	0.24574	0.0932424	0.0680424	0.0419198	0.0442061	0.0237722	0.0183096	0.0144357	0.0134542
a23	0.398127	0.19003	0.122665	0.092771	0.0521728	0.0449412	0.0262524	0.0171428	0.0225803	0.0333169
a20	0.221888	0.128203	0.0968176	0.186245	0.0807521	0.0745294	0.0423082	0.0397079	0.0510801	0.0784683
a15	0.188555	0.135153	0.0982112	0.161628	0.0830623	0.138029	0.0649339	0.0505224	0.0396364	0.0402688
a7	0.16594	0.168861	0.165324	0.134074	0.0981892	0.14471	0.0700374	0.0265992	0.0140421	0.0122231
a25	0.119854	0.143944	0.176595	0.193064	0.112814	0.138156	0.0718396	0.0214267	0.0123405	0.00996597
a79	0.105268	0.135607	0.170978	0.1483	0.12116	0.151159	0.10331	0.0341139	0.0159362	0.0141678
a5	0.0617786	0.0922735	0.149547	0.173604	0.148731	0.18316	0.109505	0.033608	0.0230446	0.0247485
a21	0.122886	0.118423	0.138828	0.134929	0.118819	0.137467	0.11665	0.0428238	0.0344392	0.0347341
a5	0.0571163	0.0629299	0.104701	0.112464	0.128408	0.146001	0.149315	0.0742291	0.0794142	0.0854219
a61	0.0137063	0.0185759	0.041138	0.057582	0.140718	0.182021	0.192216	0.113952	0.117285	0.122805
a18	0.0181789	0.0235261	0.0471029	0.0504404	0.106467	0.131349	0.19144	0.142762	0.141457	0.147278
a62	0.0108601	0.0128628	0.0254862	0.0274864	0.0873897	0.106997	0.142213	0.177528	0.184634	0.224542
a88	0.00964665	0.0101676	0.0190178	0.0230862	0.0584205	0.0675978	0.102377	0.180824	0.255026	0.273837
a18	0.00467635	0.00495431	0.00969668	0.00980939	0.0259316	0.0303755	0.0581012	0.140866	0.316597	0.398992
a21	0.0178332	0.0173999	0.025277	0.0208825	0.0440783	0.0394346	0.0519106	0.116664	0.243889	0.422631
a12	0.00153833	0.0016254	0.00193172	0.00180863	0.00481297	0.00705617	0.0190022	0.0672373	0.325387	0.569601
a98	0.000521028	0.000562476	0.000874962	0.000717462	0.00296664	0.00396224	0.0147417	0.0690029	0.305179	0.601471
a47	0.000280969	0.000378659	0.00062115	0.000536563	0.0033456	0.0040884	0.0119063	0.0715578	0.330497	0.576788
a92	0.000356681	0.000413231	0.000630043	0.000644253	0.0046492	0.00630264	0.0164112	0.0865694	0.334932	0.549092
a79	0.000315046	0.00040883	0.000702084	0.000632916	0.00310102	0.00383453	0.010766	0.0649288	0.310168	0.605143
a56	0.000276958	0.000313224	0.000490744	0.000576515	0.00302285	0.00413805	0.00982329	0.0660734	0.358875	0.55641
a32	0.000606399	0.000626141	0.000879693	0.000682286	0.00381898	0.00499897	0.0162734	0.109752	0.361234	0.501128
a9	0.00117905	0.00126313	0.00190571	0.00113178	0.00802582	0.00924987	0.0334451	0.179808	0.348273	0.415718
a10	0.0731095	0.0702434	0.0607343	0.0321145	0.0752919	0.0666385	0.066119	0.148992	0.18675	0.220007
a87	0.359339	0.212611	0.14794	0.0644621	0.0437959	0.0331289	0.0278812	0.0362862	0.0381906	0.0363651
a23	0.399176	0.211955	0.129051	0.0654386	0.0376985	0.0295713	0.0219601	0.0274516	0.0380747	0.0396232
a99	0.076559	0.0354535	0.0183131	0.00814478	0.00593588	0.0060322	0.0110441	0.0483167	0.289265	0.500936
a97	0.0111679	0.0048969	0.00313051	0.00167851	0.00242832	0.00298219	0.00848427	0.039264	0.308031	0.617936
</S>	0.00204817	0.000980368	0.00103461	0.000970865	0.00264117	0.00322899	0.0092294	0.0513387	0.341999	0.586529
