 	lembobhi	est	la	meilleure	des	lianes	</S>
a66	0.260439	0.295965	0.264787	0.117964	0.0352132	0.0141196	0.0115122
a87	0.272268	0.203983	0.169871	0.157666	0.0820549	0.0542318	0.0599255
a97	0.228242	0.172028	0.136503	0.160751	0.118056	0.0913905	0.0930308
a9	0.329274	0.272683	0.184269	0.101358	0.0451279	0.0348425	0.0324451
a99	0.33827	0.284426	0.186933	0.0939937	0.0410512	0.0306699	0.0246561
a97	0.382185	0.260593	0.1614	0.0842904	0.0457267	0.0375947	0.0282101
a83	0.325181	0.265903	0.180909	0.0998785	0.0521622	0.0436983	0.0322682
a62	0.302101	0.188966	0.143053	0.126782	0.0921816	0.0833962	0.0635199
a47	0.402177	0.217564	0.136032	0.0692494	0.0590115	0.0584452	0.0575212
a12	0.237066	0.1842	0.168389	0.111652	0.0830673	0.09872	0.116906
a96	0.289891	0.231535	0.20128	0.0957935	0.064914	0.0566228	0.059964
a93	0.231249	0.243465	0.230849	0.108857	0.0642742	0.0554932	0.0658128
a90	0.213046	0.241214	0.250039	0.120074	0.0620501	0.0505231	0.0630535
a56	0.177765	0.253579	0.271867	0.124761	0.0545054	0.0447111	0.0728113
a62	0.181246	0.24343	0.263234	0.139156	0.0598995	0.0440754	0.0689597
a21	0.130942	0.218256	0.235346	0.184331	0.0980536	0.0614968	0.0715738
a61	0.0683375	0.133966	0.175139	0.20469	0.152984	0.107112	0.157771
a88	0.0370815	0.0909866	0.145986	0.229403	0.203059	0.132036	0.161447
a93	0.027387	0.0703243	0.126934	0.213139	0.202254	0.167029	0.192933
a4	0.0339493	0.0728387	0.116671	0.19801	0.211362	0.177881	0.189288
a13	0.0145135	0.0284556	0.0526123	0.147289	0.197101	0.241565	0.318463
a90	0.00320449	0.00812783	0.0169583	0.102222	0.151292	0.231348	0.486847
a21	0.00286571	0.0066069	0.0159136	0.0817734	0.154962	0.305039	0.432839
a92	0.00206132	0.00413411	0.00826027	0.0329725	0.0760147	0.265685	0.610873
a56	0.000870517	0.00218067	0.00472247	0.0244186	0.0623431	0.246487	0.658977
a43	0.000419462	0.00127798	0.00286151	0.0203836	0.0597438	0.245356	0.669958
a24	0.000201751	0.00055569	0.00135459	0.0149518	0.0645395	0.26231	0.656086
a9	0.000826947	0.0019161	0.00394065	0.0240907	0.0941615	0.308938	0.566126
a3	0.0297824	0.0349402	0.0424193	0.122027	0.216352	0.273548	0.280931
a97	0.0562507	0.0614584	0.066447	0.152794	0.241314	0.237053	0.184682
a99	0.0465163	0.0728339	0.098029	0.145555	0.209003	0.219847	0.208217
a97	0.0263784	0.0340841	0.0430492	0.0678531	0.128566	0.23826	0.461809
a87	0.034874	0.0594618	0.0734746	0.0918415	0.131531	0.21226	0.396557
</S>	0.0403023	0.07208	0.0880532	0.0957733	0.131335	0.202676	0.369779
