 	cet	enfant	est	têtu	car	il	n'	obéit	à	personne	</S>
a66	0.209361	0.177243	0.124545	0.0952912	0.111003	0.112734	0.0988386	0.0359011	0.0168271	0.00931492	0.00894155
a87	0.48879	0.261001	0.109773	0.0532705	0.0220637	0.0145597	0.0132493	0.00951074	0.00945936	0.00879124	0.00953168
a23	0.434766	0.263537	0.149427	0.0723903	0.0294021	0.0157472	0.00976938	0.00474481	0.00607551	0.0061085	0.00803129
a83	0.322596	0.223995	0.144876	0.114902	0.0567386	0.0327484	0.0307149	0.0160194	0.0166813	0.0175385	0.0231891
a54	0.223579	0.16009	0.162217	0.11891	0.0501881	0.033339	0.0280173	0.0374108	0.0550071	0.0613346	0.0699067
a6	0.203119	0.18912	0.212892	0.125393	0.0513599	0.0322401	0.0285785	0.0329381	0.0422519	0.0415694	0.0405377
a47	0.18572	0.199462	0.250878	0.15667	0.0535198	0.0300312	0.0255583	0.0292099	0.03059	0.0200665	0.0182949
a92	0.122249	0.139088	0.212952	0.200428	0.0886679	0.051206	0.0406756	0.0441365	0.0461542	0.0285813	0.025862
a79	0.120824	0.130199	0.220264	0.225329	0.104687	0.0527968	0.0384905	0.0348449	0.0341748	0.0203117	0.0180785
a98	0.0918844	0.102956	0.185613	0.207808	0.149145	0.078281	0.0552576	0.0396448	0.0361969	0.0262135	0.0269997
a85	0.0801869	0.0871387	0.139092	0.180878	0.167924	0.107866	0.0836438	0.0527401	0.0398113	0.0295234	0.031196
a6	0.0565445	0.0706294	0.119485	0.19818	0.180162	0.120509	0.0956799	0.0574842	0.0389587	0.0299997	0.0323678
a5	0.055474	0.0687837	0.122119	0.190096	0.19646	0.13425	0.100684	0.0460851	0.031083	0.0262935	0.0286719
a61	0.030956	0.0410026	0.0909423	0.201635	0.239204	0.172248	0.114339	0.0404414	0.0230128	0.0213121	0.0249071
a34	0.017136	0.0217101	0.0495114	0.134209	0.250029	0.252152	0.153387	0.0441834	0.0261348	0.0242433	0.027304
a56	0.0132522	0.0168504	0.0376577	0.103964	0.232201	0.269339	0.179146	0.0554461	0.0334718	0.0281395	0.0305325
a93	0.00910565	0.0115139	0.0233724	0.0641847	0.193687	0.279962	0.212528	0.0738336	0.0482086	0.0396733	0.0439308
a4	0.00740753	0.00946989	0.0188842	0.0550495	0.178366	0.271476	0.209039	0.0785553	0.056763	0.0522902	0.062699
a13	0.00679205	0.00837581	0.0135929	0.0312696	0.111121	0.220897	0.187625	0.101691	0.0991457	0.0977102	0.12178
a9	0.0122993	0.0146484	0.0260183	0.0309725	0.0983774	0.206765	0.218723	0.110881	0.0801459	0.0895658	0.111604
a99	0.0183661	0.0218675	0.0339129	0.0445693	0.0834764	0.156582	0.172103	0.129502	0.096166	0.119666	0.123788
a87	0.0346384	0.0307633	0.0371366	0.0441705	0.0806846	0.130054	0.150204	0.114609	0.101167	0.122674	0.153899
a23	0.131564	0.0732435	0.0490758	0.0375526	0.0545423	0.0924034	0.113624	0.114276	0.105032	0.10697	0.121715
a87	0.0235619	0.0145951	0.0134109	0.0175363	0.0378828	0.0565125	0.0657747	0.0914491	0.179739	0.233325	0.266212
a23	0.00183736	0.00150922	0.0025453	0.00538211	0.0173449	0.029573	0.0433775	0.10719	0.212731	0.269181	0.309328
a9	0.0011626	0.000893782	0.00173735	0.00355488	0.0138184	0.0231299	0.0382604	0.122151	0.221879	0.27365	0.299763
a83	0.00444301	0.00277777	0.00407734	0.00438429	0.0123771	0.0210875	0.0407261	0.114947	0.204818	0.282891	0.30747
a34	0.0013229	0.000795632	0.00127878	0.00142139	0.00609996	0.0130666	0.027057	0.0933745	0.182393	0.300071	0.37312
a79	0.000668429	0.00058478	0.00109789	0.00225439	0.00964992	0.0186938	0.0289374	0.0751503	0.157739	0.301654	0.40357
a56	0.000191649	0.000213488	0.000656866	0.00210565	0.00824677	0.0183759	0.0279896	0.0831365	0.193017	0.306696	0.359371
a96	0.0006379	0.000762522	0.00160374	0.00410885	0.0142627	0.0263405	0.0352929	0.0716674	0.171312	0.293401	0.38061
a93	0.000731084	0.000886703	0.00150774	0.00336916	0.00984292	0.0222172	0.0295772	0.0692045	0.159993	0.314099	0.388572
a70	0.000694791	0.000756235	0.00118017	0.00228544	0.00818712	0.0186862	0.025838	0.0601763	0.156728	0.324919	0.400549
a93	0.000312514	0.000373392	0.000620171	0.00135627	0.00505259	0.0119078	0.0169574	0.0452561	0.139822	0.324472	0.45387
a56	0.000335118	0.000444966	0.000803724	0.00185426	0.00767389	0.0169622	0.0215196	0.0481656	0.137782	0.311929	0.45253
a34	0.000284159	0.000348745	0.000585979	0.00103641	0.00334333	0.00788974	0.0108803	0.0351547	0.125124	0.328806	0.486547
a75	0.000594385	0.000679775	0.00112039	0.00186529	0.00537269	0.0108279	0.0124101	0.0405205	0.117205	0.329729	0.479675
a6	6.1029e-05	8.19186e-05	0.000176396	0.000483508	0.00202681	0.00514159	0.00704521	0.0230317	0.0942965	0.312965	0.554691
a36	6.52882e-05	9.32353e-05	0.000192014	0.000569655	0.0027802	0.0077766	0.00952466	0.0213178	0.0854456	0.286395	0.58584
a26	0.000736811	0.00067891	0.000774112	0.00116185	0.00282538	0.00622832	0.00692902	0.0297423	0.0791314	0.281677	0.590115
a36	0.0408507	0.0342845	0.029536	0.0317119	0.0450204	0.0825324	0.0792367	0.092345	0.0841897	0.167075	0.313217
a2	0.142071	0.0769445	0.0418344	0.0343799	0.0471793	0.0839239	0.0873369	0.0814059	0.0790498	0.131123	0.194751
a57	0.162681	0.0856159	0.0518988	0.04098	0.058956	0.101333	0.111955	0.0730023	0.0672969	0.0995963	0.146684
a87	0.18851	0.124916	0.0762416	0.0442711	0.0538317	0.0945736	0.124278	0.0793479	0.0623101	0.0667344	0.0849867
a23	0.15053	0.124573	0.0923365	0.0518144	0.0544383	0.092859	0.133295	0.0942407	0.068795	0.0624839	0.0746339
a87	0.0798329	0.0582626	0.0442873	0.0191748	0.0266427	0.059073	0.107557	0.0958418	0.117018	0.158666	0.233644
</S>	0.0244227	0.012916	0.0107953	0.00860762	0.0258674	0.0513914	0.0575358	0.0402613	0.0791014	0.205946	0.483155
