 	ils	ont	tué	opepenga	c'	est-à-dire	le	petit	du	buffle	</S>
a15	0.289911	0.282134	0.198259	0.0740256	0.0492222	0.0333119	0.0221896	0.0170844	0.0110033	0.0118357	0.0110228
a66	0.424272	0.196442	0.10578	0.04685	0.0295466	0.0255016	0.0258126	0.0304923	0.0316963	0.044135	0.0394722
a87	0.462292	0.244112	0.0894701	0.0343917	0.0227621	0.0185596	0.0182316	0.017444	0.0189206	0.0324946	0.0413222
a23	0.383276	0.209589	0.0951913	0.051023	0.0388695	0.0358145	0.0383384	0.0375144	0.0319046	0.0362717	0.0422081
a97	0.288656	0.167875	0.0688283	0.0385556	0.0483555	0.0497521	0.0616463	0.0646048	0.0545719	0.0746151	0.0825399
a79	0.199391	0.172362	0.124247	0.0796479	0.0650493	0.0549035	0.0633493	0.0643801	0.0570981	0.0623733	0.0571985
a20	0.135844	0.120093	0.105018	0.0945947	0.0584838	0.0449146	0.05674	0.0672503	0.0690618	0.113255	0.134745
a15	0.179951	0.181825	0.176393	0.14579	0.0699162	0.0448115	0.041795	0.043676	0.0324959	0.0390036	0.0443423
a7	0.193841	0.211909	0.198309	0.126697	0.0608242	0.0420666	0.0339153	0.0321407	0.026711	0.035251	0.0383357
a44	0.0932163	0.164593	0.216595	0.159761	0.081175	0.0564582	0.0442114	0.0401651	0.0351511	0.0466777	0.0619962
a94	0.0784367	0.13545	0.2043	0.187826	0.109234	0.082628	0.0503529	0.0411797	0.0308245	0.0323734	0.0473949
a4	0.069962	0.120071	0.19146	0.209244	0.118042	0.0864588	0.0456092	0.0366244	0.0293732	0.0333823	0.0597724
a57	0.060596	0.0991978	0.1492	0.189571	0.132235	0.0989414	0.0533235	0.0431001	0.0368491	0.0467402	0.0902449
a38	0.0612936	0.0984108	0.153861	0.236614	0.127777	0.0815505	0.0399188	0.030143	0.0262428	0.0399929	0.104196
a96	0.0405153	0.056603	0.10783	0.228013	0.151351	0.112947	0.0581236	0.0465023	0.0428142	0.0536828	0.101618
a70	0.0302991	0.0387233	0.0638005	0.153338	0.148028	0.123404	0.0774999	0.0634029	0.0576583	0.0785381	0.165308
a66	0.0262652	0.0287402	0.0394307	0.114614	0.161286	0.136325	0.0993128	0.0815678	0.0670294	0.0815209	0.163908
a62	0.0236362	0.0281246	0.0374956	0.0865903	0.154973	0.137963	0.111388	0.093937	0.0797669	0.0881584	0.157966
a96	0.0152764	0.0158386	0.0203669	0.0666723	0.133354	0.134722	0.120601	0.114219	0.0947009	0.100965	0.183284
a83	0.0140947	0.0149364	0.01792	0.0521765	0.111089	0.132615	0.131613	0.132078	0.10815	0.106668	0.178659
a75	0.0130517	0.0134781	0.0158271	0.0458773	0.118869	0.135404	0.136043	0.13109	0.110135	0.104989	0.175235
a79	0.0073697	0.00877455	0.0126534	0.0313216	0.0636183	0.110168	0.125457	0.147698	0.146737	0.149284	0.196917
a44	0.00661879	0.0095159	0.0126806	0.034867	0.102425	0.148114	0.159277	0.15425	0.123985	0.114504	0.133762
a62	0.0116117	0.0142289	0.0155114	0.0380047	0.0970781	0.138415	0.151723	0.152168	0.12198	0.113498	0.145781
a96	0.0081137	0.00880435	0.00911416	0.0214872	0.0699749	0.110207	0.12993	0.141197	0.132106	0.147645	0.221421
a94	0.00465718	0.00493723	0.00559504	0.0142739	0.053811	0.0892789	0.122837	0.14712	0.150242	0.164176	0.243071
a15	0.00407433	0.00433353	0.00467189	0.0113665	0.0369181	0.0586332	0.0935332	0.131719	0.158068	0.195478	0.301204
a79	0.000888652	0.00115134	0.00138834	0.00378853	0.017565	0.0268051	0.0521896	0.0875784	0.142853	0.240014	0.425778
a5	0.00108203	0.00131835	0.00135803	0.00363641	0.0215586	0.0385578	0.0649851	0.097046	0.144605	0.248352	0.377501
a37	0.000774952	0.000851723	0.0008153	0.00175559	0.00839971	0.016015	0.0332786	0.0680343	0.140087	0.29033	0.439657
a75	0.00073489	0.000785913	0.000773484	0.00179843	0.0077056	0.0122069	0.0266239	0.0549532	0.122521	0.279239	0.492658
a85	0.000570621	0.00066324	0.000637812	0.00150465	0.0101801	0.0221345	0.0413838	0.0727568	0.12906	0.27284	0.448268
a47	0.000974436	0.00120398	0.00113572	0.00273089	0.0167934	0.0289489	0.0462294	0.0699869	0.115376	0.276384	0.440236
a36	0.000261493	0.000301047	0.000241756	0.000636054	0.00701515	0.013919	0.027465	0.0437752	0.0944732	0.333112	0.4788
a2	0.00103369	0.00105099	0.000690521	0.00138384	0.00508833	0.00646808	0.0142379	0.0266388	0.0780778	0.297744	0.567586
a57	0.0121071	0.0116356	0.00695234	0.00842947	0.0157969	0.0138898	0.0308749	0.0566779	0.159147	0.287053	0.397436
a87	0.0312602	0.0252692	0.0135184	0.0146684	0.027731	0.023851	0.0478254	0.0763226	0.176592	0.255438	0.307524
a23	0.15026	0.0731546	0.0364022	0.037039	0.052256	0.0484135	0.0683694	0.0868382	0.136052	0.14942	0.161795
a87	0.0960943	0.0336559	0.0110729	0.0123645	0.0222623	0.0295392	0.0649088	0.100736	0.146469	0.235723	0.247174
</S>	0.0489744	0.0212409	0.00907308	0.00893301	0.0229814	0.0247952	0.0424265	0.0549051	0.0980047	0.279487	0.389179
