 	les	soldats	étaient	venus	surprendre	le	voleur	dans	la	maison	</S>
a66	0.165989	0.214107	0.225149	0.201212	0.109734	0.0432258	0.0172449	0.00838871	0.00679581	0.00481421	0.00333909
a97	0.256504	0.0971555	0.119856	0.160502	0.21426	0.0764682	0.0210918	0.00936914	0.0153014	0.0168714	0.0126203
a99	0.218046	0.117912	0.204	0.185937	0.131083	0.0626853	0.0220408	0.0123345	0.0150254	0.0166585	0.0142771
a97	0.240197	0.118805	0.23322	0.18436	0.129681	0.0480118	0.0152925	0.00806385	0.00875817	0.00810374	0.00550711
a87	0.202183	0.105595	0.218161	0.200447	0.150413	0.0599476	0.0201416	0.0117277	0.0121036	0.0112402	0.00804037
a23	0.209495	0.120881	0.203989	0.184814	0.140393	0.066925	0.0242436	0.013918	0.0139549	0.0125796	0.00880722
a97	0.177012	0.0883132	0.160587	0.183633	0.198637	0.0901162	0.0339207	0.0193149	0.0219448	0.0160382	0.0104834
a40	0.184509	0.100935	0.16155	0.173669	0.168129	0.0864354	0.0407807	0.0249415	0.0271082	0.0191921	0.01275
a79	0.20899	0.107672	0.118884	0.133839	0.178552	0.117717	0.051362	0.0214624	0.0315077	0.0196535	0.0103596
a37	0.309386	0.117698	0.107163	0.0957759	0.134705	0.0789407	0.0484351	0.0278335	0.0364448	0.0275791	0.0160384
a90	0.254785	0.130905	0.134453	0.104726	0.145111	0.062563	0.0359795	0.0291401	0.0385845	0.0352141	0.0285381
a98	0.162114	0.13098	0.16339	0.141719	0.16808	0.065978	0.034148	0.0271901	0.0350234	0.0360208	0.0353573
a85	0.108426	0.123841	0.130692	0.138501	0.136718	0.082142	0.0618006	0.0468923	0.0513573	0.0583841	0.0612466
a5	0.0765487	0.114984	0.140855	0.155078	0.150486	0.0946692	0.0627659	0.0470074	0.0456101	0.0523102	0.0596849
a75	0.119597	0.139339	0.177405	0.16885	0.148768	0.0763476	0.0450336	0.0295851	0.0273658	0.0298108	0.0378977
a25	0.0499442	0.104144	0.147974	0.151237	0.149405	0.0990982	0.0739899	0.0603848	0.051026	0.0521579	0.0606384
a20	0.022724	0.0760259	0.113488	0.13384	0.159324	0.144776	0.101619	0.0741815	0.0564661	0.0542318	0.0633235
a40	0.0274437	0.0691086	0.103627	0.111455	0.13601	0.137464	0.120622	0.0914943	0.0715871	0.0585492	0.0726392
a47	0.0171474	0.0549455	0.0817429	0.0905746	0.125416	0.143618	0.136764	0.109376	0.0857606	0.0696429	0.0850117
