 	il	invoque	les	âmes	de	ces	ancêtres	</S>
a23	0.327894	0.26942	0.117514	0.098629	0.0523928	0.0504276	0.0428575	0.040865
a30	0.217551	0.312395	0.16724	0.0996495	0.0321783	0.033395	0.0462684	0.091323
a53	0.137653	0.315751	0.20838	0.144754	0.0470735	0.0404691	0.0391559	0.0667643
a54	0.270518	0.401883	0.20265	0.0560648	0.0234155	0.017352	0.0143408	0.0137753
a35	0.289164	0.377939	0.249321	0.0547128	0.0146686	0.00770949	0.00347186	0.00301386
a30	0.226415	0.38162	0.27409	0.0680132	0.0244941	0.0138223	0.00693502	0.00461079
a35	0.200057	0.279072	0.263794	0.134995	0.0586836	0.0346379	0.0169944	0.0117665
a11	0.166745	0.230002	0.246062	0.184745	0.0815082	0.0519501	0.025556	0.0134316
a41	0.128809	0.177572	0.218069	0.21169	0.121264	0.0800795	0.0410487	0.0214686
a94	0.175882	0.267314	0.219305	0.174246	0.0787018	0.0470802	0.0234563	0.0140134
a35	0.151686	0.234724	0.218272	0.181265	0.0935704	0.0604332	0.0368613	0.0231885
a14	0.140526	0.238105	0.221685	0.18364	0.101759	0.060395	0.0316185	0.0222711
a30	0.13692	0.244227	0.191991	0.194511	0.101533	0.0604341	0.0373456	0.033038
a57	0.0915031	0.146924	0.162314	0.209558	0.154071	0.104362	0.0665527	0.0647147
a24	0.0474738	0.139152	0.13812	0.143607	0.12041	0.107942	0.115043	0.188252
a35	0.086765	0.190198	0.198155	0.17027	0.130861	0.095838	0.0638013	0.0641115
a24	0.0838335	0.147301	0.143924	0.195263	0.160435	0.111686	0.0745974	0.08296
a35	0.0623821	0.0993369	0.104595	0.170373	0.162812	0.134824	0.119049	0.146628
a98	0.0393765	0.0602495	0.0683497	0.103624	0.133364	0.149367	0.205271	0.240398
a14	0.0362477	0.0598966	0.0668862	0.113215	0.150918	0.148296	0.186679	0.237863
a35	0.0151543	0.0200802	0.0239258	0.0493047	0.0954357	0.141496	0.297535	0.357068
a26	0.0185816	0.02484	0.0270843	0.0378336	0.0707331	0.114247	0.311121	0.395559
a40	0.0249114	0.0470551	0.0446621	0.0395595	0.0601133	0.0881746	0.225458	0.470066
a75	0.00828572	0.0113534	0.0140338	0.0251962	0.0553737	0.0945625	0.337435	0.453759
a14	0.00385724	0.00591293	0.00836507	0.0183764	0.0452547	0.083877	0.341655	0.492701
a98	0.00890503	0.0120362	0.0146491	0.0236478	0.0482094	0.0777921	0.295619	0.519141
a14	0.00989295	0.0119006	0.0132182	0.0204971	0.0411782	0.0658896	0.260591	0.576832
a73	0.00503566	0.00680983	0.00962304	0.0166874	0.0342092	0.0554196	0.251872	0.620343
a69	0.00758302	0.0106269	0.0135671	0.0206956	0.0390102	0.0610551	0.255635	0.591827
a20	0.00734446	0.012308	0.0175391	0.032554	0.0491564	0.0708496	0.300617	0.509632
a84	0.0123699	0.0208321	0.0259628	0.0361964	0.0544812	0.0712209	0.256177	0.52276
a57	0.00503093	0.00690274	0.00646543	0.00700256	0.0148602	0.0304015	0.319219	0.610117
a87	0.0278192	0.0237216	0.0179171	0.0144934	0.0312215	0.0563286	0.375358	0.453141
a23	0.0441796	0.0636962	0.0806088	0.0562065	0.0949306	0.138313	0.224427	0.297638
a87	0.0804753	0.0962104	0.113002	0.123066	0.135943	0.139813	0.122715	0.188776
</S>	0.0540467	0.0645162	0.0537949	0.0644115	0.104356	0.148931	0.230816	0.279127
