 	s'	il	décide	de	t'	assassiner	il	ne	reculera	pas	</S>
a66	0.239307	0.16947	0.0881136	0.0717912	0.072357	0.076378	0.102189	0.146323	0.0231527	0.00557162	0.00534662
a87	0.286185	0.139415	0.114806	0.106544	0.113801	0.0830629	0.0676496	0.0602399	0.0133594	0.00753375	0.00740292
a23	0.384536	0.242668	0.166129	0.0787465	0.0630454	0.0278676	0.0151132	0.00933929	0.00444167	0.00378708	0.00432632
a30	0.214048	0.206131	0.247413	0.134216	0.114661	0.0494804	0.0178876	0.00502912	0.00148763	0.00401677	0.00563075
a20	0.22193	0.208942	0.190225	0.119023	0.114946	0.0839	0.0306223	0.00905911	0.00350723	0.00759713	0.0102489
a69	0.156266	0.156861	0.229616	0.125852	0.0950361	0.0765249	0.0617724	0.0443753	0.017877	0.0173015	0.0185173
a20	0.139147	0.167034	0.217679	0.123686	0.0781136	0.0661595	0.0725194	0.0629022	0.0245165	0.0226191	0.0256228
a7	0.0997108	0.121031	0.167954	0.109933	0.0868196	0.0879476	0.106724	0.113952	0.0473238	0.0280271	0.0305773
a84	0.156812	0.174425	0.162292	0.0774674	0.0472323	0.0422205	0.0728957	0.116137	0.0563443	0.0449832	0.0491917
a40	0.174556	0.15906	0.138332	0.0843748	0.0598627	0.0475697	0.0562258	0.0760615	0.0623342	0.0603518	0.0812715
a6	0.0970393	0.114229	0.118756	0.0624683	0.0439916	0.0342303	0.0625288	0.130218	0.111452	0.104325	0.120762
a37	0.0816102	0.0818973	0.0991581	0.0513276	0.0403385	0.039911	0.0777462	0.189915	0.188681	0.0749915	0.0744241
a12	0.0985083	0.0822229	0.126534	0.0850659	0.0574924	0.053861	0.0994718	0.25087	0.0887029	0.0273081	0.0299623
a96	0.0276537	0.0259236	0.0508078	0.0463243	0.0496717	0.0783945	0.18893	0.386922	0.0950557	0.0256561	0.0246603
a62	0.0323957	0.0326052	0.0502466	0.0368809	0.0309955	0.0557134	0.152495	0.3344	0.153361	0.0556997	0.0652067
a96	0.0204724	0.0220336	0.0405771	0.031915	0.0310369	0.0685146	0.189258	0.379781	0.157678	0.0307954	0.0279381
