 	il	construit	un	abri	en	brousse	pour	la	récolte	du	vin	</S>
a23	0.119569	0.0867034	0.0669646	0.0903483	0.0885258	0.126603	0.129475	0.113403	0.0659427	0.0515443	0.0309669	0.0299533
a30	0.0772518	0.0639786	0.056013	0.0836093	0.0824519	0.0873092	0.103451	0.0923649	0.0894164	0.0847047	0.085293	0.0941557
a53	0.126434	0.113471	0.126972	0.148986	0.117289	0.0837273	0.0748032	0.0446036	0.0394402	0.0397465	0.0405753	0.0439519
a20	0.289384	0.203691	0.172187	0.154244	0.0691408	0.0396008	0.027231	0.0138091	0.0100694	0.00715838	0.00677552	0.00670824
a14	0.346905	0.200636	0.150874	0.138387	0.0587628	0.0374089	0.0270388	0.0178667	0.0110536	0.00505051	0.00341984	0.00259676
a30	0.303623	0.212952	0.14298	0.120463	0.0671349	0.0507038	0.0376716	0.02877	0.0187203	0.00773933	0.00522748	0.00401474
a44	0.228904	0.149721	0.123509	0.124656	0.0984074	0.0814506	0.0674019	0.0520739	0.0367746	0.0161842	0.011714	0.00920357
a57	0.167979	0.129318	0.13267	0.140429	0.111412	0.0927339	0.0773206	0.0588413	0.0438659	0.0190655	0.0146742	0.011691
a38	0.0539092	0.0550799	0.0915729	0.126261	0.127706	0.123207	0.126859	0.0988774	0.0814485	0.0407071	0.0372853	0.0370869
a20	0.0869134	0.0820407	0.105042	0.127669	0.124328	0.118071	0.115753	0.0907257	0.0724782	0.030089	0.0250704	0.0218181
a35	0.150883	0.132499	0.122913	0.120323	0.100624	0.0982204	0.0866734	0.0752543	0.0620157	0.0234912	0.0154892	0.0116152
a30	0.0995854	0.090005	0.0966301	0.10333	0.107958	0.1218	0.112375	0.0997825	0.0876221	0.0370912	0.0247547	0.0190663
a35	0.0449728	0.0532141	0.0732629	0.0820403	0.0983593	0.127844	0.134946	0.1261	0.120709	0.0541811	0.0429055	0.0414662
a57	0.0357988	0.0371867	0.0475754	0.0556653	0.099273	0.152691	0.16184	0.144859	0.128356	0.0573279	0.0428795	0.0365473
a11	0.0138322	0.0141307	0.0258479	0.040213	0.0864856	0.135526	0.169803	0.159481	0.165085	0.081668	0.0607097	0.0472177
a24	0.0138829	0.0151581	0.0311095	0.0500548	0.0979874	0.144662	0.169602	0.153556	0.159987	0.0720352	0.0514464	0.0405184
a9	0.0228907	0.0259433	0.0452989	0.0580832	0.0884314	0.125123	0.146946	0.141884	0.153167	0.0860119	0.0596876	0.046533
a87	0.00587664	0.00727535	0.0183768	0.0340598	0.0729967	0.099823	0.129587	0.139454	0.168893	0.134333	0.105933	0.083392
a23	0.00914809	0.0120271	0.0221162	0.0290284	0.0598091	0.0654767	0.0819749	0.0957858	0.129455	0.200054	0.178677	0.116449
a87	0.00776396	0.0115387	0.0260821	0.0348337	0.0621763	0.0615165	0.0662429	0.0668687	0.103606	0.203082	0.20635	0.149939
</S>	0.00656506	0.00867974	0.0133255	0.0173741	0.032013	0.0401775	0.0456416	0.0516485	0.0985925	0.258755	0.252859	0.174369
