 	les	femmes	qui	viennent	de	se	baigner	font	leur	toilette	</S>
a66	0.285079	0.137953	0.0833011	0.0623926	0.0548429	0.0761919	0.0806503	0.0644205	0.045641	0.0473798	0.0621486
a87	0.400537	0.09878	0.0582329	0.0515746	0.0512694	0.0501497	0.0303946	0.039959	0.0427899	0.0645863	0.111727
a23	0.32378	0.126356	0.0825159	0.0946314	0.0735137	0.0674305	0.0479039	0.0353693	0.0369712	0.0445441	0.0669836
a40	0.176232	0.0715149	0.0618164	0.101384	0.084814	0.0989363	0.0783053	0.0763721	0.0691325	0.078599	0.102893
a36	0.259615	0.13947	0.104588	0.119948	0.0680363	0.0627323	0.0421855	0.0481881	0.0441047	0.0485361	0.0625967
a61	0.266551	0.207417	0.160211	0.135297	0.0405349	0.0335338	0.0294002	0.0404558	0.0348555	0.0234008	0.028343
a34	0.152217	0.173115	0.186413	0.17678	0.0831343	0.0623635	0.055657	0.0377456	0.0285871	0.0209092	0.0230785
a70	0.15248	0.176696	0.18967	0.176437	0.084928	0.0665915	0.0623611	0.0334598	0.0215516	0.0162594	0.0195653
a98	0.0972275	0.129031	0.173554	0.188864	0.121821	0.0874483	0.076546	0.0335792	0.0282043	0.0296173	0.0341067
a15	0.08641	0.12078	0.176383	0.189923	0.135433	0.0923855	0.0772918	0.032334	0.0259566	0.0292138	0.0338892
a90	0.085806	0.119077	0.16101	0.16456	0.137651	0.105625	0.0890049	0.0434652	0.0285181	0.0301772	0.0351056
a93	0.0949006	0.125303	0.151795	0.150325	0.133647	0.112525	0.0931119	0.0491377	0.0290975	0.0273549	0.0328024
a44	0.103637	0.127322	0.138558	0.128471	0.131246	0.11857	0.107791	0.0593003	0.0303031	0.0253063	0.0294956
a62	0.0721338	0.0987135	0.113907	0.106884	0.148539	0.140663	0.133311	0.0745309	0.0390565	0.0331684	0.0390924
a61	0.0453272	0.0664183	0.0810233	0.0742993	0.154768	0.157852	0.161792	0.10914	0.0637192	0.0432703	0.0423909
a0	0.0263693	0.0422488	0.0597362	0.0595952	0.146698	0.159798	0.178063	0.123993	0.080269	0.0597284	0.0635019
a43	0.0171346	0.0286557	0.0475377	0.0538329	0.133526	0.152983	0.191186	0.133361	0.0903739	0.0689456	0.0824633
a11	0.0119185	0.0188524	0.0313017	0.0382979	0.0982252	0.124777	0.175779	0.154112	0.121068	0.0999528	0.125714
a93	0.011967	0.0187388	0.0318126	0.0397314	0.0813892	0.09798	0.156329	0.148318	0.122465	0.115571	0.175699
a25	0.0108124	0.0181993	0.030993	0.038289	0.0753088	0.0965852	0.147539	0.155483	0.147853	0.122821	0.156117
a44	0.00363486	0.00619909	0.0117234	0.0159609	0.0435111	0.0612246	0.109342	0.132346	0.152583	0.182623	0.280852
a98	0.00288026	0.00457546	0.00820588	0.0120409	0.0292419	0.0383302	0.0711018	0.106985	0.136869	0.206317	0.383452
a47	0.00438727	0.00645502	0.0106224	0.0132863	0.0312147	0.0374766	0.0673215	0.101296	0.139857	0.244149	0.343934
a6	0.00642732	0.00740318	0.0114492	0.0134997	0.0285577	0.0341922	0.0552472	0.0778882	0.12337	0.252544	0.389422
a36	0.0018585	0.00244357	0.00446256	0.00585714	0.015707	0.0192938	0.0347706	0.0662703	0.12028	0.287949	0.441107
a0	0.00159496	0.00152913	0.00229641	0.0029432	0.0068379	0.00739916	0.00942988	0.0301167	0.0698521	0.277158	0.590843
a75	0.00114022	0.00122783	0.00206027	0.00253629	0.00567148	0.00573945	0.00644939	0.0268425	0.0758815	0.2926	0.579851
a90	0.00092316	0.00113891	0.00186909	0.00264286	0.00845007	0.00990844	0.0159044	0.0429736	0.0909539	0.324212	0.501024
a92	0.0010702	0.00144062	0.00245494	0.00333067	0.0092505	0.00986155	0.011607	0.0341817	0.0805425	0.305805	0.540455
a37	0.000554026	0.000753069	0.0014504	0.00210608	0.00659385	0.00640916	0.00706101	0.0189825	0.0522222	0.28152	0.622348
a62	0.000552187	0.000745333	0.00150891	0.00182518	0.00404831	0.00391292	0.00321476	0.0109221	0.0432275	0.281055	0.648988
a21	0.000522462	0.000711604	0.00126187	0.00144302	0.00320999	0.00287584	0.00273201	0.0105482	0.0408799	0.274235	0.66158
a12	0.00127564	0.00149017	0.00271775	0.00352763	0.00586256	0.00520205	0.00437379	0.0132529	0.0427668	0.306533	0.612998
a31	0.000603351	0.000746791	0.00134151	0.00160395	0.00337493	0.00299654	0.00252527	0.00870897	0.0328509	0.25285	0.692398
a88	0.00112761	0.00121085	0.00188414	0.00186273	0.00372397	0.00360946	0.00292717	0.0146936	0.0523884	0.291568	0.625004
a9	0.00950749	0.00797193	0.00930547	0.00811693	0.0112091	0.0117095	0.00899582	0.0385416	0.0919386	0.307058	0.495645
a87	0.0661339	0.0398466	0.0350099	0.0249908	0.0293744	0.0328214	0.0267538	0.0699474	0.121212	0.237251	0.316658
a23	0.0849943	0.0331433	0.0235511	0.0141235	0.0159948	0.0219911	0.0260845	0.0760271	0.134176	0.243528	0.326386
a87	0.0581175	0.0198005	0.0150976	0.0100125	0.0116063	0.0112151	0.00901188	0.0389049	0.0739469	0.208724	0.543563
</S>	0.00614684	0.00291357	0.00316466	0.00264297	0.00411069	0.00414565	0.00372813	0.0159802	0.0445259	0.222899	0.689742
