 	il	y	a	le	clair	de	lune	cette	nuit	</S>
a66	0.0480785	0.0785967	0.210171	0.444763	0.168147	0.0291292	0.0149754	0.00396642	0.0012699	0.000903465
a87	0.204238	0.172831	0.202544	0.179447	0.0891693	0.0465429	0.0510045	0.0258495	0.0147089	0.0136656
a10	0.156263	0.143621	0.188117	0.300204	0.127175	0.0359998	0.0184351	0.00855194	0.00931253	0.0123212
a87	0.22613	0.238582	0.202993	0.203723	0.069412	0.0229325	0.00998469	0.00744123	0.00837125	0.0104305
a97	0.217475	0.223843	0.195327	0.200675	0.0830505	0.0295112	0.0134985	0.0104901	0.0117823	0.0143472
a10	0.176263	0.194595	0.193776	0.217444	0.10281	0.0473645	0.0193502	0.0157638	0.0151609	0.0174736
a53	0.159214	0.168253	0.191025	0.252135	0.108312	0.0529394	0.0243243	0.0179563	0.0123778	0.0134623
a90	0.186353	0.20083	0.208716	0.208727	0.0902193	0.0570718	0.0224369	0.0112936	0.00715474	0.007198
a98	0.212413	0.205846	0.245475	0.188082	0.0570926	0.0437079	0.0236534	0.0111463	0.0069117	0.00567366
a15	0.178086	0.165275	0.204343	0.167703	0.0892081	0.082112	0.0566294	0.0256779	0.0168232	0.0141422
a7	0.146009	0.111836	0.177396	0.174763	0.0977441	0.120162	0.0923277	0.0317263	0.0234164	0.0246198
a15	0.133933	0.100257	0.129989	0.129219	0.0828841	0.153833	0.142771	0.0493573	0.0367466	0.0410104
a98	0.0735692	0.0615623	0.102798	0.128567	0.13232	0.187401	0.159385	0.0629643	0.0448829	0.0465494
a85	0.0984408	0.0856361	0.128353	0.135674	0.127264	0.146837	0.135475	0.0552933	0.0413012	0.0457248
a5	0.0918178	0.0771214	0.110641	0.115416	0.118987	0.137302	0.152661	0.0799101	0.0579796	0.0581638
a12	0.065975	0.0575494	0.0630586	0.0811887	0.0993236	0.092491	0.173412	0.145835	0.103529	0.117638
a61	0.0349514	0.0301989	0.0303324	0.0436295	0.0656813	0.0822517	0.173121	0.191348	0.15558	0.192907
a12	0.0135869	0.00952657	0.00960406	0.0149003	0.034478	0.0611733	0.144125	0.229892	0.217442	0.265271
a75	0.00523835	0.0033587	0.0032161	0.00448697	0.0112003	0.0275434	0.0762361	0.249803	0.285397	0.333521
a79	0.00184741	0.00126572	0.00116671	0.00140998	0.0064747	0.037047	0.109008	0.231236	0.258596	0.351948
a56	0.00158558	0.00107212	0.000964265	0.00116115	0.00723321	0.0403195	0.0988876	0.235809	0.277831	0.335137
a43	0.00129217	0.000831469	0.000765828	0.000880808	0.00310429	0.0118231	0.0311777	0.141381	0.298515	0.510228
a11	0.000605787	0.000208951	0.000170189	0.000239417	0.00118825	0.00552432	0.0165753	0.0828439	0.296857	0.595787
a10	0.000235944	0.000101102	0.000117075	0.000227785	0.0012145	0.00479881	0.015016	0.0778306	0.257064	0.643394
a9	0.00422222	0.00219894	0.00322817	0.00650551	0.0146705	0.0220349	0.0412732	0.139937	0.273788	0.492142
a10	0.103326	0.0737689	0.0977516	0.148486	0.143188	0.0725065	0.0589317	0.0862078	0.0925368	0.123297
a97	0.0968831	0.0687861	0.0725318	0.0950153	0.130108	0.0853956	0.0788584	0.103219	0.122404	0.146798
a87	0.0453107	0.0325672	0.0323058	0.039901	0.0729061	0.0647239	0.0738065	0.163148	0.225882	0.24945
a97	0.0233533	0.0171542	0.0188464	0.025694	0.0606831	0.0821582	0.0958382	0.164182	0.234186	0.277905
</S>	0.015482	0.0112065	0.0119538	0.0167471	0.0348009	0.0597423	0.0840015	0.161731	0.247323	0.357012
