 	ils	sont	devenus	vieux	</S>
a23	0.427662	0.273585	0.121214	0.0875777	0.0899606
a54	0.383405	0.326298	0.187666	0.0648264	0.0378043
a47	0.481221	0.273687	0.114431	0.0635733	0.0670875
a6	0.37446	0.246658	0.172903	0.128533	0.0774459
a37	0.337107	0.250813	0.18094	0.148313	0.0828273
a61	0.218044	0.184413	0.178229	0.22901	0.190304
a31	0.113866	0.126303	0.186947	0.298456	0.274427
a88	0.0680301	0.084568	0.152007	0.326955	0.36844
a70	0.0438135	0.0527502	0.109894	0.317829	0.475713
a34	0.0285814	0.042657	0.115447	0.326009	0.487305
a62	0.0184858	0.0308281	0.0928823	0.301045	0.556759
a83	0.0109248	0.0179359	0.0565314	0.242384	0.672224
a71	0.00946772	0.0124393	0.0348789	0.186506	0.756709
a99	0.0143521	0.0137628	0.0243918	0.155013	0.79248
a87	0.0233108	0.0212949	0.0313038	0.150629	0.773461
a10	0.146384	0.119998	0.13302	0.209808	0.39079
a87	0.204672	0.167854	0.15823	0.201097	0.268147
a23	0.166896	0.156983	0.175683	0.210509	0.289929
a10	0.194762	0.162523	0.167616	0.186304	0.288796
</S>	0.198075	0.152824	0.144247	0.173765	0.331088
