 	voler	est	une	mauvaise	action	</S>
a23	0.303715	0.183206	0.135972	0.121966	0.114787	0.140356
a24	0.347854	0.169539	0.103236	0.105158	0.152204	0.12201
a26	0.481151	0.194807	0.110899	0.0718805	0.0781888	0.0630733
a24	0.556772	0.214513	0.09327	0.0491134	0.0531865	0.0331456
a83	0.45457	0.196357	0.105605	0.0810629	0.0987634	0.0636422
a38	0.405426	0.225773	0.125495	0.0901984	0.0929555	0.0601517
a26	0.316437	0.22015	0.150452	0.120613	0.108078	0.0842702
a98	0.234379	0.198589	0.161966	0.142055	0.137593	0.125419
a13	0.272395	0.227766	0.173902	0.123061	0.117328	0.0855474
a62	0.1786	0.188093	0.174894	0.14446	0.163062	0.15089
a47	0.101037	0.133587	0.155205	0.162237	0.22229	0.225644
a98	0.0560602	0.0842882	0.115671	0.135581	0.28851	0.319889
a25	0.0354208	0.0575345	0.0942604	0.144968	0.258992	0.408824
a87	0.0228223	0.0436485	0.0893798	0.137117	0.236084	0.470948
</S>	0.0102374	0.0243793	0.0608838	0.11835	0.276891	0.509258
