 	le	prix	du	manioc	a	augmenté	</S>
a23	0.402609	0.201153	0.0827994	0.0788501	0.0670744	0.0780663	0.0894476
a87	0.408135	0.254397	0.126711	0.0882431	0.0454199	0.0352263	0.0418673
a23	0.342262	0.253061	0.137052	0.091429	0.0559806	0.0521694	0.068047
a4	0.369144	0.236567	0.118549	0.0809484	0.0505063	0.0547193	0.0895662
a98	0.538327	0.296727	0.0813811	0.0414296	0.0159261	0.0116217	0.0145871
a66	0.37178	0.315991	0.162521	0.0913662	0.0297056	0.0150779	0.0135589
a94	0.304775	0.292871	0.184698	0.118652	0.0463965	0.0265137	0.0260938
a35	0.288408	0.284678	0.186048	0.126148	0.0523224	0.0314222	0.0309737
a98	0.312501	0.267851	0.173491	0.121927	0.0581078	0.0352679	0.0308536
a35	0.283262	0.25585	0.178535	0.134788	0.0689341	0.0420857	0.0365456
a41	0.219672	0.213027	0.170165	0.154193	0.103299	0.0760977	0.0635455
a32	0.153469	0.174949	0.159406	0.176021	0.137488	0.108714	0.0899529
a25	0.0853056	0.107992	0.134876	0.195325	0.175123	0.153354	0.148025
a76	0.0539438	0.07147	0.0994195	0.178091	0.198083	0.190162	0.208831
a94	0.0357809	0.0487956	0.0658329	0.139686	0.211596	0.239894	0.258415
a76	0.028819	0.0399092	0.0554921	0.113849	0.205544	0.266294	0.290093
a94	0.0203127	0.0289465	0.0399897	0.0955596	0.212925	0.287258	0.315008
a96	0.0131202	0.0200422	0.0262525	0.056726	0.141066	0.277315	0.465478
a62	0.0146233	0.0196775	0.0232555	0.0456263	0.111203	0.256491	0.529124
a26	0.0099302	0.012123	0.0145926	0.0290149	0.0887791	0.254146	0.591414
a24	0.0150859	0.016955	0.0181557	0.029136	0.0761785	0.214862	0.629627
a41	0.0127102	0.0138526	0.0164879	0.0293947	0.0796022	0.2207	0.627253
a27	0.0111527	0.0120273	0.0147523	0.025364	0.0722308	0.224149	0.640323
a82	0.00716905	0.00829805	0.0113944	0.0208507	0.0630543	0.211114	0.678119
a87	0.0157344	0.0125684	0.0131552	0.0217065	0.060565	0.203317	0.672953
</S>	0.015695	0.0129878	0.0132167	0.0229329	0.0739015	0.22855	0.632716
