 	elle	berce	son	bébé	</S>
a23	0.363946	0.275229	0.109466	0.0992117	0.152148
a87	0.451763	0.233794	0.115575	0.0932853	0.105582
a23	0.356293	0.268146	0.157414	0.0996649	0.118482
a30	0.320874	0.2537	0.131842	0.135521	0.158063
a20	0.315048	0.244833	0.134917	0.138241	0.166961
a44	0.479171	0.311316	0.111966	0.0597755	0.0377714
a20	0.449683	0.340777	0.151959	0.0390228	0.0185576
a41	0.412028	0.27229	0.175554	0.0838234	0.0563045
a27	0.353423	0.257594	0.194337	0.110373	0.0842724
a20	0.31052	0.220653	0.242639	0.133127	0.0930616
a94	0.329782	0.201421	0.195255	0.143953	0.12959
a76	0.253438	0.175116	0.247038	0.188832	0.135576
a94	0.154674	0.111204	0.205255	0.269992	0.258876
a32	0.0914758	0.0683266	0.156961	0.329951	0.353285
a76	0.067838	0.0467454	0.0866394	0.279014	0.519763
a94	0.0371003	0.034137	0.0783138	0.295492	0.554957
a20	0.0236477	0.0221122	0.0457989	0.218629	0.689812
a76	0.0271931	0.0245324	0.0436346	0.191944	0.712696
a73	0.0212925	0.0191993	0.0476678	0.235969	0.675872
a94	0.021221	0.0188381	0.0371895	0.181228	0.741524
a54	0.0179286	0.0140137	0.0283112	0.1762	0.763547
a73	0.0392826	0.0299836	0.0444297	0.195301	0.691004
a84	0.0202512	0.0163743	0.0248356	0.162993	0.775546
a87	0.0212096	0.0221852	0.038692	0.180271	0.737642
</S>	0.0369821	0.053062	0.0751747	0.214791	0.619991
