 	je	tire	les	mangues	à	l'	aide	d'	un	cro	chet	</S>
a66	0.0456754	0.0458574	0.10638	0.243416	0.283587	0.184431	0.0547754	0.0167819	0.00521795	0.00386997	0.00507258	0.00493524
a87	0.107124	0.0924654	0.142116	0.152459	0.177423	0.108318	0.0940002	0.0449635	0.0315491	0.0249795	0.0168503	0.00775174
a23	0.134324	0.0639303	0.0924444	0.129967	0.139986	0.144684	0.125387	0.0857134	0.047701	0.0194454	0.00867424	0.00774305
a38	0.34552	0.117839	0.116279	0.108388	0.063258	0.0572311	0.0370789	0.0352987	0.0439959	0.0324776	0.025126	0.0175072
a5	0.217357	0.0878289	0.0977909	0.136456	0.124954	0.145974	0.0733352	0.0434692	0.0341831	0.0207572	0.0107544	0.00714071
a12	0.159551	0.114249	0.138509	0.133872	0.122735	0.12305	0.0809309	0.0657148	0.0411751	0.0136175	0.00416239	0.002433
a31	0.107351	0.140087	0.173475	0.138302	0.123754	0.127938	0.0822881	0.0480471	0.0332181	0.0184337	0.00560215	0.00150403
a62	0.0998447	0.133919	0.146305	0.0949087	0.109076	0.151112	0.116209	0.054802	0.0409262	0.0306259	0.015799	0.00647327
a75	0.0930379	0.099966	0.10148	0.0738155	0.0761707	0.0973773	0.0952997	0.0712331	0.0790258	0.0990915	0.0803726	0.0331302
a98	0.0671471	0.118171	0.135614	0.0944992	0.0803592	0.0677991	0.0471166	0.0378484	0.0520111	0.0993562	0.136467	0.0636111
a47	0.0422983	0.0737975	0.0819944	0.0562187	0.048463	0.0383244	0.030483	0.0368806	0.056133	0.131195	0.288525	0.115687
a98	0.0275113	0.0415781	0.0440295	0.0344472	0.0212536	0.0138025	0.0107007	0.0218839	0.0579881	0.156978	0.404334	0.165493
a92	0.0136373	0.0181495	0.0178271	0.0148091	0.0107324	0.00813675	0.00821542	0.0240079	0.0668749	0.177507	0.448066	0.192036
a37	0.00619415	0.00472608	0.00416034	0.00386321	0.00333436	0.00319899	0.00416143	0.0166395	0.054628	0.124422	0.389704	0.384968
a12	0.0043124	0.00197746	0.00109452	0.00125968	0.00135098	0.00153252	0.0023835	0.00890667	0.0266085	0.0745591	0.267708	0.608306
a62	0.00149902	0.00096559	0.000474211	0.000495092	0.000654249	0.000713321	0.00118869	0.00453201	0.0138628	0.0381459	0.198152	0.739317
a0	0.00087759	0.000719385	0.000467103	0.000373991	0.000483322	0.000450249	0.000809455	0.00284303	0.00905659	0.0226559	0.140565	0.820699
a90	0.0011671	0.002088	0.00143022	0.00158066	0.00246223	0.00240946	0.00352192	0.00890813	0.0220546	0.0316616	0.12093	0.801786
a69	0.000457994	0.00069007	0.000509453	0.000685328	0.0015794	0.00164983	0.00231626	0.00694348	0.0150767	0.0265698	0.133017	0.810504
a58	0.000293884	0.000340926	0.000262378	0.000334192	0.000813589	0.000942881	0.00204558	0.00560772	0.0120781	0.02764	0.167044	0.782597
a82	0.00833584	0.0132022	0.00559449	0.00943773	0.0128	0.00765401	0.00669167	0.0155257	0.044666	0.0734994	0.202686	0.599907
a87	0.178251	0.109703	0.0675838	0.0731118	0.0551696	0.0376788	0.0325398	0.050449	0.0846537	0.0847072	0.111392	0.11476
a23	0.220153	0.195081	0.140966	0.130718	0.0855534	0.0397781	0.0308199	0.0332945	0.0399604	0.0376783	0.0305715	0.0154259
a99	0.017915	0.0143402	0.00917783	0.00719338	0.00963382	0.00973073	0.0171951	0.0316477	0.063391	0.0892012	0.261095	0.469479
a97	0.00550199	0.0042198	0.00382281	0.00513444	0.0067032	0.00684419	0.0123936	0.0272393	0.0610841	0.105921	0.348591	0.412545
</S>	0.000957545	0.000933856	0.000859525	0.00110283	0.00135347	0.00136355	0.00279769	0.0101761	0.0538749	0.15202	0.378446	0.396114
