 	quand	un	mouton	donne	des	coups	de	cornes	aux	gens	dans	le	village	il	faut	le	tuer	</S>
a87	0.132261	0.100411	0.104496	0.0641945	0.0822674	0.100806	0.131771	0.0537346	0.0680899	0.035592	0.0261958	0.0284473	0.0212778	0.0143962	0.0112852	0.00907528	0.00815635	0.00754203
a79	0.292318	0.161574	0.110861	0.0413983	0.031256	0.0262754	0.0308116	0.0316586	0.0332893	0.0305506	0.0277327	0.0253046	0.0218347	0.0259047	0.0277234	0.0285269	0.0286833	0.0242962
a5	0.146975	0.0905635	0.0971472	0.063829	0.0462446	0.0379557	0.0315685	0.0315118	0.0393553	0.0589085	0.0538534	0.0448918	0.0396841	0.0418753	0.0453716	0.042436	0.0435047	0.0443244
a61	0.289448	0.187362	0.14132	0.0700618	0.0453911	0.0284457	0.0248678	0.0193699	0.0254199	0.0203349	0.0206885	0.020786	0.017117	0.0149646	0.0171466	0.0199315	0.0177059	0.0196376
a70	0.197079	0.16034	0.142019	0.0970586	0.071777	0.0594647	0.0610715	0.0291639	0.0486682	0.0219456	0.0168536	0.0183639	0.0127527	0.00955333	0.0105342	0.0131934	0.0133347	0.0168268
a75	0.11623	0.106468	0.109675	0.108804	0.0841852	0.0819591	0.0951448	0.0379235	0.062263	0.0307759	0.0249935	0.0256138	0.0209922	0.0175917	0.0185704	0.020445	0.0183924	0.0199729
a92	0.042056	0.0466464	0.0606946	0.100336	0.0873203	0.0956918	0.0857828	0.0795112	0.105856	0.0646829	0.047887	0.048077	0.0356345	0.023815	0.0198338	0.0172647	0.0179131	0.0209975
a34	0.0341226	0.039247	0.0545325	0.0837368	0.0833541	0.0957938	0.0940784	0.0837483	0.0977528	0.0696899	0.0539315	0.0550569	0.0420038	0.027441	0.0218892	0.0181376	0.0201524	0.0253314
a90	0.0347833	0.0418627	0.0646594	0.0953947	0.0916684	0.106371	0.113705	0.093042	0.10287	0.063249	0.0421904	0.0416266	0.0325207	0.0213568	0.0162659	0.0119721	0.0122066	0.0142544
a15	0.038977	0.0476465	0.0628522	0.0811449	0.0820315	0.0934763	0.10318	0.0933046	0.0962518	0.0695179	0.0487535	0.049073	0.0388254	0.0247283	0.0178873	0.0133541	0.0160272	0.0229683
a85	0.0366194	0.0421727	0.0576845	0.0682938	0.0694207	0.0827934	0.104401	0.0900379	0.0967919	0.0761707	0.0569523	0.0581919	0.0474993	0.031131	0.0225331	0.0168197	0.0186709	0.0238157
a5	0.0344681	0.0389522	0.0493845	0.0594694	0.068088	0.0797837	0.101359	0.0877394	0.0855108	0.0745043	0.0623699	0.0650412	0.0558436	0.0394558	0.028402	0.0192729	0.02253	0.0278255
