 	la	lune	apparaît	à	l'	horizon	</S>
a23	0.381132	0.257761	0.168122	0.0615581	0.0430336	0.0411883	0.0472048
a10	0.261139	0.141202	0.131049	0.107978	0.117602	0.105463	0.135567
a11	0.227242	0.161327	0.117757	0.131958	0.120089	0.0946072	0.14702
a32	0.282363	0.199109	0.164413	0.0951514	0.0763541	0.0820828	0.100527
a75	0.438831	0.271908	0.179817	0.0638309	0.0243646	0.0109941	0.0102542
a41	0.364262	0.268097	0.230329	0.0783576	0.0337389	0.014892	0.0103243
a35	0.3156	0.238696	0.218139	0.123805	0.0607234	0.0256303	0.0174056
a24	0.319473	0.249907	0.183849	0.130256	0.0684848	0.0299699	0.0180608
a41	0.326948	0.247967	0.158608	0.122987	0.0799418	0.041204	0.0223452
a30	0.219143	0.199612	0.129024	0.171008	0.139373	0.0897958	0.0520445
a25	0.117963	0.122262	0.0901816	0.170586	0.182978	0.179043	0.136985
a40	0.048143	0.0513397	0.043678	0.123843	0.228468	0.291145	0.213382
a30	0.0530363	0.051093	0.046154	0.154909	0.248043	0.264355	0.18241
a44	0.0207224	0.0201187	0.018839	0.0769156	0.169521	0.328549	0.365334
a57	0.011138	0.0109238	0.0112654	0.0467022	0.153066	0.358475	0.408429
a10	0.00164661	0.00200276	0.00314727	0.0210966	0.113231	0.342883	0.515992
a53	0.000849596	0.0011702	0.00230927	0.0157391	0.0699179	0.273557	0.636457
a76	0.00297033	0.00364521	0.00711562	0.0415018	0.148106	0.334369	0.462292
a35	0.00259331	0.0034844	0.00729665	0.0317622	0.10369	0.296157	0.555016
a24	0.00427427	0.00596877	0.012207	0.0357758	0.0934095	0.27188	0.576485
a25	0.00196627	0.00266745	0.00540364	0.0165111	0.0528897	0.229932	0.69063
a38	0.00053574	0.000586921	0.00180951	0.0188564	0.0857662	0.27457	0.617875
a93	0.000334171	0.000337797	0.00104795	0.0115912	0.0648077	0.250266	0.671615
a90	0.000562814	0.000696962	0.00226763	0.0128898	0.0573217	0.242994	0.683267
a4	0.00092129	0.00102783	0.00270982	0.0130632	0.057982	0.230403	0.693892
a13	0.00228618	0.00181011	0.00320873	0.0158521	0.0614347	0.203141	0.712267
a9	0.00950016	0.00820256	0.0153016	0.0463025	0.0979334	0.200696	0.622063
a87	0.0255232	0.0218534	0.0295155	0.0614757	0.112493	0.204399	0.54474
a23	0.0387066	0.0283654	0.0243916	0.0377589	0.0731798	0.22298	0.574618
a87	0.076928	0.0560651	0.0480081	0.0650309	0.0972831	0.193815	0.46287
a23	0.0338052	0.0322143	0.0428338	0.0877411	0.136271	0.251203	0.415932
a87	0.0973509	0.0881621	0.0989339	0.107962	0.113751	0.170313	0.323527
</S>	0.0276426	0.0276693	0.0437039	0.0588329	0.112569	0.244089	0.485493
