 	il	est	parti	au-devant	</S>
a23	0.353305	0.190874	0.151072	0.124713	0.180036
a79	0.289599	0.174402	0.12204	0.156703	0.257255
a20	0.354686	0.167687	0.128924	0.170202	0.178501
a73	0.488185	0.259272	0.133479	0.0823583	0.0367062
a56	0.389375	0.284524	0.200452	0.0912087	0.0344398
a98	0.285527	0.271102	0.231543	0.149724	0.0621037
a71	0.281538	0.22924	0.230939	0.17835	0.0799333
a38	0.248346	0.171225	0.188704	0.229535	0.162191
a25	0.199787	0.150005	0.189269	0.284914	0.176026
a94	0.221682	0.177231	0.209003	0.264047	0.128037
a4	0.126785	0.110554	0.173477	0.336211	0.252972
a93	0.0909863	0.0750195	0.109716	0.290998	0.43328
a70	0.0758074	0.0611418	0.0972136	0.276591	0.489246
a0	0.0470742	0.0418896	0.066094	0.237009	0.607933
a11	0.0362978	0.0307492	0.0490247	0.211118	0.67281
a75	0.0459952	0.0388601	0.0597241	0.238553	0.616868
a93	0.0281058	0.0275164	0.0527411	0.23232	0.659317
a13	0.0570992	0.0541767	0.074548	0.219572	0.594604
a9	0.0302155	0.0325894	0.0567902	0.205982	0.674423
a87	0.0229559	0.0382509	0.0697406	0.196438	0.672614
</S>	0.0195178	0.0484746	0.0817192	0.168262	0.682026
