 	de	la	manière	dont	ils	ont	ensorcelé	mon	fils	ils	n'	ont	pitié	de	personne	</S>
a66	0.125749	0.112839	0.0846255	0.0724027	0.0975602	0.125611	0.126315	0.076665	0.0645696	0.0358207	0.0282054	0.0168228	0.0100387	0.00800441	0.00742775	0.00734323
a87	0.246211	0.15871	0.141297	0.124615	0.0795919	0.0713294	0.0296139	0.0181623	0.0220353	0.0136577	0.0154899	0.0155659	0.0173493	0.0153388	0.0151816	0.0158511
a23	0.297597	0.185361	0.125486	0.113328	0.0753753	0.0476971	0.031236	0.0233804	0.0181423	0.0134078	0.0121077	0.0127044	0.0120678	0.0100931	0.00991109	0.0121055
a87	0.238385	0.219804	0.168981	0.125029	0.0388886	0.0199551	0.0119274	0.0140569	0.0149538	0.014316	0.016088	0.0182436	0.0237643	0.0215942	0.0229303	0.031082
a23	0.220741	0.229279	0.158506	0.132548	0.0506343	0.0279249	0.017324	0.0201213	0.020098	0.0181502	0.0193493	0.0186882	0.0192865	0.0163664	0.0150272	0.0159559
a5	0.199805	0.189676	0.134654	0.115169	0.0413897	0.0253797	0.0233483	0.0257768	0.0259589	0.0245992	0.0256699	0.0288935	0.0358005	0.0335751	0.0318908	0.0384141
a61	0.190049	0.159155	0.127857	0.0964608	0.0631447	0.0548621	0.0541401	0.0296139	0.0290374	0.0241758	0.0210658	0.0260664	0.0337518	0.0316762	0.0285415	0.0304028
a75	0.195855	0.178101	0.216722	0.141056	0.0698139	0.0655181	0.0388323	0.0123102	0.0118913	0.00901226	0.00774313	0.00957634	0.0134348	0.012508	0.00921791	0.00840826
a92	0.111584	0.0970217	0.132937	0.0984666	0.0543682	0.0705	0.0829118	0.0422073	0.0417142	0.033859	0.025456	0.0293786	0.0485993	0.0525526	0.0424175	0.0360262
a75	0.102995	0.0915747	0.158577	0.136266	0.0718864	0.0778971	0.0690816	0.044768	0.0386575	0.0315496	0.022211	0.0224657	0.0310601	0.0345168	0.0332169	0.0332782
a47	0.0780735	0.06876	0.118535	0.102718	0.0591935	0.0708562	0.0685971	0.0753682	0.0722741	0.0693141	0.0480577	0.0372095	0.0340958	0.0315816	0.0308113	0.0345545
a21	0.0365401	0.0308114	0.0483064	0.0445053	0.0391527	0.0548004	0.0663518	0.119943	0.115659	0.114817	0.0742246	0.055231	0.0496118	0.0449628	0.0470235	0.0580602
a5	0.0746305	0.0550414	0.0869397	0.100315	0.0919327	0.0968953	0.0871536	0.0937023	0.0822173	0.073562	0.0473461	0.0299402	0.0202427	0.0184786	0.0194025	0.0222005
a75	0.0302283	0.0233434	0.0423755	0.0633153	0.0905756	0.102047	0.112944	0.121397	0.110769	0.097814	0.0655699	0.0401035	0.0251526	0.0228687	0.0244629	0.0270332
a85	0.00993259	0.00877206	0.0156722	0.0226869	0.0434929	0.06006	0.0798155	0.14054	0.131409	0.140786	0.0983347	0.0732463	0.0474483	0.0403133	0.0414882	0.046002
a6	0.00638438	0.0061428	0.00927335	0.0128396	0.0260857	0.0378854	0.0593973	0.129616	0.124704	0.149669	0.108328	0.0839774	0.0586251	0.0526979	0.0604812	0.0738933
a98	0.00369185	0.00304663	0.00598813	0.00915453	0.0279494	0.0542883	0.115457	0.153464	0.138419	0.134478	0.0956056	0.0685105	0.0462787	0.0429942	0.0474334	0.0532406
a47	0.00275826	0.00257667	0.00373408	0.00524469	0.0139776	0.0280178	0.0704242	0.123512	0.124957	0.130699	0.104141	0.0854203	0.0682267	0.0641736	0.0766592	0.0954783
a37	0.00259651	0.00196303	0.00320162	0.00452013	0.00974267	0.0188541	0.0669321	0.137296	0.15376	0.154893	0.105944	0.0632585	0.0488898	0.0541679	0.0736304	0.100349
a85	0.00349885	0.00256362	0.00330126	0.00508712	0.0109761	0.0198104	0.0689497	0.156009	0.166926	0.15634	0.0995408	0.0575128	0.0416021	0.0460317	0.0658208	0.0960294
a47	0.00153821	0.0010649	0.00144141	0.00215949	0.00486386	0.0109707	0.051126	0.13355	0.1499	0.164718	0.110319	0.072248	0.0519116	0.0510519	0.0741425	0.118993
a98	0.00289647	0.00190153	0.00248046	0.00336208	0.00651451	0.0137907	0.0455428	0.106018	0.137794	0.153336	0.111381	0.0765029	0.0607982	0.0652601	0.088472	0.123949
a47	0.00415204	0.00257258	0.00308857	0.00380057	0.00712406	0.0149084	0.0489084	0.122982	0.155382	0.154592	0.107489	0.0674419	0.0535651	0.0560072	0.078844	0.119142
a37	0.0047692	0.00316287	0.00337549	0.00379416	0.00608185	0.0129214	0.0407152	0.0816639	0.107108	0.126629	0.097051	0.07674	0.0800245	0.0875034	0.116275	0.152184
a85	0.00264827	0.00191082	0.00195478	0.00231279	0.00428545	0.00755245	0.0306112	0.11242	0.123726	0.14416	0.107152	0.072997	0.057747	0.0684558	0.106013	0.156053
a47	0.000877251	0.000578888	0.000640327	0.000884443	0.00187962	0.00433272	0.0218221	0.0787403	0.0954301	0.119865	0.0951997	0.0779542	0.0728189	0.0875809	0.13722	0.204175
a36	0.00198346	0.00125296	0.00139879	0.00184787	0.0033016	0.00616157	0.024986	0.0791091	0.0929721	0.119541	0.0982406	0.0802279	0.0814062	0.0895981	0.129495	0.188477
a2	0.016332	0.0105371	0.0089894	0.00840814	0.0121312	0.0169416	0.035273	0.075284	0.0760714	0.0823702	0.0791409	0.0707475	0.0800747	0.0893854	0.132135	0.206178
a57	0.0276129	0.0184756	0.0145213	0.0133334	0.0156475	0.0201626	0.0366061	0.0873279	0.0752811	0.0788171	0.0660134	0.0550833	0.0685582	0.0855475	0.140371	0.196642
a87	0.0553115	0.0365527	0.0283945	0.0221671	0.0238964	0.0365851	0.046918	0.0566921	0.0676424	0.0769623	0.0778798	0.0814575	0.0963043	0.0978543	0.0943488	0.101033
a23	0.0578069	0.0283065	0.0173238	0.0109614	0.0100068	0.0182843	0.027889	0.0426213	0.0584784	0.0773128	0.0977562	0.122926	0.144663	0.116751	0.0820654	0.0868468
a40	0.0111787	0.00591479	0.00503393	0.00361829	0.00376625	0.00781654	0.0125565	0.0232402	0.0372019	0.0619334	0.0846325	0.140487	0.186728	0.137061	0.130447	0.148384
a36	0.00411743	0.00214133	0.002962	0.00280349	0.0037154	0.00893789	0.0248949	0.0503013	0.0521583	0.0671789	0.0679614	0.094813	0.149218	0.155828	0.146181	0.166789
a61	0.000274162	0.000170594	0.000279142	0.000360082	0.000614564	0.00144912	0.00543378	0.017269	0.0243379	0.044838	0.0576915	0.0921893	0.139831	0.155019	0.1858	0.274443
a88	0.000371051	0.00025845	0.000312215	0.000416516	0.000785808	0.00154645	0.00475115	0.0131008	0.0187587	0.0311095	0.0369329	0.0678306	0.134125	0.168637	0.225159	0.295904
a50	0.000541518	0.000393073	0.000592501	0.000896817	0.0019283	0.00372136	0.00874113	0.0180861	0.0241195	0.0346866	0.0433538	0.0673459	0.131771	0.167018	0.214471	0.282334
a88	0.00158582	0.00146297	0.00191566	0.00250872	0.00378381	0.00647689	0.011319	0.0167569	0.0212333	0.033935	0.0461843	0.0732585	0.128879	0.17174	0.22781	0.25115
a75	0.00124439	0.00106482	0.00153596	0.00195889	0.00371073	0.00639006	0.0133801	0.0183974	0.0189801	0.0273294	0.0350414	0.0526286	0.107869	0.157972	0.241569	0.310927
a6	9.84432e-05	8.88516e-05	9.70017e-05	0.000159041	0.000378994	0.000780027	0.0029571	0.00875556	0.0131733	0.026567	0.0327017	0.0573221	0.128662	0.188826	0.245396	0.294036
a36	8.16758e-05	7.50791e-05	7.64036e-05	0.000114146	0.000250283	0.000470828	0.00196504	0.00639967	0.0104902	0.0231443	0.0275216	0.0468135	0.104254	0.171752	0.265702	0.340889
a54	0.000361101	0.000324584	0.000393132	0.000458122	0.000800478	0.00139747	0.00359248	0.00742823	0.0079194	0.0139332	0.0206503	0.0361088	0.0813296	0.136315	0.265307	0.423681
a6	0.000128105	8.20335e-05	0.000105512	0.000145645	0.000291026	0.000564813	0.00184833	0.00619531	0.00803918	0.015849	0.0210339	0.0366589	0.0867633	0.142997	0.273273	0.406025
a5	7.36545e-05	4.9899e-05	5.82051e-05	7.98081e-05	0.000166733	0.000312933	0.00110849	0.00437215	0.00631896	0.0144326	0.0188461	0.0325103	0.0781668	0.129969	0.270433	0.443101
a12	0.000300883	0.000230681	0.000197954	0.000260792	0.000569775	0.000954407	0.00216557	0.00521318	0.00616825	0.0108924	0.0144313	0.0266961	0.0634513	0.11558	0.272011	0.480876
a18	0.000347874	0.00029093	0.000259815	0.000337811	0.000707007	0.00113996	0.0025945	0.00588153	0.00642602	0.010221	0.0127006	0.0207276	0.0512432	0.104715	0.269628	0.512779
a54	0.00250881	0.0017732	0.00156675	0.00150169	0.00195317	0.00298246	0.00810663	0.018207	0.0141968	0.0211227	0.0234585	0.0324489	0.0615458	0.107241	0.251844	0.449543
a36	0.000245447	0.000161803	0.000187371	0.00022705	0.000331972	0.000645987	0.0017275	0.00644013	0.00758222	0.0140086	0.0170278	0.0283903	0.075266	0.131778	0.291179	0.424801
a2	0.000749635	0.000506032	0.000516518	0.000522989	0.000683805	0.00109005	0.00252273	0.00752861	0.00714683	0.0125437	0.0144607	0.0235275	0.0570337	0.105934	0.272284	0.492949
a57	0.0238889	0.0186998	0.0135672	0.0122141	0.0132446	0.0170367	0.0302485	0.057093	0.0484164	0.0648618	0.0634249	0.0746956	0.0849734	0.110813	0.160092	0.20673
a87	0.0961993	0.0472873	0.030945	0.0226688	0.0215118	0.0330738	0.0395758	0.061993	0.0623588	0.0757722	0.0728888	0.0748671	0.0718108	0.0753205	0.0975293	0.116198
a23	0.0969895	0.0344257	0.0266138	0.0191241	0.0184841	0.0301011	0.0398457	0.0583694	0.067946	0.0819221	0.073352	0.07912	0.0706216	0.0805206	0.100502	0.122062
a87	0.0236598	0.00586285	0.00579175	0.00545936	0.00571964	0.0103812	0.0148006	0.037571	0.0538343	0.091743	0.0871294	0.11311	0.129983	0.125162	0.131572	0.15822
</S>	0.00517537	0.00142937	0.00139789	0.00131584	0.00164896	0.0041958	0.00849139	0.0476211	0.0559814	0.0971766	0.0774421	0.0901584	0.116938	0.118243	0.147802	0.224983
