 	tsimba	avait	tué	un	dzoo	à	la	vouma	</S>
a10	0.255106	0.0913454	0.0749973	0.0702079	0.0994911	0.134304	0.0922161	0.085498	0.0968342
a11	0.204828	0.0815862	0.0885136	0.102204	0.100275	0.110376	0.0782473	0.0968598	0.13711
a10	0.205834	0.0947033	0.0922911	0.0894898	0.0779086	0.0783193	0.0718406	0.114987	0.174626
a62	0.245166	0.144765	0.131959	0.118969	0.0631264	0.0605882	0.051942	0.0755719	0.107913
a34	0.483832	0.23764	0.14406	0.083682	0.0271599	0.0117933	0.00454372	0.00341653	0.00387291
a75	0.505011	0.268445	0.132832	0.0632535	0.0159131	0.00686952	0.00273648	0.00224693	0.00269325
a73	0.450101	0.254714	0.145097	0.0794007	0.0257521	0.0165125	0.00899906	0.00882944	0.0105938
a44	0.288125	0.270238	0.17048	0.126625	0.0553059	0.0324046	0.017447	0.0178966	0.0214778
a90	0.176212	0.230665	0.177795	0.173443	0.0900136	0.0563034	0.030934	0.0298936	0.0347407
a56	0.122297	0.184144	0.168137	0.182632	0.105995	0.0797915	0.0521572	0.0494563	0.0553893
a75	0.106504	0.157679	0.161607	0.213645	0.12952	0.0942347	0.0517755	0.0413657	0.0436698
a85	0.074756	0.100628	0.115391	0.179973	0.132274	0.118976	0.0976476	0.0907422	0.0896121
a66	0.048333	0.0664319	0.0747915	0.131816	0.149262	0.165555	0.137393	0.120094	0.106323
a11	0.043438	0.0639489	0.0865324	0.163234	0.174327	0.191743	0.108032	0.0821183	0.0866274
a56	0.0264867	0.0416392	0.0679714	0.130572	0.148588	0.211225	0.139906	0.1075	0.126113
a0	0.0315293	0.0503452	0.0724428	0.129449	0.127864	0.186374	0.166549	0.120135	0.115312
a75	0.0108691	0.0217117	0.036934	0.0686098	0.0880147	0.155318	0.211455	0.202793	0.204295
a25	0.01065	0.0159754	0.0268385	0.0464352	0.0510366	0.0867128	0.16545	0.257655	0.339247
a69	0.00688081	0.0119971	0.0191366	0.0318344	0.0429652	0.0855809	0.192544	0.303041	0.30602
a93	0.00569402	0.0124478	0.0243803	0.0492856	0.054666	0.105084	0.193712	0.272413	0.282316
a90	0.00259839	0.00587582	0.0134879	0.0294197	0.0354261	0.068916	0.161206	0.297807	0.385263
a56	0.00249258	0.00452682	0.00979849	0.0225875	0.029283	0.0587032	0.133711	0.305764	0.433133
a96	0.00186258	0.00295264	0.00559038	0.0107596	0.0133595	0.0287755	0.085865	0.28145	0.569385
a54	0.000684176	0.00101525	0.00213205	0.00403301	0.00773046	0.0221641	0.0911894	0.304886	0.566166
a7	0.00145178	0.00221438	0.00457286	0.00798528	0.0105764	0.0227782	0.0810356	0.284279	0.585106
a57	0.00044992	0.000651796	0.00164578	0.00345269	0.0064178	0.018857	0.083884	0.332566	0.552075
a87	0.00345369	0.00206106	0.00364317	0.00391942	0.00801612	0.0288177	0.104452	0.337802	0.507835
a23	0.0381351	0.0195832	0.0199714	0.0237339	0.0419163	0.0905739	0.164935	0.29899	0.302161
a87	0.0283817	0.023762	0.0212549	0.0293255	0.0505942	0.113547	0.190689	0.250466	0.29198
</S>	0.00797246	0.00872856	0.00886755	0.014938	0.0360711	0.0920338	0.176743	0.288309	0.366336
