 	je	vous	ai	absenté	hier	</S>
a66	0.415351	0.188161	0.116608	0.106025	0.107664	0.0661902
a87	0.261029	0.217919	0.207601	0.164898	0.102192	0.046361
a23	0.435565	0.258084	0.155578	0.0890234	0.0377464	0.0240031
a30	0.432424	0.277823	0.150355	0.0607101	0.0336871	0.0450016
a94	0.521559	0.230262	0.127341	0.0586496	0.0316363	0.0305517
a21	0.495409	0.272166	0.120814	0.0661344	0.028152	0.017324
a12	0.341547	0.297811	0.177655	0.0985786	0.0516978	0.0327107
a88	0.310388	0.274293	0.178885	0.109986	0.068644	0.0578042
a31	0.27762	0.235357	0.181511	0.131861	0.0934098	0.0802419
a0	0.219838	0.232564	0.212948	0.148896	0.106475	0.0792801
a75	0.105584	0.14246	0.205206	0.213667	0.176513	0.156569
a85	0.0426046	0.0742513	0.117587	0.167661	0.265318	0.332579
a47	0.0199071	0.0376318	0.06984	0.145661	0.277091	0.44987
a36	0.0239357	0.0301296	0.0519824	0.136542	0.293917	0.463494
a79	0.0206534	0.0219901	0.0409853	0.136094	0.300439	0.479839
a15	0.00624674	0.00790455	0.0147787	0.0588858	0.242756	0.669428
a20	0.00555478	0.00706083	0.0149726	0.0589263	0.235378	0.678107
a7	0.00340808	0.00548744	0.0118962	0.0465923	0.203658	0.728958
a84	0.00479446	0.00800759	0.0198721	0.0668185	0.202657	0.69785
a87	0.0724358	0.0672119	0.0724403	0.109071	0.208301	0.47054
a23	0.347112	0.27548	0.161972	0.0925157	0.069145	0.0537759
a99	0.142772	0.111496	0.100038	0.122511	0.235755	0.287428
a97	0.024011	0.0186594	0.0228388	0.0608068	0.273721	0.599963
a30	0.0268499	0.0190666	0.0263351	0.0590714	0.214264	0.654413
</S>	0.127354	0.0911006	0.108649	0.120675	0.186139	0.366083
