 	dans	certains	villages	on	consomme	le	letsia	mais	nous	n'	en	mangeons	pas	</S>
a66	0.190594	0.140387	0.105302	0.0724074	0.0727118	0.0657149	0.0576458	0.0791482	0.0836178	0.0620796	0.0305332	0.0172378	0.0116255	0.0109943
a87	0.149785	0.0535365	0.0343869	0.0262724	0.0311822	0.0502553	0.0939145	0.120944	0.13555	0.113879	0.0682671	0.0505287	0.035345	0.0361528
a97	0.193364	0.0874038	0.0577376	0.0414534	0.0523567	0.0685813	0.105938	0.0838098	0.0909839	0.075901	0.046272	0.0368627	0.0278738	0.0314615
a40	0.14075	0.0808776	0.0639874	0.0591197	0.0875038	0.0936265	0.118561	0.0935642	0.092977	0.0629021	0.0335272	0.0238225	0.0220469	0.0267337
a36	0.237386	0.139107	0.107198	0.0604196	0.0616969	0.0554398	0.0426279	0.0386304	0.0530326	0.0447786	0.0410082	0.0376839	0.037065	0.0439255
a7	0.203586	0.199343	0.167006	0.104213	0.0706623	0.0393128	0.0215211	0.0202778	0.0253954	0.0238931	0.0319051	0.0364709	0.028092	0.0283207
a93	0.165385	0.144141	0.138335	0.111994	0.0920469	0.0539124	0.0327124	0.0308392	0.0321568	0.0309338	0.0394422	0.050946	0.0381748	0.038979
a94	0.121304	0.133693	0.153778	0.146542	0.128774	0.0789796	0.0470549	0.039972	0.0321937	0.0268415	0.0231838	0.0251995	0.020901	0.0215826
a75	0.0939583	0.106214	0.12904	0.154696	0.169295	0.10185	0.0597838	0.046992	0.0337444	0.0253952	0.0196046	0.0204658	0.0187019	0.0202582
a85	0.0607685	0.0829899	0.113963	0.144452	0.15343	0.118303	0.0865213	0.0699462	0.0418961	0.0318751	0.0236028	0.0233863	0.0231323	0.0257328
a92	0.0582188	0.0865289	0.122743	0.147669	0.133854	0.109593	0.0876753	0.0770456	0.0438213	0.0349605	0.0244717	0.0225143	0.0234937	0.0274108
a85	0.0567639	0.0713326	0.105762	0.129949	0.135555	0.118088	0.107102	0.0930865	0.0567523	0.0436973	0.0259581	0.0194028	0.0176851	0.0188659
a37	0.0374623	0.0628467	0.0922641	0.124367	0.131124	0.111579	0.0965567	0.0954455	0.0690327	0.0571657	0.0421974	0.0301174	0.0245479	0.0252941
a85	0.0191709	0.033618	0.058622	0.113099	0.160201	0.15948	0.134965	0.121754	0.0605206	0.0493414	0.0246802	0.0187036	0.0202957	0.0255483
a21	0.0118333	0.0238129	0.0421488	0.0850546	0.130612	0.134073	0.13127	0.124726	0.0799473	0.0722669	0.0515805	0.0387516	0.0346398	0.0392849
a61	0.0112339	0.0180854	0.0260455	0.0535143	0.0860241	0.111129	0.144475	0.163706	0.089203	0.096713	0.062389	0.0442425	0.0423257	0.050913
a18	0.00555483	0.0106173	0.0150938	0.040038	0.0811455	0.138627	0.193654	0.183773	0.0799912	0.0815778	0.0525635	0.0376972	0.0342897	0.0453771
a0	0.0068239	0.0092826	0.0147457	0.0290171	0.0604375	0.11993	0.189148	0.190011	0.0800319	0.0715572	0.0493529	0.0533041	0.0532686	0.0730893
a62	0.00727986	0.00863989	0.0152836	0.0310315	0.0678466	0.120033	0.152498	0.165228	0.0888641	0.0856052	0.0621262	0.063927	0.0580458	0.0735909
a21	0.00604183	0.00955514	0.0122591	0.0232382	0.0398928	0.0660139	0.101185	0.124639	0.0773473	0.0919884	0.097137	0.123628	0.107087	0.119988
a6	0.0032124	0.00549175	0.00707578	0.0171781	0.0340292	0.0576514	0.0829726	0.102218	0.0612252	0.0965192	0.118722	0.138394	0.130636	0.144675
a36	0.00193851	0.00405831	0.00545251	0.0153863	0.0333863	0.0562776	0.0861661	0.0982955	0.0494116	0.0738545	0.0872937	0.103736	0.148574	0.23617
a26	0.00638217	0.00853828	0.0114316	0.0241955	0.0494052	0.0891773	0.130661	0.100548	0.0422355	0.0482136	0.0598853	0.0953284	0.135012	0.198987
a57	0.0180363	0.0193918	0.0242647	0.0435196	0.0781502	0.107349	0.147707	0.112899	0.0494379	0.0492128	0.0468962	0.0709013	0.0942265	0.138008
a87	0.0298517	0.017241	0.0145035	0.0194722	0.0330082	0.0451623	0.0851286	0.106175	0.0893887	0.093245	0.0851244	0.117925	0.120725	0.143049
a23	0.0621121	0.0242953	0.014919	0.0129573	0.0149452	0.0248337	0.0643282	0.0859744	0.0984324	0.101091	0.105374	0.145222	0.122957	0.122559
a18	0.0162716	0.0059406	0.00372156	0.00357939	0.0041292	0.00854137	0.0280714	0.0545476	0.112311	0.153154	0.179986	0.184328	0.128812	0.116607
a75	0.00836396	0.00577844	0.00519906	0.00661116	0.00738833	0.0147781	0.0320446	0.0351521	0.0618198	0.084826	0.145633	0.214368	0.197932	0.180105
a6	0.00713431	0.00722382	0.00622086	0.00937426	0.00984301	0.0134375	0.0207152	0.0296524	0.0456645	0.0671384	0.116973	0.201723	0.19868	0.266219
a37	0.00278971	0.00283149	0.00334757	0.00531489	0.00708052	0.00942711	0.0117106	0.0158925	0.0292977	0.0468829	0.117178	0.252095	0.249292	0.24686
a43	0.00237825	0.00203686	0.00195901	0.00355374	0.00620186	0.00997438	0.0152345	0.0228838	0.0377647	0.0559843	0.113161	0.222738	0.250751	0.255379
a0	0.00165513	0.0013726	0.00119454	0.00233063	0.00477182	0.00904017	0.0170698	0.0271093	0.0404703	0.0581573	0.102134	0.199665	0.256652	0.278377
a62	0.00540576	0.00406265	0.0030942	0.00458599	0.00751096	0.0145702	0.0303767	0.0410104	0.0428309	0.056769	0.085213	0.146428	0.221553	0.33659
a88	0.00245707	0.00254382	0.00178246	0.00273295	0.00412197	0.00767014	0.0181468	0.0298182	0.0401203	0.0699347	0.121122	0.184296	0.226309	0.288945
a24	0.00137849	0.00155663	0.00123046	0.00214212	0.00370015	0.00668812	0.0154539	0.0248619	0.03317	0.0607868	0.112322	0.173625	0.240389	0.322695
a31	0.00187407	0.00218511	0.00163038	0.00290809	0.00459911	0.00788136	0.0185311	0.0276482	0.0295176	0.0519398	0.0902268	0.141628	0.23386	0.38557
a88	0.00136343	0.00124752	0.000953198	0.00148579	0.00234604	0.00421123	0.00973621	0.017534	0.0233243	0.047741	0.0984025	0.170153	0.251898	0.369605
a0	0.00137688	0.00140426	0.00113199	0.0020863	0.00377831	0.00669015	0.0158915	0.0236401	0.022665	0.0402852	0.0754278	0.133192	0.237452	0.434979
a75	0.00223519	0.00220931	0.00166078	0.00270315	0.0047706	0.00814374	0.0172308	0.0196985	0.016105	0.0256466	0.048088	0.095399	0.218369	0.53774
a56	0.000500417	0.000403081	0.000359074	0.000703513	0.00148679	0.00268145	0.00536331	0.00683722	0.00771412	0.015127	0.0434389	0.123431	0.274038	0.517916
a75	0.00054459	0.000492696	0.000379233	0.000743002	0.00165369	0.00306119	0.00713897	0.00864854	0.00761094	0.0128557	0.029571	0.0857304	0.230787	0.610783
a85	0.000338845	0.000310057	0.000371257	0.000744946	0.00171602	0.00340034	0.00663499	0.00739571	0.00606222	0.0111488	0.0324922	0.113976	0.271319	0.54409
