 	elle	fait	une	boule	de	manioc	</S>
a23	0.373523	0.226151	0.124106	0.123133	0.0737568	0.044073	0.0352571
a30	0.474775	0.216474	0.114129	0.0785124	0.0457894	0.0342349	0.0360849
a53	0.306048	0.183674	0.135399	0.095831	0.0732214	0.0799815	0.125847
a15	0.527201	0.189254	0.0992597	0.0621905	0.0469629	0.0355032	0.0396285
a47	0.406719	0.227155	0.156902	0.0801866	0.0584486	0.038319	0.0322697
a37	0.28568	0.193772	0.16462	0.109203	0.0927294	0.0784369	0.0755593
a61	0.256274	0.234351	0.207182	0.119333	0.0629752	0.057307	0.0625773
a66	0.212604	0.217951	0.220797	0.156075	0.0761054	0.0585899	0.0578777
a38	0.198671	0.218815	0.216261	0.161516	0.0745664	0.0638798	0.066291
a62	0.183391	0.215848	0.213867	0.166484	0.0805098	0.0688732	0.0710269
a56	0.134969	0.160916	0.190015	0.208501	0.127134	0.094568	0.0838974
a93	0.075785	0.105348	0.159862	0.225477	0.169893	0.138234	0.125401
a70	0.0868697	0.104254	0.139122	0.197975	0.176942	0.153648	0.141189
a90	0.038057	0.0473566	0.0691442	0.142783	0.212441	0.244769	0.245449
a56	0.0400042	0.0438117	0.0706403	0.138903	0.193785	0.249968	0.262888
a75	0.0208658	0.025255	0.0407663	0.0834199	0.186949	0.299369	0.343374
a18	0.0247501	0.0281648	0.0445	0.0708864	0.13715	0.273001	0.421547
a27	0.00251831	0.00234762	0.00377221	0.010189	0.0599545	0.247781	0.673437
a90	0.0122248	0.00752866	0.00787755	0.0141695	0.0731101	0.280859	0.60423
a25	0.0274787	0.011796	0.0100325	0.0148583	0.0847747	0.293712	0.557348
a69	0.0441159	0.0255293	0.0211095	0.0274778	0.123188	0.301771	0.456809
a58	0.00366086	0.00199153	0.00251195	0.00615838	0.0599783	0.2984	0.627299
a82	0.00159502	0.00112646	0.00196805	0.00577904	0.0640177	0.311471	0.614043
a87	0.03083	0.0175951	0.0154544	0.0211126	0.0956236	0.308772	0.510612
a23	0.202294	0.116649	0.0685968	0.0606262	0.136189	0.204328	0.211317
a87	0.0783748	0.0444398	0.0330741	0.0302782	0.136924	0.312863	0.364046
</S>	0.0331584	0.0241143	0.0231517	0.0246489	0.102883	0.300493	0.491551
