 	mon	mal	de	ventre	a	repris	</S>
a66	0.226948	0.215794	0.202563	0.175068	0.108949	0.0501197	0.0205579
a87	0.375269	0.187508	0.135234	0.131074	0.110465	0.0488295	0.0116216
a23	0.44352	0.248474	0.138136	0.0958848	0.0463856	0.0204093	0.0071905
a99	0.439121	0.260669	0.14029	0.0806834	0.0352121	0.0266053	0.0174198
a83	0.310265	0.192267	0.15611	0.157227	0.100488	0.055783	0.027861
a50	0.23941	0.186838	0.16784	0.187336	0.137495	0.0613745	0.0197061
a88	0.154315	0.150109	0.191177	0.232353	0.168488	0.0835754	0.0199816
a43	0.1249	0.12554	0.174134	0.228826	0.189203	0.12419	0.0332072
a11	0.10336	0.114197	0.149893	0.199801	0.193169	0.182474	0.0571061
a96	0.118964	0.130527	0.152473	0.172477	0.176605	0.18681	0.0621434
a11	0.112956	0.131691	0.180192	0.199201	0.169054	0.150528	0.0563788
a94	0.0963505	0.109319	0.150351	0.167137	0.171765	0.205713	0.0993648
a11	0.0919616	0.0970078	0.124927	0.128008	0.164661	0.222711	0.170723
a62	0.0448603	0.0439969	0.0467462	0.0525356	0.122016	0.295971	0.393874
a47	0.0346642	0.0311227	0.0338134	0.0409358	0.118642	0.277791	0.463031
a62	0.0279798	0.0284201	0.0314383	0.0399008	0.124434	0.289238	0.458588
a75	0.014118	0.0107853	0.00988843	0.0126606	0.0590337	0.197832	0.695682
a6	0.00527957	0.00460767	0.00558405	0.0084158	0.0477766	0.199416	0.728921
a37	0.00346464	0.00277038	0.00316274	0.00466744	0.030372	0.147754	0.807809
a27	0.0066983	0.00508435	0.00383435	0.00521458	0.0253527	0.113907	0.839909
a30	0.10669	0.0827529	0.0805839	0.0945277	0.10573	0.159448	0.370268
a57	0.243838	0.146194	0.117894	0.0935787	0.0753848	0.101113	0.221998
a87	0.263897	0.139418	0.0898976	0.0634813	0.0575174	0.101054	0.284735
a23	0.273317	0.152456	0.101806	0.0713672	0.0707935	0.104099	0.226161
a87	0.205338	0.144399	0.106419	0.0713298	0.0793649	0.113146	0.280004
a23	0.113591	0.0734468	0.058819	0.0493617	0.0790582	0.150772	0.474951
</S>	0.186722	0.155068	0.125441	0.0862995	0.087428	0.108412	0.25063
