 	il	fume	trop	de	chanvre	voilà	pourquoi	ses	yeux	sont	devenus	ternes	</S>
a66	0.203046	0.0918856	0.0427373	0.0363892	0.0507602	0.0688194	0.0618893	0.0718116	0.0705262	0.0615695	0.0605929	0.0797255	0.100247
a97	0.214045	0.102206	0.0761353	0.0464324	0.0340251	0.0432174	0.0567274	0.0693366	0.0601311	0.055126	0.058563	0.0903938	0.0936614
a87	0.409372	0.246597	0.133695	0.0470254	0.0189543	0.0178161	0.0169844	0.0215229	0.0181075	0.01606	0.0134715	0.0231444	0.017249
a23	0.304406	0.237956	0.154429	0.0667533	0.0247218	0.0244991	0.0243926	0.0316702	0.0283528	0.0264266	0.0242024	0.0355716	0.0166183
a87	0.188485	0.203622	0.137093	0.105711	0.0680228	0.0514063	0.0409006	0.0506592	0.0445588	0.0361365	0.0261981	0.0325284	0.0146782
a23	0.266946	0.257578	0.146579	0.0808737	0.0405963	0.0307493	0.025538	0.033571	0.0294509	0.0239838	0.0196446	0.0275095	0.0169799
a87	0.260923	0.252136	0.148796	0.0882914	0.0446433	0.0320821	0.0253039	0.0364745	0.0337627	0.027045	0.0179825	0.0193275	0.013232
a97	0.263525	0.253507	0.139395	0.0768987	0.0452473	0.0335141	0.0279745	0.0382386	0.0368922	0.0289027	0.0190525	0.0214852	0.0153669
a82	0.234424	0.241162	0.125405	0.0600466	0.0431739	0.0369601	0.0310999	0.0408464	0.0429716	0.042261	0.0318928	0.0421157	0.0276408
a97	0.215501	0.206682	0.101031	0.0461324	0.0381686	0.0379112	0.0348103	0.0476476	0.0538201	0.057544	0.0450442	0.0669454	0.0487614
a26	0.227284	0.203022	0.103149	0.0439969	0.0378893	0.0369345	0.0337834	0.0449	0.055301	0.0581338	0.045814	0.0634837	0.0463095
a3	0.230229	0.215174	0.117271	0.052018	0.0336279	0.0302974	0.0280354	0.0471926	0.0531757	0.0599228	0.040141	0.0547225	0.038193
a30	0.241072	0.193578	0.0903724	0.0382796	0.0363414	0.0345327	0.0323201	0.0502102	0.0635554	0.0684562	0.0476541	0.0664642	0.0371638
a53	0.224557	0.198572	0.102869	0.0445974	0.0352209	0.0320398	0.0304822	0.0567267	0.0641694	0.0683485	0.0457726	0.0619761	0.0346682
a69	0.228355	0.34077	0.186237	0.0574093	0.0298278	0.0228864	0.0162961	0.0215324	0.0247308	0.0251785	0.0187571	0.0154799	0.0125393
