 	c'	est	un	brave	homme	</S>
a23	0.233526	0.157139	0.173045	0.17146	0.116813	0.148017
a85	0.274786	0.185459	0.180188	0.144501	0.0959271	0.119139
a87	0.359483	0.208913	0.135394	0.098175	0.0817229	0.116312
a23	0.404604	0.223554	0.180958	0.0948737	0.0470527	0.0489578
a87	0.266185	0.151855	0.141861	0.111226	0.112401	0.216472
a23	0.286033	0.222675	0.213636	0.132471	0.0668084	0.0783776
a40	0.230643	0.132786	0.146701	0.159224	0.123766	0.206881
a30	0.387123	0.201426	0.156263	0.143689	0.0570529	0.0544466
a26	0.335657	0.255	0.203764	0.138851	0.0444877	0.0222405
a35	0.26824	0.213912	0.196959	0.194826	0.0779581	0.0481041
a75	0.258375	0.220795	0.204478	0.171623	0.0864112	0.0583184
a14	0.244444	0.225139	0.203567	0.173133	0.0965404	0.0571763
a35	0.191	0.174708	0.164461	0.20517	0.160911	0.103749
a26	0.150242	0.147704	0.154616	0.196265	0.186998	0.164175
a24	0.0999154	0.111818	0.133246	0.197006	0.213927	0.244087
a71	0.058555	0.0639195	0.0809774	0.184485	0.272642	0.339421
a75	0.0416928	0.0493866	0.0713549	0.169004	0.236081	0.432481
a14	0.00981383	0.0112741	0.0206233	0.111004	0.282015	0.56527
a30	0.0101892	0.0116579	0.0232452	0.115979	0.305695	0.533234
a2	0.00697855	0.00867291	0.0196134	0.0844968	0.238588	0.64165
a57	0.0140217	0.0145039	0.0232277	0.0710454	0.200973	0.676229
a87	0.0310929	0.0269841	0.0430237	0.133591	0.230912	0.534397
</S>	0.0179503	0.0267063	0.0607314	0.171716	0.279677	0.443219
