 	les	enseignants	n'	ont	pas	fait	cours	aujoud'	hui	parce	que	les	murs	de	l'	école	sont	devenus	penchés	</S>
a23	0.363858	0.0298551	0.0340344	0.0415208	0.0407866	0.0511422	0.0528564	0.0419283	0.0340573	0.0317158	0.0304901	0.0324625	0.0539866	0.0339184	0.0317368	0.0249341	0.0218241	0.0196491	0.0156221	0.0136212
a87	0.351598	0.100803	0.0826771	0.0471785	0.0230239	0.020912	0.0224555	0.0154495	0.0189996	0.0192064	0.0189871	0.0211229	0.0254156	0.0266728	0.0289607	0.0375261	0.034439	0.043145	0.0270074	0.03442
a40	0.11766	0.0685353	0.0683142	0.0538952	0.0405159	0.0348351	0.0448828	0.0277622	0.0329975	0.0341838	0.0340031	0.0340235	0.0392321	0.0470784	0.053008	0.0601166	0.0599205	0.0717077	0.0430201	0.0343076
a36	0.636195	0.0903316	0.0328282	0.0201937	0.0162922	0.0182972	0.0186136	0.016343	0.0156709	0.012725	0.0107444	0.0124442	0.0118097	0.0103207	0.0127918	0.0140497	0.0118761	0.0148215	0.0106674	0.0129845
a24	0.623447	0.103067	0.0707367	0.0354696	0.0155993	0.01373	0.0115466	0.0098315	0.0108424	0.00845264	0.00706673	0.00862562	0.0116484	0.0102395	0.0127641	0.0135345	0.0110486	0.0108096	0.0053324	0.00620784
a31	0.55746	0.245145	0.0761744	0.0287542	0.0108902	0.00780625	0.00986803	0.00700176	0.00508574	0.00472044	0.00379274	0.00362843	0.00435232	0.00400784	0.00524577	0.0061946	0.00594533	0.00540578	0.00463199	0.00388836
a12	0.417352	0.282155	0.109993	0.0427649	0.0190968	0.0128715	0.0181609	0.0126269	0.00942422	0.00813216	0.00627726	0.00566145	0.00616048	0.00561834	0.00680394	0.00757517	0.00770225	0.00670424	0.00725609	0.00766372
a0	0.218659	0.225693	0.127138	0.0606488	0.0414114	0.032544	0.050109	0.0382405	0.0300982	0.0244983	0.0199869	0.0174979	0.0178305	0.0152014	0.0154185	0.0139266	0.0138832	0.011161	0.0127676	0.0132863
a21	0.0840963	0.118089	0.126067	0.089495	0.0738022	0.0576123	0.0858903	0.0637248	0.0492184	0.0403394	0.0332156	0.0289519	0.0274772	0.0230137	0.0220398	0.0184256	0.0177808	0.0137114	0.0144906	0.0125589
a85	0.127731	0.101422	0.128109	0.101903	0.0827415	0.0726834	0.0987191	0.0708165	0.0479949	0.0338947	0.0277646	0.0235862	0.0194218	0.0133503	0.0125211	0.00889262	0.00741573	0.00595667	0.00725979	0.00781554
a5	0.0587427	0.0734802	0.115689	0.0966888	0.0942019	0.0801139	0.0973438	0.0841116	0.057138	0.0406514	0.0331518	0.0277399	0.0249181	0.0201462	0.020603	0.0161338	0.0154394	0.0126369	0.0154962	0.0155735
a18	0.0475915	0.0610402	0.0889851	0.0972787	0.105642	0.0928281	0.103112	0.0860507	0.065355	0.0435404	0.0384495	0.0324642	0.0281103	0.0198092	0.0199446	0.0146303	0.0134021	0.0109101	0.0148521	0.0160037
a24	0.0229862	0.0449818	0.108177	0.121669	0.112	0.0909336	0.10316	0.0857115	0.0628936	0.0430051	0.0382694	0.0307256	0.0285066	0.0187751	0.0184983	0.0140119	0.0123809	0.00967343	0.0157568	0.0178842
a0	0.0276489	0.0502501	0.105611	0.136305	0.115756	0.0978627	0.105195	0.0780351	0.0590752	0.043489	0.0387801	0.0295384	0.0260672	0.0155701	0.014863	0.0115184	0.0101935	0.00811951	0.0120837	0.0140382
a96	0.0232818	0.0442929	0.0874745	0.118996	0.114016	0.102524	0.110064	0.088107	0.0668708	0.0511393	0.0444618	0.0327489	0.0280209	0.0166227	0.0146233	0.0108704	0.00960433	0.00785359	0.0128731	0.0155549
a98	0.028727	0.0389687	0.0616219	0.0909816	0.103101	0.102066	0.108503	0.0926453	0.0773976	0.0625788	0.0558948	0.0408565	0.0323068	0.0178284	0.0158843	0.0120054	0.0109842	0.00907906	0.016583	0.0219862
a7	0.0312691	0.0348062	0.0579749	0.0697581	0.0866352	0.0924118	0.0911358	0.0989063	0.0807694	0.0645105	0.0574342	0.0453666	0.0347584	0.0209071	0.0201792	0.0157972	0.015403	0.0137238	0.0297317	0.0385214
a2	0.0136703	0.015338	0.0301318	0.0452	0.0818535	0.0965577	0.0993134	0.115647	0.101155	0.0763258	0.0663315	0.0470394	0.0350355	0.0230942	0.0209311	0.0155363	0.0165326	0.0148873	0.0402717	0.0451478
a98	0.0061532	0.0128164	0.0262031	0.0304519	0.0615239	0.0923362	0.100007	0.115984	0.13918	0.113956	0.0913643	0.062271	0.03195	0.0197094	0.0123597	0.00731546	0.00741717	0.00706167	0.0204016	0.0415379
a44	0.00969259	0.00708408	0.0137096	0.0167322	0.0352114	0.0563262	0.0611606	0.0893783	0.140665	0.105564	0.104424	0.0800768	0.0498476	0.0319519	0.0263322	0.0185771	0.0206342	0.0198983	0.0508539	0.0618804
a90	0.0108716	0.00879672	0.0204991	0.0333956	0.0666297	0.0849527	0.0809889	0.0856586	0.10137	0.0747349	0.0702007	0.058302	0.043307	0.0313019	0.0278059	0.0205808	0.0235659	0.0216553	0.0609199	0.074463
a58	0.00721643	0.00580732	0.0156231	0.0225081	0.0435345	0.0598143	0.0593483	0.0689238	0.0994655	0.0713353	0.0712153	0.0613364	0.0488663	0.03983	0.0315486	0.0219943	0.0296833	0.0317513	0.0937651	0.116433
a11	0.00733784	0.00665586	0.016284	0.0269116	0.0666956	0.0931903	0.089458	0.0919525	0.110414	0.0766407	0.0712556	0.058097	0.0411643	0.0306224	0.0249244	0.0161687	0.0188213	0.017663	0.0583243	0.0774181
a75	0.00785323	0.00676807	0.015235	0.0234965	0.0533574	0.0816103	0.0761011	0.0754092	0.10083	0.0876984	0.0801603	0.0617182	0.0418764	0.031381	0.0231743	0.0167016	0.0197362	0.020096	0.0694804	0.107317
a41	0.00632262	0.00591442	0.0156059	0.0283593	0.0643455	0.0880131	0.0782696	0.0732965	0.0964917	0.0689807	0.0710633	0.0644151	0.0476131	0.0372319	0.029886	0.0202494	0.0259372	0.0264113	0.0672633	0.08433
a27	0.00796975	0.00681811	0.0206448	0.0334972	0.0716195	0.103	0.0742188	0.0751068	0.10393	0.0676488	0.0685115	0.0677164	0.049793	0.0379738	0.0284426	0.0167359	0.0192144	0.0200026	0.0461616	0.0809945
a40	0.00667169	0.00806851	0.019221	0.024293	0.0493488	0.0779478	0.067602	0.076559	0.105573	0.0825851	0.075256	0.0607758	0.0369295	0.0272967	0.0198777	0.0140607	0.0161337	0.0179543	0.0670111	0.146834
a75	0.0115623	0.0082918	0.0222752	0.0297528	0.0503457	0.0622887	0.0554747	0.0576704	0.0873605	0.0648296	0.0685313	0.065997	0.0482236	0.0399884	0.0300809	0.0215275	0.0267628	0.0322469	0.0765024	0.140287
a47	0.00807483	0.00582939	0.0210194	0.032964	0.0627425	0.0767299	0.0604972	0.0604921	0.0896476	0.0635272	0.0647829	0.0642124	0.0544457	0.0462036	0.0319778	0.0200061	0.0244205	0.0298055	0.0638968	0.118725
a7	0.0152508	0.0132317	0.0332782	0.0466031	0.0738733	0.0965174	0.0671879	0.065274	0.094215	0.0654476	0.066857	0.0641028	0.0480339	0.0307773	0.0228465	0.0153448	0.0155592	0.0184983	0.0435242	0.103577
a2	0.0136304	0.0164417	0.035114	0.0380155	0.0535698	0.0748815	0.0514674	0.0547977	0.091914	0.0704311	0.0711985	0.0655506	0.0425295	0.0310912	0.0227916	0.0172476	0.0175448	0.0236406	0.0603661	0.147776
a57	0.00962551	0.00938584	0.0170734	0.0159689	0.0240261	0.0404899	0.0354683	0.0446236	0.0838637	0.0828434	0.078571	0.0609072	0.0327249	0.0324086	0.0222955	0.0200176	0.0218404	0.027805	0.0926849	0.247376
a87	0.00704413	0.00804721	0.017125	0.0153735	0.0228939	0.0415155	0.032182	0.0369039	0.0617812	0.07013	0.0677316	0.063609	0.0471655	0.0563664	0.0395036	0.0359467	0.0372274	0.0459663	0.098329	0.195158
a23	0.0458369	0.0286925	0.0339326	0.020598	0.0215659	0.0238738	0.0187909	0.0219983	0.0255428	0.0347592	0.0294815	0.0424671	0.0600892	0.0762332	0.0804625	0.0918658	0.0695251	0.0972938	0.0620275	0.114963
a24	0.00163352	0.00322216	0.0107258	0.0112811	0.015514	0.01621	0.0110335	0.00773283	0.0112418	0.0160683	0.0168786	0.0279895	0.0503368	0.0768431	0.0878964	0.113651	0.105036	0.173728	0.0789519	0.164026
a83	0.000879435	0.00163607	0.00921847	0.011523	0.0205446	0.0216918	0.0227832	0.0248856	0.0263853	0.0237452	0.0194363	0.0215706	0.0221412	0.0408988	0.0479179	0.0505291	0.060633	0.0884504	0.165123	0.320007
a75	0.00382225	0.0036778	0.015844	0.0222496	0.032242	0.0294333	0.0330879	0.031421	0.0304646	0.0291169	0.025257	0.0247835	0.0272776	0.0397463	0.0558897	0.0693129	0.0744959	0.0887012	0.144791	0.218385
a5	0.00753521	0.00484294	0.0181868	0.0345429	0.0662881	0.0700136	0.0749842	0.0671084	0.0615322	0.0567009	0.0460643	0.0413358	0.0388816	0.0358417	0.0389355	0.037917	0.0406363	0.0508275	0.0783504	0.129475
a61	0.00482545	0.00377558	0.00886959	0.0140848	0.030499	0.0389322	0.0424761	0.042475	0.0465829	0.0434719	0.0394435	0.0332274	0.0347598	0.0376373	0.0439002	0.0490102	0.0613291	0.0773451	0.13664	0.210715
a70	0.00559325	0.00562461	0.0107997	0.0144862	0.0284079	0.0387426	0.0407022	0.0430808	0.0489059	0.045938	0.0431475	0.0362861	0.0356813	0.0385448	0.0411467	0.0455675	0.0596746	0.0763462	0.141882	0.199442
a61	0.00203635	0.00483575	0.0129135	0.0176825	0.0311076	0.0434982	0.0426917	0.0434541	0.0493489	0.0457793	0.0432281	0.039399	0.0334301	0.0369787	0.0362837	0.0385331	0.0492952	0.0629018	0.126703	0.239899
a21	0.00307113	0.00470513	0.00968391	0.0126792	0.0259859	0.0370436	0.0401259	0.0473548	0.0528685	0.0473482	0.0443428	0.037515	0.035359	0.0414857	0.0401081	0.0419178	0.0584732	0.0754581	0.141858	0.202616
a5	0.00507079	0.00751525	0.0133942	0.0164576	0.0301608	0.0427734	0.0488843	0.0623176	0.0661679	0.0560653	0.0478938	0.0376227	0.0351867	0.0385496	0.0373606	0.038416	0.0502373	0.0640279	0.124085	0.177813
a21	0.00194457	0.00371109	0.00911885	0.0118531	0.0224823	0.0342877	0.0351029	0.0426282	0.0502831	0.0438699	0.0400402	0.0326532	0.0286383	0.0368161	0.030769	0.0299711	0.0432463	0.0638377	0.158546	0.2802
a37	0.00326186	0.00570593	0.0119398	0.0152692	0.030711	0.0442555	0.0481413	0.0629051	0.0680556	0.0597742	0.0519561	0.0430349	0.0391805	0.043244	0.0388103	0.0370193	0.0487206	0.0641814	0.121797	0.162037
a27	0.00159826	0.00405191	0.0105052	0.0134303	0.0267149	0.0405266	0.0413712	0.0480003	0.0540715	0.0484381	0.0446033	0.0382903	0.0323104	0.0429132	0.0345212	0.0325162	0.0455975	0.0680464	0.140843	0.23165
a53	0.000600064	0.00146529	0.00395055	0.00436297	0.00726368	0.0112766	0.0103284	0.012327	0.0158419	0.0177543	0.0182244	0.0190043	0.0165741	0.0314102	0.0233918	0.0254075	0.0424987	0.0787864	0.231981	0.427551
a90	0.000326163	0.00134878	0.00412979	0.00574542	0.0136857	0.02066	0.0230949	0.0267677	0.0363287	0.0322212	0.0287152	0.025321	0.0224513	0.031218	0.0263253	0.024449	0.0362782	0.063683	0.181337	0.395913
a25	0.000448681	0.00159033	0.00565019	0.00793568	0.0203319	0.0293829	0.0333744	0.0405088	0.0526001	0.0450936	0.0416322	0.0363348	0.0318754	0.0414046	0.0310407	0.0254164	0.0386624	0.0636291	0.16905	0.284038
a56	0.000633419	0.00163452	0.00556995	0.00674202	0.0172038	0.0262854	0.0292811	0.0374422	0.0525296	0.0440467	0.0434971	0.0405306	0.0274291	0.0336773	0.0242604	0.0202047	0.0323868	0.0612745	0.177334	0.318036
a75	0.000443096	0.00144373	0.00499652	0.00664904	0.0158495	0.0237322	0.0241671	0.0273618	0.0389534	0.0364248	0.0346081	0.0330108	0.0263973	0.0358584	0.027903	0.0249272	0.0389044	0.0716919	0.192541	0.334136
a66	0.000501897	0.00139854	0.00561703	0.0089174	0.0217658	0.0294191	0.0304481	0.0344183	0.0506838	0.0450059	0.0434337	0.0386885	0.035401	0.0446588	0.0338722	0.0292714	0.0434642	0.0748664	0.17289	0.255278
a61	0.00027274	0.00068696	0.00181527	0.00183159	0.00333932	0.00487942	0.00420888	0.0038933	0.00657628	0.0073141	0.00787377	0.00900446	0.00637969	0.012258	0.00965283	0.0111432	0.0196103	0.0446152	0.214759	0.629886
a88	0.000268913	0.00097041	0.00299571	0.00346692	0.006795	0.00945943	0.00811394	0.00700585	0.0111501	0.0124714	0.0139337	0.0153936	0.0132914	0.0219099	0.0181607	0.0203382	0.0324202	0.0674538	0.217432	0.516969
a71	0.00031284	0.000932579	0.00351926	0.00387745	0.00668662	0.00844366	0.00715647	0.0062938	0.0100989	0.0111714	0.0124573	0.0146677	0.0113935	0.0192718	0.0158095	0.0167914	0.0250938	0.0504413	0.203417	0.572164
a93	0.00161133	0.00125826	0.00391955	0.00368586	0.00577096	0.00921289	0.00832209	0.0110126	0.0197721	0.0263453	0.0273414	0.028618	0.0219756	0.035113	0.0249083	0.0234669	0.0354215	0.0671713	0.236159	0.408914
a70	6.00343e-05	0.000156406	0.000591384	0.000742341	0.00197723	0.00345186	0.00342967	0.00371424	0.00660085	0.00747525	0.00815046	0.0090133	0.00759191	0.0151268	0.0114273	0.0126425	0.0251615	0.0514379	0.228222	0.603027
