 	avant	de	rentrer	à	la	maison	le	pêcheur	a	mangé	une	partie	de	son	butin	</S>
a66	0.142997	0.121825	0.125136	0.0814957	0.0783119	0.0710926	0.086452	0.0952181	0.0588112	0.048644	0.03415	0.0223946	0.0133234	0.00781929	0.00640196	0.00592747
a87	0.326381	0.210075	0.16642	0.0953882	0.0491168	0.0357106	0.0290432	0.0234172	0.0171083	0.0131729	0.00802622	0.00575695	0.00439918	0.00425492	0.00462049	0.00710831
a23	0.302102	0.208874	0.161567	0.121244	0.0638286	0.0453328	0.0313077	0.0227582	0.0121585	0.00845826	0.00521573	0.00353101	0.00254427	0.0027651	0.00298133	0.00533241
a79	0.250941	0.170157	0.136121	0.0972101	0.0600547	0.0500011	0.0382705	0.0345397	0.0292031	0.022212	0.0175125	0.0147716	0.0127574	0.014304	0.017828	0.0341168
a13	0.147813	0.10389	0.0946614	0.0855256	0.0783828	0.0843694	0.0710741	0.068192	0.0583259	0.0389142	0.0281337	0.0228789	0.0194955	0.022676	0.0279671	0.0477002
a30	0.153903	0.144102	0.145416	0.117978	0.0967569	0.0716912	0.0570163	0.0459567	0.039377	0.0286265	0.0191725	0.0145012	0.0122778	0.0137766	0.015495	0.0239546
a4	0.185259	0.146598	0.14711	0.109224	0.0831209	0.0583513	0.0484834	0.0397412	0.0383329	0.0296002	0.0224654	0.0182236	0.0154054	0.0152281	0.0171641	0.0256917
a11	0.105702	0.116257	0.136414	0.151648	0.11809	0.0678828	0.0482818	0.034061	0.0352021	0.0299304	0.0256144	0.0249081	0.0218985	0.0230573	0.0261195	0.0349326
a56	0.0578771	0.0712074	0.0926321	0.148119	0.139086	0.108279	0.074774	0.0498014	0.0505294	0.0450972	0.0341465	0.0291396	0.0235215	0.0238118	0.0221022	0.029876
a96	0.0557892	0.0742252	0.0953078	0.152421	0.148251	0.113939	0.0864512	0.0553766	0.0449544	0.0386759	0.0275444	0.0236183	0.0193006	0.0202859	0.0186883	0.0251724
a94	0.0413829	0.0527006	0.0653982	0.120776	0.15326	0.149244	0.116384	0.0710409	0.0583145	0.0479126	0.028296	0.0211888	0.0171774	0.0178126	0.0163173	0.0227945
a31	0.0279269	0.0351658	0.0462776	0.0896944	0.145591	0.167672	0.128657	0.0738046	0.064272	0.0525064	0.032965	0.0261454	0.0226825	0.0258464	0.0254758	0.0353162
a88	0.0264271	0.0341859	0.0475275	0.0797413	0.12719	0.150163	0.124452	0.0868521	0.0747859	0.0631799	0.0448514	0.0344711	0.0274802	0.0260254	0.0233054	0.0293615
a90	0.0167532	0.0200438	0.0262105	0.0469206	0.101536	0.175089	0.157141	0.102391	0.0972605	0.0777997	0.046488	0.0308484	0.0233352	0.0233242	0.0215846	0.033274
a75	0.0107211	0.014307	0.0219646	0.0417677	0.088422	0.149857	0.141201	0.0952434	0.101045	0.0846865	0.0577871	0.0440273	0.0329706	0.0348342	0.034992	0.0461728
a92	0.00463207	0.0061192	0.0105369	0.0206084	0.0439058	0.0850337	0.102263	0.0893604	0.117784	0.09965	0.085922	0.0781543	0.0604607	0.0585378	0.0617537	0.0752782
a85	0.00609473	0.00742727	0.0125146	0.0211692	0.043751	0.081102	0.106124	0.0956686	0.117672	0.0941356	0.0828307	0.0783195	0.0619855	0.0589136	0.0635225	0.0687694
a6	0.00441492	0.00574583	0.0102711	0.0190106	0.0383521	0.0755715	0.10204	0.0896712	0.111459	0.0927078	0.0847094	0.0821193	0.0693268	0.0674889	0.0719153	0.0751964
a37	0.00570727	0.00656026	0.00998924	0.0134966	0.0274037	0.0548352	0.0822899	0.10215	0.121207	0.0967773	0.0899317	0.0859485	0.0680434	0.0651395	0.0780732	0.0924479
a21	0.00570818	0.00643302	0.00805156	0.00986929	0.0170313	0.0348439	0.0637006	0.110535	0.144203	0.117724	0.104104	0.085473	0.0598012	0.0573188	0.0732509	0.101951
a47	0.00393594	0.00432587	0.00470019	0.00538237	0.00892187	0.0199184	0.0370556	0.076451	0.112695	0.0963864	0.10045	0.100588	0.0815448	0.0844674	0.114869	0.148308
a62	0.00541296	0.00687005	0.00856471	0.0116563	0.0169161	0.0320216	0.0510777	0.0881504	0.14515	0.118037	0.101594	0.082058	0.0592492	0.0618435	0.0853845	0.126014
a88	0.00536607	0.00691253	0.00869363	0.0117749	0.0165573	0.0279376	0.0389611	0.0614565	0.124551	0.107559	0.103242	0.0883564	0.0671779	0.0682913	0.0917213	0.17144
a71	0.00350969	0.00434471	0.00550395	0.00713876	0.010509	0.0193909	0.0295113	0.0548988	0.116974	0.107094	0.112509	0.106741	0.0942203	0.0869818	0.0923554	0.148317
a9	0.0102802	0.0114867	0.0148199	0.0160887	0.0223886	0.0298904	0.0477675	0.089894	0.129773	0.114694	0.107325	0.0913765	0.0770865	0.063359	0.0652103	0.108559
