 	l'	amour	de	la	patrie	est	plus	fort	de	celui	de	la	femme	</S>
a66	0.195492	0.178479	0.143066	0.131693	0.117276	0.0778254	0.0307667	0.0281278	0.0286849	0.0207165	0.0171942	0.0125209	0.00921141	0.00894693
a87	0.303279	0.205915	0.152226	0.126153	0.0967995	0.0611628	0.0102189	0.0100021	0.00987394	0.00837661	0.00588389	0.0036543	0.00324399	0.00321147
a23	0.25919	0.225819	0.173607	0.130079	0.0845994	0.0642477	0.021985	0.01384	0.00833659	0.00511431	0.00342635	0.00288603	0.00324855	0.00362035
a61	0.203885	0.150149	0.153466	0.143834	0.125928	0.0668944	0.0255818	0.0230152	0.0181691	0.0172002	0.0169952	0.0163249	0.0185546	0.0200031
a12	0.160439	0.0747444	0.0676908	0.0701804	0.0881613	0.0450976	0.0467577	0.0655129	0.0696406	0.0681729	0.0613656	0.0555896	0.0621509	0.0644965
a43	0.207058	0.151323	0.144749	0.143317	0.130426	0.0579134	0.0377044	0.0417475	0.0280524	0.0166569	0.0121261	0.00990703	0.00927051	0.00974884
a75	0.0972379	0.110327	0.188049	0.200446	0.185652	0.0947604	0.0443858	0.036658	0.0169932	0.00758256	0.00503513	0.00443725	0.00406351	0.00437222
a25	0.100206	0.131162	0.177477	0.174878	0.114604	0.0763613	0.0554658	0.0662946	0.0478032	0.0220438	0.0127934	0.00854972	0.00605772	0.00630443
a92	0.0434252	0.0664606	0.0985286	0.0931473	0.0737991	0.0935739	0.123743	0.152808	0.113815	0.0617728	0.0334786	0.0184439	0.0128143	0.0141904
a98	0.04432	0.051736	0.0684882	0.0693171	0.0596636	0.0857328	0.122261	0.151005	0.126089	0.0876266	0.0580829	0.0303338	0.0217565	0.0235867
a15	0.0219027	0.0200577	0.0236584	0.0279812	0.0380545	0.072928	0.142662	0.198895	0.166876	0.108296	0.0724644	0.0402263	0.0312854	0.034712
a7	0.0112391	0.00790485	0.00924456	0.0129246	0.0204215	0.0490951	0.1173	0.179787	0.173902	0.135445	0.105864	0.0676593	0.0544153	0.0547977
a93	0.0130674	0.0102511	0.0119551	0.0130673	0.0181559	0.0335494	0.0706674	0.118515	0.140467	0.134596	0.112217	0.0847768	0.104196	0.134518
a56	0.0163911	0.0150125	0.0170033	0.0195604	0.0200173	0.0375272	0.0709467	0.119014	0.154416	0.149645	0.119713	0.0759182	0.0816714	0.103164
a62	0.0072426	0.00662842	0.00698694	0.00855266	0.00701161	0.0131779	0.0249562	0.0465433	0.0959495	0.189398	0.208829	0.123456	0.116911	0.144357
a88	0.010293	0.00768673	0.0103589	0.0136829	0.00904989	0.0161773	0.0259817	0.0354807	0.0568749	0.133594	0.190994	0.135886	0.149584	0.204356
a34	0.00879871	0.00896708	0.0140381	0.0159849	0.00991612	0.0204214	0.0264293	0.0324011	0.0355954	0.0647359	0.104129	0.134846	0.217632	0.306105
a47	0.00419503	0.00383787	0.00389569	0.00459045	0.00281854	0.0049459	0.00777795	0.0129262	0.0265298	0.0743014	0.165544	0.207882	0.232483	0.248273
a62	0.00360374	0.00228124	0.00314456	0.00460429	0.00228005	0.00485695	0.00890472	0.013722	0.0232792	0.0571084	0.11673	0.166293	0.26841	0.324782
a75	0.00169927	0.00124009	0.00159333	0.00201042	0.00101427	0.00181063	0.0030506	0.00449261	0.00785703	0.0222208	0.0632936	0.142767	0.310277	0.436673
a85	0.000252734	0.000167723	0.000177561	0.000242954	0.000177111	0.000483395	0.000878658	0.00157849	0.00516126	0.0226882	0.0836255	0.166336	0.331548	0.386682
a92	6.42762e-05	4.52014e-05	7.10542e-05	0.0001071	7.39258e-05	0.000231885	0.000482241	0.0008718	0.00243883	0.0106654	0.0442367	0.109621	0.317603	0.513487
a56	6.06326e-05	4.45165e-05	5.49176e-05	6.88823e-05	4.93872e-05	0.000266856	0.000710334	0.00164158	0.00573127	0.0252428	0.0750331	0.138083	0.317825	0.435188
a92	0.000193094	0.000130603	0.000161797	0.000223685	0.000162639	0.0011132	0.00271344	0.00446522	0.0103261	0.0295249	0.074333	0.148052	0.319304	0.409296
a0	0.000179538	0.000139063	0.000165844	0.000193888	0.00013505	0.000917951	0.00230603	0.00391558	0.00952317	0.0294565	0.0723367	0.131545	0.300552	0.448634
a43	0.000303468	0.000298101	0.000274739	0.000268274	0.000208205	0.00220321	0.00430271	0.00701498	0.0129143	0.0347464	0.0817196	0.15239	0.298112	0.405244
a38	0.00205105	0.00289168	0.00311326	0.0025323	0.00138154	0.00703621	0.00852523	0.0119735	0.016002	0.0379126	0.0942297	0.161092	0.293479	0.35778
a10	0.0115737	0.0124468	0.0117403	0.00887942	0.00388678	0.0186394	0.0252434	0.0298811	0.0335265	0.0609374	0.113961	0.162477	0.237829	0.268978
a87	0.0587036	0.0509934	0.0370027	0.0263916	0.0123118	0.0503137	0.0555678	0.0591207	0.0646723	0.0920373	0.118699	0.121489	0.126881	0.125816
a23	0.258996	0.226572	0.145315	0.102249	0.0425632	0.0618072	0.0338072	0.0274741	0.0220501	0.0198233	0.018216	0.0146482	0.0133373	0.0131409
a87	0.0650243	0.0580516	0.0565575	0.047591	0.0181233	0.0407577	0.0216774	0.0254229	0.0333644	0.048323	0.0809391	0.110262	0.182067	0.211839
a23	0.0156657	0.0159884	0.0116748	0.00700762	0.00187862	0.00709279	0.00624988	0.00884022	0.014518	0.0306939	0.0785482	0.148741	0.282793	0.370308
</S>	0.0163769	0.0142103	0.0161186	0.0155622	0.0082826	0.0181144	0.0110111	0.0129067	0.0185645	0.036746	0.0922922	0.157795	0.261781	0.320238
