 	ces	enfants	sont	rentrés	au	village	et	personne	d'	eux	m'	a	dit	au-revoir	</S>
a85	0.0827341	0.0822088	0.0616149	0.0729391	0.0368706	0.03425	0.0506394	0.0897684	0.11588	0.158216	0.132944	0.0483348	0.0163054	0.0107038	0.00659154
a66	0.201887	0.141908	0.0679871	0.0396827	0.0297802	0.0236781	0.0310118	0.0493401	0.0508225	0.0773838	0.111231	0.0707811	0.0437362	0.0345977	0.0261729
a87	0.171534	0.110363	0.0616251	0.0561397	0.0514896	0.0532157	0.0467209	0.0690516	0.0567264	0.0614007	0.0495352	0.037101	0.0379297	0.0560036	0.0811641
a23	0.28054	0.169358	0.131384	0.0778802	0.0422676	0.047226	0.0328682	0.0477898	0.0314049	0.0343435	0.031855	0.0248306	0.0185087	0.0141811	0.0155622
a87	0.208373	0.148075	0.127041	0.0731954	0.054929	0.0543573	0.0364984	0.0451329	0.03345	0.0391108	0.0481332	0.0398763	0.0323099	0.0268376	0.0326794
a23	0.226603	0.153938	0.124993	0.0662545	0.0453323	0.045823	0.0330195	0.0431694	0.0347645	0.0401652	0.0499331	0.0448033	0.0392416	0.0258666	0.0260938
a87	0.174564	0.130717	0.120683	0.0699443	0.0443545	0.0393037	0.0299074	0.0327184	0.0309961	0.0344303	0.0482898	0.0532077	0.0611521	0.0597936	0.0699378
a10	0.12418	0.108203	0.104113	0.087594	0.0575566	0.0491524	0.0388128	0.0416371	0.0407678	0.0440534	0.0564943	0.062141	0.0725699	0.0589798	0.0537456
a87	0.102739	0.102507	0.12815	0.124411	0.056873	0.041301	0.033453	0.0326719	0.0332806	0.035657	0.0459371	0.0565854	0.0767137	0.0782663	0.0514542
a23	0.12568	0.11125	0.120577	0.112857	0.0599532	0.04379	0.034343	0.0329156	0.0328149	0.0346696	0.0454124	0.0559093	0.0705516	0.0737048	0.045572
a10	0.101468	0.0993039	0.127044	0.115782	0.0547529	0.0397034	0.0332569	0.0302653	0.0314623	0.0316423	0.0412479	0.0529328	0.0745459	0.0976923	0.0688995
a99	0.0799415	0.0936228	0.130568	0.138266	0.0605319	0.0397921	0.0336446	0.0306701	0.0327725	0.0340307	0.0427188	0.055491	0.0805786	0.0889723	0.0583991
a54	0.10999	0.129327	0.139815	0.138753	0.062925	0.038449	0.0310274	0.0257336	0.027337	0.028446	0.0339337	0.0464011	0.0684465	0.0666295	0.052786
a47	0.0845637	0.133354	0.0846015	0.0989487	0.10202	0.0547196	0.0380052	0.0301098	0.0280499	0.0328029	0.040675	0.0572122	0.0743137	0.0783991	0.062225
a6	0.0755372	0.126744	0.0827027	0.0939599	0.107229	0.0689872	0.045876	0.0379805	0.0290519	0.0310858	0.0307058	0.0402297	0.0532319	0.0850459	0.0916321
a37	0.0406658	0.101669	0.109833	0.121208	0.139484	0.0995845	0.0629433	0.0512503	0.0383577	0.0421399	0.04208	0.0371219	0.0352067	0.0412554	0.0372009
a47	0.0490641	0.0907706	0.103642	0.121648	0.158939	0.125786	0.0770458	0.0640628	0.0456831	0.0474434	0.04075	0.0259227	0.0183	0.0174115	0.0135309
a36	0.0395298	0.0612726	0.0826103	0.089129	0.155499	0.1356	0.0864502	0.0822704	0.0606536	0.0637419	0.0445638	0.0283093	0.0186572	0.0244019	0.0273115
a56	0.0287678	0.0439434	0.0582445	0.0679401	0.118635	0.117624	0.0974587	0.108501	0.0873879	0.0912876	0.0631065	0.0373796	0.0216735	0.0266981	0.0313525
a90	0.0153477	0.0231346	0.0358476	0.0465338	0.111818	0.117428	0.0983588	0.113894	0.102344	0.118083	0.0861074	0.0440866	0.0241425	0.0295151	0.0333581
a13	0.0103883	0.016511	0.0245276	0.0337084	0.0827706	0.0905627	0.0871516	0.102762	0.101843	0.120674	0.0995276	0.0589335	0.0335637	0.0561251	0.0809506
a93	0.00915837	0.0125431	0.0172102	0.0233444	0.0462295	0.0571328	0.083235	0.110192	0.134296	0.166196	0.131511	0.0656025	0.0329185	0.0408281	0.0696027
a13	0.00977506	0.0129873	0.0159275	0.0209316	0.0472879	0.0542223	0.0715415	0.0951105	0.121635	0.154045	0.130603	0.078562	0.0442722	0.0547865	0.0883122
a38	0.00742288	0.0099582	0.0123069	0.0192247	0.0325564	0.0382613	0.0642902	0.0812062	0.125252	0.148827	0.146986	0.0906531	0.0614089	0.0620822	0.0995646
a0	0.00990972	0.0119263	0.0142567	0.0191591	0.0292304	0.0342846	0.0492936	0.0621463	0.105549	0.133445	0.149049	0.099539	0.0686005	0.0787215	0.134888
a90	0.00846054	0.0108296	0.0148137	0.0211174	0.0296088	0.0320957	0.0354961	0.0470894	0.0699339	0.106572	0.140034	0.124224	0.0846635	0.105912	0.169149
a25	0.00529083	0.00753138	0.0109766	0.0171918	0.0222388	0.0255385	0.0263909	0.0343234	0.0486213	0.0758712	0.101758	0.131567	0.0998944	0.149236	0.24357
a92	0.00380484	0.0046639	0.0061774	0.00827546	0.0130721	0.0163555	0.0161144	0.0193045	0.0299389	0.0445712	0.0555358	0.0796095	0.0790115	0.171019	0.452546
a85	0.00338445	0.00439093	0.00611326	0.00800797	0.0114559	0.0133622	0.0118912	0.0154091	0.0241808	0.0400182	0.0536494	0.0941226	0.115876	0.216101	0.382037
a92	0.00291029	0.00312281	0.00429627	0.00546064	0.00844075	0.0103679	0.00915923	0.0101622	0.0154169	0.0233685	0.0286018	0.0589076	0.0912988	0.236692	0.491795
a34	0.00203615	0.00274328	0.00386309	0.00495672	0.00681042	0.00821686	0.0070242	0.00867401	0.0128025	0.0199101	0.0283328	0.0599265	0.120814	0.280945	0.432945
a75	0.00107076	0.00125981	0.00163971	0.00255697	0.00259193	0.00334843	0.00365724	0.00394951	0.00586154	0.00848528	0.00986771	0.0215682	0.0649843	0.305044	0.564115
a92	0.000684452	0.000778155	0.00103715	0.00136663	0.00176147	0.0022828	0.0019956	0.00194885	0.0026255	0.00357829	0.00482313	0.0135811	0.053802	0.309263	0.600472
a37	0.00072269	0.000716498	0.000820095	0.00112938	0.0011229	0.00145751	0.00159793	0.00167137	0.00254459	0.00329925	0.00488566	0.0156363	0.0681558	0.311865	0.584375
a85	0.000825053	0.000855544	0.000880128	0.00122771	0.00189221	0.00268332	0.0027721	0.00270311	0.00380262	0.00498911	0.00515486	0.00975884	0.0408987	0.268763	0.652794
a6	0.000288085	0.000251278	0.000243048	0.000343254	0.000529003	0.000734834	0.000810608	0.000771651	0.00122793	0.00170133	0.00237739	0.00791	0.0411776	0.287721	0.653913
a36	0.000703159	0.000486034	0.000411629	0.000523704	0.000726811	0.000973555	0.00119265	0.00120331	0.0021712	0.00297304	0.00370815	0.0106659	0.0497777	0.269949	0.654535
a47	0.0028662	0.00262763	0.0019312	0.00205079	0.00361091	0.00351606	0.00347704	0.00307629	0.00481907	0.0058313	0.00554594	0.00985536	0.0424224	0.250216	0.658154
a36	0.00266102	0.00230076	0.00190543	0.0022497	0.0049827	0.00445285	0.00464684	0.00446085	0.00787571	0.0119163	0.0145941	0.0255427	0.0794014	0.266022	0.566988
a2	0.0254867	0.0188284	0.0129833	0.0156059	0.0266798	0.0221775	0.0257626	0.0241428	0.0360615	0.0416057	0.0353428	0.0498442	0.0972698	0.212932	0.355277
