 	il	est	bossu	</S>
a23	0.517612	0.236209	0.125788	0.120391
a87	0.439546	0.251992	0.168064	0.140398
a23	0.372359	0.280867	0.202511	0.144263
a79	0.301485	0.222952	0.227955	0.247607
a20	0.450839	0.2139	0.174858	0.160404
a14	0.555358	0.283055	0.116921	0.0446649
a26	0.556297	0.298367	0.0992862	0.0460503
a41	0.478831	0.313924	0.133017	0.0742282
a35	0.452034	0.327988	0.138755	0.0812228
a94	0.402729	0.329192	0.16291	0.105169
a35	0.316159	0.316572	0.210969	0.1563
a21	0.24733	0.268871	0.241474	0.242325
a41	0.130961	0.162606	0.264927	0.441505
a32	0.0806168	0.116595	0.24862	0.554168
a25	0.0663774	0.0776173	0.17362	0.682385
a87	0.0380217	0.0465113	0.146987	0.76848
</S>	0.032012	0.0526933	0.185361	0.729934
