 	quelle	est	la	préférée	parmi	tes	femmes	</S>
a66	0.370418	0.240353	0.225084	0.0913195	0.0369791	0.0189922	0.00929068	0.0075633
a10	0.336712	0.257102	0.173778	0.116765	0.0784593	0.0215971	0.00935788	0.00622917
a75	0.281195	0.260716	0.280417	0.13629	0.0251338	0.00809017	0.00427452	0.00388267
a15	0.353284	0.254066	0.222923	0.114221	0.0313822	0.0123273	0.00578611	0.00601058
a36	0.334943	0.223746	0.167266	0.159902	0.0677143	0.0255456	0.0105423	0.0103395
a98	0.241045	0.222686	0.171476	0.209327	0.0892487	0.0400199	0.0162054	0.00999182
a0	0.26522	0.179901	0.145222	0.189366	0.150375	0.0452429	0.0157276	0.008946
a75	0.155454	0.182702	0.12543	0.265337	0.171172	0.0655353	0.0223177	0.0120533
a98	0.101748	0.133797	0.097316	0.211424	0.26103	0.137817	0.0386412	0.0182268
a92	0.0634926	0.0885814	0.0624964	0.123607	0.297069	0.245496	0.0890413	0.030216
a79	0.0410019	0.041836	0.0566368	0.0958052	0.272042	0.307069	0.133529	0.0520798
a44	0.0505978	0.0508469	0.0786668	0.0761744	0.198337	0.247072	0.17767	0.120635
a75	0.00998705	0.00803214	0.0246223	0.0229152	0.0866606	0.195938	0.307111	0.344734
a12	0.00284421	0.00275159	0.00861426	0.00735261	0.0354791	0.15985	0.340934	0.442174
a21	0.000509139	0.000374295	0.000773594	0.00160629	0.00927959	0.0438609	0.266079	0.677518
a47	0.000920349	0.000769005	0.00151078	0.00341715	0.0116856	0.0383145	0.226823	0.716559
a62	0.000779148	0.000716587	0.00145019	0.00314254	0.00899394	0.0300674	0.214854	0.739996
a61	0.00092723	0.00128065	0.00269078	0.00627839	0.0160828	0.0506388	0.242748	0.679353
a5	0.00161549	0.00211365	0.00431578	0.00929017	0.0203449	0.055517	0.238998	0.667805
a36	0.00192366	0.00217724	0.0053606	0.00955623	0.025203	0.0522854	0.216318	0.687175
a27	0.00464869	0.00578582	0.0152069	0.0406173	0.0679016	0.0983324	0.237344	0.530163
a10	0.0315004	0.0251748	0.0356135	0.0413077	0.0714998	0.0980146	0.22905	0.46784
a87	0.210463	0.133912	0.17394	0.122461	0.0696508	0.0682787	0.100733	0.120562
a23	0.127659	0.136661	0.191867	0.202461	0.123776	0.0685418	0.0688875	0.0801466
a97	0.0465899	0.0396894	0.0425125	0.0790565	0.0722966	0.0699732	0.21533	0.434552
a87	0.00797137	0.00692047	0.00646352	0.0242175	0.0429545	0.0902767	0.358007	0.463189
a23	0.00729727	0.006909	0.0074627	0.0267618	0.0657253	0.139817	0.352425	0.393602
a87	0.0044969	0.00502265	0.00625654	0.0303405	0.0793724	0.126993	0.367569	0.379949
a23	0.00361847	0.00411802	0.00640306	0.0217168	0.0554835	0.136624	0.372075	0.399961
a87	0.00460403	0.00485235	0.00602078	0.0285302	0.0836739	0.137814	0.359693	0.374811
a23	0.00639889	0.00842058	0.0130529	0.0292316	0.0786416	0.169191	0.352711	0.342352
a87	0.0104487	0.011711	0.0166423	0.0450023	0.125939	0.188397	0.322744	0.279116
</S>	0.0140461	0.0143904	0.0218226	0.0410009	0.0888105	0.172778	0.318929	0.328223
