 	j'	ai	planté	un	safoutier	au	champ	</S>
a66	0.338137	0.179827	0.133876	0.113007	0.0966024	0.0684266	0.0393518	0.0307721
a87	0.287496	0.185795	0.130231	0.0814673	0.070519	0.0640505	0.0735062	0.106935
a23	0.621775	0.237076	0.0660529	0.0208783	0.0131908	0.0115631	0.0118209	0.0176423
a18	0.592296	0.245167	0.0896918	0.0218126	0.0103013	0.0102745	0.0127897	0.0176677
a24	0.375244	0.204824	0.122607	0.0585014	0.0438979	0.0505087	0.0659702	0.0784473
a31	0.333598	0.250855	0.15174	0.0832742	0.0534383	0.0447995	0.0389886	0.0433067
a24	0.197728	0.275272	0.236343	0.102876	0.0549858	0.0443371	0.0412111	0.0472481
a38	0.13038	0.218618	0.254713	0.144065	0.0771338	0.0572418	0.0532989	0.0645496
a70	0.0898723	0.17306	0.263573	0.1763	0.0939215	0.0672667	0.0619446	0.074062
a83	0.0798739	0.143219	0.244134	0.208659	0.109908	0.0717811	0.0646208	0.0778046
a56	0.0497805	0.0705936	0.13474	0.196001	0.14649	0.109765	0.123868	0.168764
a92	0.0546028	0.0626779	0.0998774	0.181399	0.18607	0.138233	0.126133	0.151008
a56	0.0210337	0.0264956	0.0501162	0.138566	0.207232	0.186492	0.175515	0.19455
a75	0.0239072	0.0235006	0.0368783	0.105008	0.20452	0.2021	0.188706	0.215381
a85	0.014274	0.0145238	0.0235729	0.0698653	0.181341	0.229417	0.22208	0.244926
a47	0.0135156	0.0142641	0.0199729	0.0550569	0.153729	0.2129	0.236152	0.29441
a0	0.0043791	0.00310162	0.00319921	0.0116045	0.072634	0.165203	0.286101	0.453778
a75	0.00523038	0.00348964	0.00325968	0.00774337	0.0318727	0.094864	0.278402	0.575138
a79	0.00155962	0.00109032	0.00101511	0.00334828	0.0240297	0.0956017	0.282385	0.59097
a44	0.000722156	0.000493788	0.000491313	0.00201393	0.0166416	0.0751089	0.276631	0.627898
a93	0.00198288	0.00136266	0.00110688	0.00293025	0.0153268	0.0574779	0.248109	0.671703
a44	0.00219309	0.00154273	0.00128047	0.00324264	0.0160174	0.0617756	0.266189	0.647759
a13	0.00215832	0.00177799	0.00168729	0.00449299	0.0195019	0.0643066	0.262541	0.643534
a44	0.00827852	0.0071656	0.00711537	0.017462	0.0546294	0.112855	0.271526	0.520968
a26	0.0073528	0.00689257	0.00703632	0.0168986	0.0557928	0.118311	0.278563	0.509152
a57	0.0427763	0.0252266	0.017474	0.0261385	0.059299	0.108431	0.250808	0.469847
a10	0.245281	0.0847258	0.043256	0.0386191	0.0549423	0.0778865	0.153693	0.301596
a87	0.418629	0.144481	0.0531437	0.0356916	0.0424851	0.0559181	0.0911698	0.158481
</S>	0.39463	0.192165	0.0765981	0.0385699	0.0383035	0.0493292	0.0788024	0.131603
