 	cet	homme	vient	de	rencontrer	son	amante	</S>
a66	0.285848	0.170774	0.143513	0.130367	0.176891	0.0698056	0.0168208	0.00598023
a87	0.272188	0.167127	0.0998226	0.0880374	0.152715	0.132085	0.0597117	0.0283136
a23	0.318639	0.222073	0.162086	0.123552	0.105575	0.040125	0.0163905	0.0115592
a87	0.341553	0.250128	0.129835	0.13773	0.0876565	0.0280209	0.0138595	0.0112178
a99	0.32057	0.22414	0.132544	0.142795	0.116562	0.0351752	0.0161426	0.0120702
a71	0.315734	0.196115	0.113938	0.141109	0.112634	0.0540166	0.0390139	0.0274394
a54	0.227613	0.157874	0.123147	0.123768	0.135532	0.103462	0.0912183	0.0373859
a47	0.0921899	0.0782119	0.0728638	0.0930935	0.243177	0.164901	0.18666	0.0689026
a5	0.0541538	0.0532683	0.0550677	0.0862272	0.245567	0.182354	0.214309	0.109052
a31	0.0658995	0.0752164	0.0941869	0.154831	0.302197	0.136864	0.115261	0.0555433
a96	0.0811203	0.0878782	0.113894	0.209768	0.320475	0.0892156	0.0612856	0.0363638
a94	0.0800618	0.0891643	0.129103	0.229312	0.296397	0.0778914	0.0568029	0.0412678
a93	0.0744069	0.0754143	0.121497	0.225035	0.291846	0.0951284	0.0614019	0.0552709
a56	0.0745386	0.0727658	0.124297	0.230493	0.274273	0.113146	0.0597749	0.050711
a44	0.068854	0.063521	0.116353	0.219133	0.241583	0.152255	0.0749404	0.06336
a21	0.0633848	0.0535818	0.0984434	0.187557	0.192909	0.186137	0.104321	0.113666
a34	0.0638574	0.0529362	0.0716918	0.115004	0.124472	0.176889	0.173407	0.221742
a93	0.0336933	0.0259436	0.0414321	0.0815478	0.0876419	0.193867	0.233507	0.302367
a13	0.030368	0.0238235	0.0343536	0.0485283	0.0522235	0.16057	0.264455	0.385677
a38	0.0117774	0.00742956	0.00978673	0.00987645	0.0143193	0.109471	0.318091	0.519249
a93	0.00888619	0.00569019	0.00719687	0.00562635	0.00817957	0.064085	0.294968	0.605368
a96	0.00334648	0.00219997	0.00287198	0.00279744	0.00387582	0.0434144	0.270902	0.670592
a75	0.00145088	0.000932397	0.00116199	0.00103843	0.0018462	0.0299099	0.235214	0.728447
a85	0.000959937	0.000657954	0.000889265	0.000848826	0.00180058	0.0265151	0.228255	0.740073
a36	0.000805955	0.000616812	0.000721695	0.000565813	0.000889551	0.0111018	0.160833	0.824465
a61	0.00929041	0.00651418	0.00498985	0.00293655	0.00589679	0.0390089	0.189972	0.741391
a21	0.00519915	0.00356961	0.0029428	0.00267475	0.00622344	0.0432514	0.194846	0.741292
a5	0.00142992	0.000896208	0.000982327	0.000647333	0.00125165	0.0186288	0.169049	0.807115
a36	0.000951364	0.000691149	0.000720017	0.000500261	0.000792194	0.0152459	0.184709	0.79639
a27	0.0181727	0.0141324	0.0105002	0.00668083	0.0100515	0.0611701	0.235375	0.643917
a10	0.132328	0.101612	0.090353	0.0509496	0.0418023	0.112411	0.176898	0.293646
a87	0.33323	0.205318	0.118887	0.0738899	0.0498461	0.0550343	0.0732385	0.0905575
a23	0.30569	0.187606	0.106938	0.0865187	0.0771267	0.0565748	0.0756577	0.103889
a87	0.169817	0.103813	0.0590665	0.0380929	0.0257576	0.0582509	0.165616	0.379586
</S>	0.0333342	0.0179763	0.0145143	0.0116031	0.0197321	0.0599527	0.209766	0.633121
