 	la	mère	a	levé	la	main	sur	son	fils	car	celui-ci	mange	goulûment	</S>
a66	0.0762568	0.0714547	0.0549537	0.0558277	0.08551	0.1072	0.102546	0.115928	0.123376	0.0979098	0.0708361	0.0208258	0.0115439	0.00583105
a10	0.161077	0.125986	0.0874637	0.069814	0.0726525	0.0864153	0.0883797	0.0728737	0.0670096	0.0691363	0.0464149	0.0242641	0.0186046	0.00990862
a87	0.234364	0.154066	0.0945064	0.0931954	0.0785481	0.073252	0.0656203	0.0610006	0.0472626	0.0357949	0.0220432	0.01334	0.0133129	0.0136927
a23	0.217752	0.146626	0.0878637	0.0788417	0.0707646	0.0802398	0.0747393	0.0791076	0.0565292	0.0493352	0.0279846	0.0130908	0.00908559	0.00804058
a99	0.141663	0.0975376	0.0642325	0.0615419	0.0732717	0.106302	0.10258	0.105728	0.0730935	0.0691143	0.0467681	0.0260272	0.0184666	0.0136728
a30	0.0877855	0.0731032	0.0714567	0.0882619	0.12249	0.115782	0.089896	0.0799779	0.0619093	0.0602049	0.0638701	0.040419	0.0264379	0.0184054
a53	0.0848019	0.0812526	0.101323	0.120426	0.151534	0.122547	0.0803389	0.0637693	0.0497573	0.0429613	0.0469225	0.0302252	0.0164382	0.00770291
a20	0.0950952	0.0858545	0.0973204	0.123277	0.165355	0.104045	0.063082	0.0388269	0.0333474	0.0296077	0.0487336	0.0511186	0.0442267	0.0201103
a79	0.0571446	0.0639182	0.0893843	0.112163	0.135789	0.0969319	0.0693511	0.0452479	0.0392216	0.0366065	0.0597699	0.0790891	0.0812842	0.0340993
a7	0.0529123	0.0645378	0.0910399	0.0997091	0.119119	0.104827	0.0872228	0.0645516	0.0573319	0.0434381	0.0478892	0.0590339	0.0689723	0.0394148
a75	0.0390905	0.0440465	0.0756219	0.095918	0.127581	0.119764	0.0932301	0.0689864	0.0532454	0.0370757	0.0383382	0.0519227	0.0868987	0.0682804
a21	0.0333937	0.0371638	0.0527924	0.0694042	0.0973325	0.103151	0.0990079	0.0834541	0.0762516	0.0588744	0.0583075	0.0628273	0.08942	0.0786191
a12	0.0394917	0.0400785	0.0470938	0.0550431	0.0831956	0.101455	0.108797	0.108801	0.094505	0.0739476	0.0580916	0.0492866	0.0690399	0.0711734
a96	0.0218119	0.0224167	0.0284652	0.0383488	0.0761468	0.109356	0.129956	0.143813	0.119522	0.0908822	0.0572096	0.0418036	0.052721	0.0675466
a90	0.00992653	0.0101738	0.0147028	0.0257806	0.0835665	0.14597	0.16975	0.165883	0.121271	0.0883801	0.0430171	0.0319607	0.0379694	0.0516481
a98	0.00469862	0.00497595	0.00686855	0.0128229	0.0408631	0.0966325	0.143195	0.153581	0.127493	0.104248	0.0686276	0.0566242	0.0732913	0.106078
a92	0.00345441	0.00397959	0.00557821	0.0121198	0.0346227	0.0812483	0.135552	0.163305	0.131457	0.105263	0.0677297	0.0602835	0.0753086	0.120099
a5	0.00429955	0.00442053	0.00542589	0.00986936	0.0340381	0.0817673	0.131509	0.167307	0.13304	0.104311	0.0631388	0.0550065	0.0688111	0.137056
a43	0.00415773	0.00424098	0.00507807	0.00838315	0.023516	0.0620689	0.122916	0.180458	0.135792	0.105845	0.0636519	0.0609221	0.0814628	0.141508
a61	0.00490655	0.0048893	0.00564653	0.00802083	0.0203181	0.0549361	0.117107	0.175116	0.126556	0.101089	0.0626892	0.0640766	0.0870151	0.167634
a21	0.00581126	0.00605695	0.00683765	0.0088577	0.0188126	0.0467742	0.104894	0.173183	0.129863	0.11612	0.0826338	0.0758967	0.0826577	0.141601
a5	0.00610719	0.00633282	0.00667674	0.00931866	0.0164695	0.0313047	0.0622562	0.111531	0.0888497	0.0867333	0.0767211	0.0991999	0.153928	0.244572
a12	0.00387976	0.00447187	0.00522504	0.00751014	0.0135339	0.0257936	0.0508748	0.0941139	0.0727498	0.0804374	0.0813636	0.111977	0.164744	0.283326
a18	0.00321531	0.00395375	0.00478731	0.0066893	0.0122865	0.025626	0.0504382	0.0889317	0.0670513	0.0725296	0.076831	0.113492	0.159056	0.315112
a62	0.00249503	0.00315484	0.0042796	0.0077262	0.016573	0.0308628	0.0561139	0.0894934	0.0639594	0.0734879	0.0836147	0.123472	0.149578	0.295189
a88	0.00483376	0.00524719	0.00575922	0.00708393	0.0111283	0.0201135	0.0375173	0.0662973	0.0506643	0.0595509	0.0807147	0.153887	0.195607	0.301595
a71	0.00182877	0.00225056	0.00308537	0.00511452	0.00878264	0.0131775	0.0211926	0.0290613	0.0238201	0.0365621	0.0648546	0.168565	0.254674	0.367031
a88	0.00604607	0.00735226	0.0104997	0.0161375	0.0246371	0.0285406	0.0368809	0.0486811	0.0454216	0.0531457	0.102476	0.181826	0.190876	0.24748
a11	0.00212156	0.00259894	0.00398578	0.0071499	0.0119767	0.0152793	0.021671	0.026136	0.0218792	0.0289513	0.0562033	0.151599	0.253021	0.397427
a75	0.00298908	0.00333613	0.00495748	0.00846309	0.0141049	0.0173788	0.0242612	0.0280013	0.0239952	0.0321778	0.0641918	0.155202	0.245354	0.375588
a6	0.000761165	0.000742172	0.000806606	0.00132378	0.00212492	0.00361413	0.00658199	0.00847022	0.00665817	0.0111106	0.0250817	0.107916	0.265733	0.559075
a36	0.000511151	0.000521772	0.000585765	0.000963166	0.0016924	0.00332265	0.00663985	0.00901741	0.00630598	0.0104477	0.0205905	0.0896221	0.239414	0.610366
a2	0.00135903	0.00119945	0.00116144	0.00184037	0.00247929	0.00379864	0.0063769	0.00694698	0.0048719	0.00717227	0.0172517	0.0773585	0.225066	0.643118
a57	0.0585468	0.0582586	0.065541	0.0733031	0.0457914	0.0339807	0.0338869	0.0308205	0.0297143	0.0297403	0.0467848	0.0754854	0.125663	0.292483
a87	0.151499	0.107944	0.0884716	0.0946728	0.0635651	0.0405128	0.0342634	0.0287349	0.0300671	0.0436446	0.0583262	0.0634262	0.0785222	0.116349
a10	0.239164	0.16258	0.0849515	0.101684	0.0585568	0.0346628	0.0288994	0.0255827	0.0239453	0.0409433	0.0454287	0.0414024	0.0522591	0.0599402
a87	0.164045	0.120025	0.0714485	0.0893252	0.0654603	0.0506478	0.0580919	0.0533213	0.0414261	0.0569519	0.0571624	0.0533309	0.0612809	0.0574832
a23	0.123131	0.0999792	0.0689769	0.0874729	0.0642245	0.0587257	0.0666749	0.0602124	0.0488162	0.0545568	0.0515778	0.0531602	0.0785737	0.0839176
a87	0.077839	0.058462	0.0391673	0.0396317	0.0290227	0.0331166	0.0434505	0.0427212	0.0460125	0.0702901	0.0761318	0.0952289	0.162054	0.186872
a23	0.0542664	0.0430632	0.0318919	0.0349289	0.0254568	0.0276653	0.0333537	0.0294687	0.0267333	0.0369778	0.0424443	0.0699946	0.200766	0.342989
a87	0.0518039	0.0419512	0.0319437	0.0322475	0.0251046	0.0326286	0.0408223	0.0345175	0.0394184	0.059204	0.0820263	0.113588	0.186474	0.22827
a23	0.0516331	0.0404866	0.0273375	0.0258468	0.0224669	0.0263759	0.0294935	0.0261403	0.0255522	0.0368039	0.0453243	0.0827769	0.21896	0.340802
a99	0.0416415	0.0329822	0.0242154	0.0245008	0.0198964	0.0278385	0.03851	0.0356	0.0395194	0.0615122	0.0849353	0.1229	0.199592	0.246356
a10	0.040233	0.0297688	0.0214827	0.0228122	0.0238364	0.0351374	0.0428009	0.0377927	0.0420382	0.0593706	0.0790115	0.114586	0.188607	0.262523
</S>	0.0337493	0.0250196	0.0176215	0.0184222	0.0187514	0.0223428	0.0250928	0.0233515	0.0240573	0.0322424	0.0428357	0.0887474	0.229996	0.39777
