 	il	y	a	un	feu	de	brousse	</S>
a23	0.312983	0.214926	0.131521	0.0764548	0.0462434	0.0485148	0.0794917	0.0898654
a90	0.244119	0.192623	0.150355	0.127868	0.0825979	0.065239	0.0618985	0.0752981
a56	0.366496	0.246129	0.164197	0.0922326	0.042577	0.028244	0.0319876	0.0281363
a34	0.326423	0.294088	0.203568	0.0973615	0.0364322	0.0167453	0.0144019	0.0109809
a70	0.245323	0.278149	0.253212	0.136523	0.0497716	0.017971	0.0116981	0.00735269
a93	0.132757	0.165565	0.243042	0.221599	0.128918	0.0530914	0.0335659	0.0214615
a34	0.0980871	0.121478	0.208986	0.233881	0.17277	0.0815524	0.0507813	0.032464
a70	0.0986758	0.0946302	0.175601	0.222688	0.190491	0.107419	0.0676259	0.042868
a83	0.057637	0.0503635	0.102122	0.173167	0.218877	0.188848	0.13022	0.0787653
a75	0.0397752	0.0332537	0.057651	0.101987	0.168203	0.23915	0.209718	0.150263
a36	0.0308473	0.0280053	0.0430994	0.0707672	0.126471	0.246038	0.264155	0.190617
a2	0.0153317	0.0127956	0.0204719	0.0358208	0.0653213	0.183903	0.315434	0.350922
a10	0.0107014	0.0086641	0.010355	0.0129896	0.0160621	0.0546671	0.197393	0.689168
a87	0.0607477	0.0422626	0.0388571	0.0381851	0.0401898	0.0935257	0.219439	0.466793
a23	0.217631	0.136631	0.107941	0.0815228	0.0630193	0.0776025	0.125385	0.190268
a87	0.107984	0.0849534	0.0774969	0.0860203	0.0990149	0.141121	0.189064	0.214345
a23	0.0481883	0.0408654	0.0435902	0.0535048	0.082677	0.167702	0.261462	0.30201
a87	0.0497079	0.0426894	0.0419859	0.0485923	0.0707275	0.161056	0.264358	0.320883
</S>	0.0487828	0.0372325	0.0376062	0.0446944	0.0712766	0.15447	0.272592	0.333346
