 	va	l'	avertir	que	je	suis	de	retour	</S>
a87	0.270835	0.167076	0.145163	0.113666	0.0873984	0.0643109	0.0552027	0.0585931	0.0377553
a3	0.245224	0.139563	0.0924594	0.0724611	0.0994888	0.0901664	0.0591317	0.0847699	0.116736
a82	0.273548	0.188396	0.112674	0.0756181	0.084009	0.0729626	0.0483932	0.0594423	0.0849577
a38	0.28394	0.211519	0.127763	0.0790963	0.0834262	0.0693923	0.0431251	0.0477829	0.0539551
a75	0.167118	0.13722	0.150384	0.0926523	0.117915	0.102709	0.0761814	0.0894632	0.066357
a25	0.439737	0.240907	0.0998967	0.0486793	0.0377986	0.0391773	0.0356404	0.0331349	0.0250292
a32	0.458892	0.235587	0.0916746	0.0448882	0.0315191	0.0314904	0.034751	0.0404712	0.0307257
a75	0.366714	0.196803	0.102498	0.0602736	0.0449869	0.0437948	0.04983	0.0720341	0.0630659
a41	0.351434	0.192367	0.110615	0.0644295	0.0408838	0.0410493	0.0537694	0.0762089	0.069243
a85	0.234775	0.169804	0.126763	0.0849679	0.0561436	0.0561816	0.0716115	0.104145	0.095609
a15	0.128483	0.121516	0.120698	0.097219	0.0741479	0.0780438	0.107668	0.151236	0.120987
a76	0.0546225	0.0714351	0.112016	0.107754	0.0795839	0.083362	0.1212	0.199923	0.170103
a41	0.047881	0.0600771	0.109093	0.106075	0.0739509	0.0777183	0.109824	0.198235	0.217145
a94	0.0479471	0.0573917	0.118912	0.123583	0.0849742	0.0821041	0.109062	0.182025	0.194001
a98	0.0547408	0.057458	0.103783	0.115465	0.089931	0.0872232	0.117389	0.196161	0.177849
a24	0.0498118	0.057944	0.105436	0.117176	0.0911662	0.0868512	0.119285	0.202152	0.170179
a94	0.0286935	0.0342232	0.0741676	0.0800284	0.0872996	0.0965804	0.139526	0.256181	0.2033
a12	0.0230456	0.0278211	0.0624046	0.0606322	0.0741972	0.0862357	0.136414	0.283323	0.245927
a32	0.0306033	0.0330719	0.0542153	0.0614214	0.0725684	0.0928206	0.145611	0.289112	0.220576
a25	0.0208033	0.024238	0.0473557	0.0442082	0.0561263	0.0714903	0.124601	0.319745	0.291432
a94	0.0118615	0.0162072	0.0365473	0.037314	0.0520557	0.068477	0.123582	0.341042	0.312914
a57	0.0154444	0.0179808	0.0421218	0.038915	0.051091	0.065659	0.112955	0.295634	0.360199
a38	0.00475826	0.00534377	0.0147027	0.0218676	0.0343316	0.0531988	0.095842	0.259732	0.510223
a94	0.00328155	0.00348925	0.00994471	0.01511	0.0286596	0.0468228	0.0843939	0.266743	0.541555
a90	0.00559011	0.00554328	0.0124871	0.0144504	0.0298641	0.050325	0.0883313	0.23302	0.560389
a20	0.00511954	0.00600292	0.0153894	0.0179158	0.0331744	0.0544351	0.102538	0.259555	0.505869
a84	0.0167927	0.0172929	0.0301574	0.0282225	0.0574237	0.0859713	0.119737	0.238228	0.406174
a87	0.00478948	0.00542973	0.0111575	0.0120529	0.0276444	0.0453929	0.085622	0.236514	0.571397
</S>	0.0218413	0.0191596	0.0169548	0.0183276	0.0456673	0.0624722	0.0790484	0.217442	0.519086
