 	ta	soeur	est	bien	baisée	</S>
a66	0.377107	0.271477	0.163371	0.0992782	0.0591431	0.0296235
a87	0.491968	0.22988	0.126833	0.0955544	0.0383004	0.0174643
a23	0.575077	0.244878	0.111896	0.043408	0.0132176	0.0115237
a87	0.476381	0.242459	0.135081	0.0690347	0.0356883	0.0413556
a23	0.587322	0.220358	0.099411	0.0475104	0.0212358	0.0241625
a30	0.35116	0.20895	0.145811	0.110115	0.085747	0.0982167
a93	0.242737	0.162453	0.160452	0.170305	0.144675	0.119378
a54	0.236106	0.230036	0.19616	0.19574	0.10377	0.0381879
a6	0.145439	0.155011	0.183635	0.253903	0.204003	0.0580086
a37	0.11073	0.113828	0.175068	0.254539	0.238795	0.107042
a79	0.103057	0.0911687	0.147875	0.216594	0.250001	0.191304
a44	0.124289	0.128183	0.188356	0.230219	0.206817	0.122135
a90	0.101577	0.0894024	0.130811	0.190911	0.232553	0.254746
a69	0.0834564	0.0818619	0.132543	0.199403	0.243877	0.258858
a15	0.0690847	0.071778	0.129044	0.197075	0.254637	0.278381
a69	0.0307235	0.0358888	0.0654158	0.120533	0.225508	0.521931
a20	0.03327	0.0380108	0.0666095	0.119713	0.231262	0.511134
a7	0.0338212	0.0397851	0.0740842	0.146647	0.249772	0.45589
a84	0.00662134	0.00859851	0.0144323	0.037195	0.116823	0.81633
a57	0.0164759	0.0158853	0.0291074	0.0657127	0.155932	0.716887
a87	0.286679	0.197374	0.134689	0.108361	0.103087	0.16981
a23	0.357808	0.285085	0.162379	0.0796136	0.0518937	0.0632211
a87	0.363344	0.261273	0.154124	0.087396	0.0610451	0.0728191
</S>	0.155237	0.165386	0.146253	0.124923	0.142732	0.265469
