 	quel	âge	as-tu	</S>
a23	0.479278	0.252965	0.164648	0.103108
a83	0.57776	0.17453	0.145635	0.102075
a93	0.629286	0.169946	0.117201	0.0835665
a56	0.756144	0.154964	0.0567795	0.0321127
a75	0.634697	0.213185	0.0927889	0.0593289
a85	0.512786	0.236761	0.150261	0.100191
a47	0.432233	0.265802	0.186037	0.115928
a7	0.334262	0.248495	0.231059	0.186184
a75	0.311869	0.24601	0.228156	0.213965
a98	0.194654	0.244172	0.285729	0.275444
a79	0.110354	0.177467	0.316965	0.395215
a7	0.1123	0.170433	0.311598	0.40567
a75	0.0868248	0.133025	0.26112	0.51903
a5	0.068809	0.134645	0.276326	0.52022
a23	0.0766494	0.144545	0.279927	0.498879
a27	0.0428455	0.104663	0.271268	0.581224
a25	0.0221392	0.0560394	0.220757	0.701064
a82	0.0486379	0.0804274	0.271606	0.599329
a87	0.23252	0.164169	0.232853	0.370458
a23	0.404232	0.173871	0.181209	0.240688
a87	0.338722	0.177126	0.215942	0.268211
</S>	0.183311	0.14802	0.253588	0.415081
