 	cette	maison	n'	est	pas	encore	peinte	de	ce	côté	</S>
a66	0.163758	0.13242	0.153955	0.169972	0.131804	0.117491	0.0839272	0.0298913	0.00930939	0.00465049	0.00282039
a87	0.313374	0.21751	0.143968	0.100058	0.059697	0.0638166	0.0340507	0.0234298	0.0143056	0.0160838	0.0137066
a23	0.353927	0.196335	0.14738	0.106663	0.074489	0.0486843	0.0281106	0.0111275	0.00897311	0.01192	0.0123895
a87	0.327061	0.262234	0.161099	0.109453	0.0617887	0.037285	0.0238499	0.00472132	0.00338567	0.00393665	0.00518551
a23	0.304799	0.240417	0.167161	0.125748	0.0743178	0.0404364	0.0293916	0.00566715	0.0039909	0.00420636	0.00386466
a18	0.331035	0.229494	0.141788	0.106753	0.0670468	0.0439782	0.0388356	0.0101288	0.00841585	0.0103478	0.0121775
a83	0.284199	0.226389	0.158054	0.0996915	0.0664778	0.0449809	0.0455476	0.0155902	0.016505	0.0177455	0.0248196
a47	0.30147	0.284258	0.15865	0.0996755	0.0575736	0.0349363	0.0345285	0.00696524	0.00640563	0.00740326	0.00813342
a21	0.175952	0.210657	0.139265	0.143114	0.104728	0.0678341	0.0940044	0.0192375	0.0168257	0.0161412	0.0122407
a12	0.162744	0.17743	0.128717	0.14416	0.114689	0.0807422	0.122911	0.0280161	0.0187162	0.0129741	0.00889965
a43	0.16817	0.170422	0.127091	0.142461	0.118972	0.0836718	0.119688	0.0283382	0.0194501	0.0127371	0.00899761
a93	0.101185	0.120259	0.111446	0.144688	0.139184	0.105442	0.167083	0.04644	0.0305916	0.0197748	0.0139071
a4	0.0686134	0.0884657	0.098802	0.135659	0.135957	0.120753	0.177908	0.0778113	0.0470925	0.0273102	0.0216282
a13	0.0597537	0.0735009	0.10341	0.140608	0.157002	0.13131	0.170133	0.0719263	0.0396186	0.0283567	0.0243808
a4	0.0417443	0.0467281	0.0791025	0.126419	0.156722	0.145039	0.188618	0.103263	0.0465018	0.0328308	0.0330322
a93	0.0322788	0.0408344	0.0674695	0.122686	0.144465	0.152701	0.188651	0.122628	0.0612242	0.0355608	0.0315012
a4	0.0276864	0.0352051	0.0624298	0.115707	0.14468	0.159534	0.177409	0.138786	0.0718534	0.0367709	0.0299377
a93	0.0268988	0.0319478	0.0518207	0.104554	0.138792	0.158465	0.162564	0.154743	0.0911387	0.0462234	0.0328523
a44	0.0158166	0.0196291	0.0370892	0.0848891	0.124205	0.153562	0.138915	0.174087	0.112285	0.080143	0.0593796
a56	0.00971715	0.00992082	0.0179007	0.0376134	0.0628216	0.0925734	0.0845012	0.231982	0.168087	0.146069	0.138814
a25	0.0068347	0.00700729	0.0118406	0.0230682	0.0388022	0.060363	0.055849	0.228757	0.188028	0.175058	0.204392
a56	0.00786455	0.00856896	0.0136179	0.0236491	0.0349583	0.0480234	0.0353035	0.151552	0.140769	0.201526	0.334167
a44	0.00729963	0.00693973	0.0104091	0.0166295	0.0256797	0.0403892	0.0285168	0.158266	0.148907	0.197358	0.359605
a98	0.00624257	0.00594572	0.00875844	0.0146185	0.0236181	0.0378742	0.0266769	0.15203	0.140197	0.188207	0.395831
a92	0.00484071	0.00478479	0.00756534	0.0129242	0.0176533	0.0249333	0.0166498	0.0961823	0.127307	0.231601	0.455558
a37	0.00544721	0.00533019	0.0084271	0.014052	0.0195778	0.0302095	0.025156	0.100675	0.119017	0.224643	0.447465
a47	0.00401385	0.00310347	0.00453103	0.00677441	0.0105379	0.0181737	0.0138963	0.0922214	0.0927921	0.163742	0.590214
a88	0.00202982	0.00154003	0.00212125	0.00344906	0.00476413	0.00785018	0.00602687	0.0435067	0.0705711	0.177629	0.680512
a61	0.00265526	0.00180633	0.00234421	0.00344743	0.00495418	0.00758671	0.00520031	0.0451984	0.0731461	0.154856	0.698805
a75	0.00371008	0.00262217	0.00350578	0.00463685	0.00664489	0.00817043	0.00506272	0.0381655	0.0630589	0.148912	0.715511
a47	0.00117288	0.000737227	0.000942969	0.00126538	0.0016414	0.00202424	0.00139365	0.0138923	0.0359815	0.149965	0.790983
a36	0.000662357	0.00039319	0.000455505	0.00056167	0.000688868	0.000973057	0.000732377	0.00864311	0.0256781	0.145159	0.816053
a2	0.0656303	0.0372242	0.0361186	0.0347349	0.0336204	0.0397284	0.021331	0.0553405	0.0892624	0.196902	0.390107
a57	0.162552	0.0938124	0.0905071	0.0699675	0.0729504	0.0648316	0.0392413	0.0513502	0.0660173	0.116382	0.172389
a87	0.188063	0.0904256	0.0744443	0.0667247	0.0514771	0.0612995	0.0331633	0.0804545	0.0888432	0.11554	0.149566
a23	0.10615	0.053675	0.0541495	0.0639518	0.0511445	0.0760157	0.036055	0.123976	0.128681	0.142656	0.163545
a87	0.0439002	0.0230155	0.0217862	0.0285738	0.0263576	0.0537414	0.0340157	0.121477	0.10855	0.178194	0.360389
</S>	0.0305563	0.0160768	0.0160156	0.0232472	0.0199334	0.0354216	0.0255601	0.0537385	0.0673488	0.1819	0.530201
