 	aujourd'	hui	l'	école	est	calme	</S>
a66	0.297617	0.213707	0.191543	0.140711	0.0811637	0.0454935	0.0297655
a87	0.261302	0.174943	0.169646	0.152084	0.114462	0.0781199	0.0494437
a23	0.366523	0.265303	0.176251	0.0922851	0.0402964	0.0305821	0.0287594
a5	0.358377	0.262542	0.165596	0.0931312	0.0427536	0.037575	0.040025
a23	0.29451	0.22373	0.172569	0.114425	0.0694601	0.0714405	0.0538649
a76	0.300041	0.248988	0.213123	0.139789	0.0458664	0.0281168	0.0240758
a98	0.237484	0.199544	0.205654	0.194145	0.0934399	0.0453446	0.0243874
a92	0.167994	0.175237	0.20851	0.233441	0.128341	0.0524809	0.0339954
a36	0.182612	0.175355	0.198743	0.215147	0.1254	0.0582525	0.0444902
a98	0.137036	0.146536	0.17653	0.212958	0.154184	0.0896389	0.0831177
a6	0.085176	0.114792	0.1519	0.207214	0.191921	0.126248	0.122748
a5	0.0683546	0.0974079	0.11334	0.14008	0.163601	0.175229	0.241988
a61	0.0814195	0.109559	0.118377	0.145508	0.184955	0.162555	0.197626
a43	0.0497176	0.0588767	0.0650932	0.0889283	0.176683	0.224586	0.336116
a21	0.0157156	0.0142281	0.0151442	0.0239125	0.0898185	0.220952	0.620229
a5	0.011486	0.0126279	0.0148593	0.0267181	0.102136	0.242324	0.589849
a18	0.00737605	0.00792367	0.00982245	0.019015	0.0771883	0.209688	0.668986
a25	0.00575957	0.0039989	0.00498808	0.00980063	0.0570111	0.200567	0.717874
a82	0.0160794	0.0109687	0.0156169	0.0266055	0.0944741	0.224498	0.611757
a87	0.108206	0.0791178	0.064838	0.0615525	0.101278	0.203728	0.381279
a23	0.200325	0.133228	0.0984043	0.0800878	0.101056	0.162733	0.224167
a87	0.120291	0.0846204	0.0595749	0.0579173	0.109978	0.218479	0.349139
</S>	0.0135969	0.0118637	0.0115895	0.0191333	0.0794555	0.288788	0.575573
